Time,SurfaceOrientationGuidanceVF_forceX0,SurfaceOrientationGuidanceVF_forceY0,SurfaceOrientationGuidanceVF_forceZ0,SurfaceOrientationGuidanceVF_torqueX0,SurfaceOrientationGuidanceVF_torqueY0,SurfaceOrientationGuidanceVF_torqueZ0,SurfaceOrientationGuidanceVF_dist0,SurfaceOrientationGuidanceVF_angle0,Assisted,Assistance,PositionX,PositionY,PositionZ,ForwardX,ForwardY,ForwardZ,Clutch,FromCamera
105.2967,0.9042655,0.1362423,-0.4046333,0,0,0,0.01887899,19.89977,False,0,-1.512719,0.005026281,-3.222731,0.09337299,-0.4083373,0.9080431,False,0.0956947
105.334,0.9042565,0.1362409,-0.4046292,0,0,0,0.01798699,19.79317,False,0,-1.512112,0.004942477,-3.222743,0.09807754,-0.4101175,0.906744,False,0.09596806
105.3582,0.9042447,0.1362391,-0.404624,0,0,0,0.01741672,19.51712,False,0,-1.511462,0.004807353,-3.22276,0.1015843,-0.4143398,0.9044353,False,0.09630743
105.3954,0.9042224,0.1362358,-0.404614,0,0,0,0.01681521,19.30267,False,0,-1.510629,0.004813731,-3.222753,0.1192057,-0.4104373,0.9040638,False,0.09657589
105.4281,0.9041632,0.1362269,-0.4045875,0,0,0,0.01602762,18.29695,False,0,-1.510089,0.004836738,-3.222805,0.1389136,-0.4091477,0.9018322,False,0.0967433
105.4628,0.9040878,0.1362155,-0.4045538,0,0,0,0.01549989,17.16006,False,0,-1.509715,0.004852831,-3.222903,0.1583024,-0.4103009,0.8981056,False,0.09686887
105.4963,0.9040021,0.1362026,-0.4045154,0,0,0,0.01511727,16.03107,False,0,-1.509394,0.00482291,-3.223033,0.1773624,-0.4140759,0.8927956,False,0.09702485
105.533,0.9038951,0.1361865,-0.4044676,0,0,0,0.01478318,14.90926,False,0,-1.509196,0.004796088,-3.223121,0.1890839,-0.4164076,0.8892987,False,0.09713011
105.5642,0.9038092,0.1361735,-0.4044291,0,0,0,0.01457751,14.21682,False,0,-1.508974,0.004763842,-3.223182,0.195359,-0.4179586,0.8872122,False,0.09724588
105.5975,0.9036953,0.1361564,-0.4043781,0,0,0,0.01435739,13.84432,False,0,-1.508605,0.004701793,-3.223232,0.1989572,-0.4191645,0.8858427,False,0.09743935
105.6336,0.9034566,0.1361204,-0.4042713,0,0,0,0.01401051,13.62942,False,0,-1.508199,0.004641533,-3.223287,0.200311,-0.4204901,0.8849089,False,0.09764628
105.6657,0.9030778,0.1360633,-0.4041018,0,0,0,0.01362846,13.54561,False,0,-1.507556,0.004523277,-3.223324,0.1996586,-0.4217412,0.8844608,False,0.0979909
105.6985,0.9021398,0.135922,-0.4036821,0,0,0,0.01304776,13.57976,False,0,-1.506961,0.004419148,-3.223352,0.1983786,-0.4227029,0.8842897,False,0.09830682
105.7333,0.9006553,0.1356983,-0.4030178,0,0,0,0.01251762,13.65163,False,0,-1.506319,0.004304886,-3.223385,0.1975797,-0.4238921,0.8838993,False,0.09865303
105.7711,0.8979288,0.1352875,-0.4017978,0,0,0,0.01195273,13.69447,False,0,-1.505262,0.004124761,-3.223492,0.2048073,-0.4274015,0.8805578,False,0.0992295
105.7993,0.8883799,0.1338489,-0.3975249,0,0,0,0.01102359,13.25791,False,0,-1.504393,0.003981769,-3.223593,0.2199562,-0.4314575,0.8749079,False,0.09970666
105.8349,0.8713301,0.13128,-0.3898956,0,0,0,0.01027528,12.35112,False,0,-1.50354,0.003825605,-3.223707,0.2378353,-0.4354104,0.8682466,False,0.1001969
105.8665,0.839649,0.1265068,-0.3757192,0,0,0,0.009564417,11.27851,False,0,-1.502367,0.003545702,-3.223907,0.2699795,-0.4415181,0.855671,False,0.1009448
