X,Y,Z
-1.474395,-0.005702004,-3.218227
-1.474395,-0.00573885,-3.218187
-1.474394,-0.00577559,-3.218148
-1.474393,-0.005812228,-3.218108
-1.474393,-0.005848767,-3.218069
-1.474392,-0.005885209,-3.21803
-1.474391,-0.005921559,-3.217991
-1.474391,-0.00595782,-3.217953
-1.47439,-0.005993994,-3.217914
-1.47439,-0.006030086,-3.217876
-1.474389,-0.006066099,-3.217838
-1.474389,-0.006102034,-3.2178
-1.474388,-0.006137897,-3.217762
-1.474388,-0.00617369,-3.217724
-1.474387,-0.006209417,-3.217687
-1.474386,-0.00624508,-3.217649
-1.474386,-0.006280683,-3.217613
-1.474385,-0.006316231,-3.217575
-1.474384,-0.006351724,-3.217538
-1.474384,-0.006387167,-3.217501
-1.474383,-0.006422563,-3.217464
-1.474383,-0.006457916,-3.217427
-1.474382,-0.006493228,-3.217391
-1.474381,-0.006528503,-3.217354
-1.474381,-0.006563745,-3.217318
-1.47438,-0.006598956,-3.217281
-1.47438,-0.006634139,-3.217245
-1.474379,-0.0066693,-3.217208
-1.474379,-0.006704439,-3.217172
-1.474378,-0.006739561,-3.217136
-1.474377,-0.006774668,-3.2171
-1.474377,-0.006809764,-3.217063
-1.474376,-0.006844853,-3.217027
-1.474376,-0.006879938,-3.216991
-1.474375,-0.006915021,-3.216954
-1.474375,-0.006950107,-3.216918
-1.474374,-0.006985198,-3.216882
-1.474373,-0.007020298,-3.216846
-1.474373,-0.007055409,-3.21681
-1.474372,-0.007090537,-3.216773
-1.474372,-0.007125683,-3.216737
-1.474371,-0.00716085,-3.216701
-1.47437,-0.007196042,-3.216664
-1.47437,-0.007231263,-3.216628
-1.474369,-0.007266516,-3.216591
-1.474369,-0.007301803,-3.216555
-1.474368,-0.007337129,-3.216518
-1.474368,-0.007372495,-3.216481
-1.474367,-0.007407907,-3.216444
-1.474366,-0.007443366,-3.216407
-1.474366,-0.007478877,-3.21637
-1.474365,-0.007514441,-3.216333
-1.474365,-0.007550066,-3.216296
-1.474364,-0.007585749,-3.216258
-1.474363,-0.007621498,-3.21622
-1.474363,-0.007657313,-3.216183
-1.474362,-0.0076932,-3.216145
-1.474362,-0.007729161,-3.216107
-1.474361,-0.0077652,-3.216069
-1.47436,-0.007801318,-3.21603
-1.47436,-0.007837522,-3.215992
-1.474359,-0.007873812,-3.215953
-1.474359,-0.007910192,-3.215914
-1.474358,-0.007946666,-3.215876
-1.474358,-0.007983238,-3.215836
-1.474357,-0.00801991,-3.215797
-1.474356,-0.008056684,-3.215757
-1.474356,-0.008093567,-3.215718
-1.474355,-0.008130559,-3.215677
-1.474355,-0.008167665,-3.215637
-1.474354,-0.008204887,-3.215596
-1.474353,-0.008242229,-3.215555
-1.474353,-0.008279693,-3.215515
-1.474352,-0.008317286,-3.215473
