Time,TrajectoryOrientationGuidanceVFRL_forceX0,TrajectoryOrientationGuidanceVFRL_forceY0,TrajectoryOrientationGuidanceVFRL_forceZ0,TrajectoryOrientationGuidanceVFRL_torqueX0,TrajectoryOrientationGuidanceVFRL_torqueY0,TrajectoryOrientationGuidanceVFRL_torqueZ0,TrajectoryOrientationGuidanceVFRL_dist0,TrajectoryOrientationGuidanceVFRL_angle0,TrajectoryOrientationGuidanceVFRL_hand0,TrajectoryOrientationGuidanceVFRL_miss0,Assisted,Assistance,PositionX,PositionY,PositionZ,ForwardX,ForwardY,ForwardZ,Clutch,FromCamera
187.4109,0,0,0,0,0,0,0.001524289,10.51292,right,0,False,0,-1.472876,-0.005992699,-3.218143,-0.008627808,-0.5392761,0.8420849,False,0.1231145
187.4517,0,0,0,0,0,0,0.001524289,10.51292,right,0,False,0,-1.472876,-0.005992699,-3.218143,-0.008627808,-0.5392761,0.8420849,False,0.1231145
187.479,0,0,0,0,0,0,0.001524289,10.51292,right,0,False,0,-1.472876,-0.005992699,-3.218143,-0.008627808,-0.5392761,0.8420849,False,0.1231145
187.5097,0,0,0,0,0,0,0.001524289,10.51292,right,0,False,0,-1.472876,-0.005992699,-3.218143,-0.008627808,-0.5392761,0.8420849,False,0.1231145
187.5419,0,0,0,0,0,0,0.001524289,10.51292,right,0,False,0,-1.472876,-0.005992699,-3.218143,-0.008627808,-0.5392761,0.8420849,False,0.1231145
187.5707,-0.007894824,0.0005601206,0.0005848937,0,0,0,0.0015237,10.51292,right,0,False,0,-1.472876,-0.005992748,-3.218143,-0.008627933,-0.5392762,0.8420848,False,0.1231142
187.6013,-0.007894824,0.0005601206,0.0005848937,0,0,0,0.0015237,10.51292,right,0,False,0,-1.474364,-0.006215472,-3.217016,0.05051891,-0.5025002,0.8630999,False,0.1223871
187.6342,0.2301558,-0.1578388,-0.1625898,-0.0113842,0.001421733,0.00156606,0.001463963,15.71417,right,0,False,0,-1.475415,-0.006375112,-3.216036,0.06073259,-0.4785588,0.8759527,False,0.1218808
187.6615,0.2301341,-0.1578436,-0.162593,-0.009831281,0.001227748,0.001352389,0.001463882,15.71369,right,0,False,0,-1.475602,-0.006534833,-3.215946,0.06220126,-0.4783159,0.8759823,False,0.121906
187.691,0.3241023,-0.1383132,-0.130657,-0.009195171,0.001208504,0.001327445,0.001746027,15.24837,right,0,False,0,-1.475873,-0.006729912,-3.215874,0.06369707,-0.4777583,0.876179,False,0.1219153
