Time,ConeApproachGuidanceVF_forceX0,ConeApproachGuidanceVF_forceY0,ConeApproachGuidanceVF_forceZ0,ConeApproachGuidanceVF_dist0,Assisted,Assistance,PositionX,PositionY,PositionZ,ForwardX,ForwardY,ForwardZ,Clutch,FromCamera
249.0466,-1.612525E-09,2.89927E-08,1.375066E-08,0.002624135,False,0.5,-1.487972,0.01865166,-3.242132,0.3292376,-0.1603205,0.9305375,False,0.09937175
249.0801,-2.868878E-09,2.876339E-08,1.395265E-08,0.002621942,False,0.5,-1.487839,0.01865673,-3.242159,0.3289075,-0.1604457,0.9306327,False,0.09945012
249.1017,-4.707664E-09,3.011183E-08,1.502401E-08,0.002644567,False,0.5,-1.487723,0.01865804,-3.24218,0.3286192,-0.1605386,0.9307185,False,0.09952068
249.1288,-6.561395E-09,3.18648E-08,1.628551E-08,0.002671473,False,0.5,-1.487566,0.01866508,-3.242223,0.3282802,-0.160763,0.9307994,False,0.09961623
249.1636,-9.599239E-09,3.502808E-08,1.848652E-08,0.002717346,False,0.5,-1.487441,0.01867485,-3.242262,0.3280185,-0.1610276,0.9308459,False,0.09969081
249.1895,-1.254981E-08,3.809903E-08,2.062356E-08,0.002758675,False,0.5,-1.487366,0.01868296,-3.242278,0.3278721,-0.1611998,0.9308677,False,0.09973156
249.2179,-1.445093E-08,3.982831E-08,2.188574E-08,0.002781056,False,0.5,-1.487325,0.01868999,-3.242276,0.3277707,-0.1612044,0.9309025,False,0.09974836
249.2416,-1.533787E-08,4.022085E-08,2.228369E-08,0.002787059,False,0.5,-1.487275,0.0186851,-3.242265,0.3277339,-0.1612624,0.9309055,False,0.09977636
249.2683,-1.671877E-08,4.162843E-08,2.327018E-08,0.00280215,False,0.5,-1.487193,0.01867187,-3.242247,0.3276688,-0.1614533,0.9308953,False,0.09982622
249.2917,-1.939046E-08,4.469053E-08,2.533502E-08,0.002832606,False,0.5,-1.487109,0.01865917,-3.242239,0.3275985,-0.1615831,0.9308975,False,0.09988049
249.3189,-2.276641E-08,4.868049E-08,2.799951E-08,0.002869866,False,0.5,-1.486976,0.01862884,-3.242205,0.3275362,-0.1618317,0.9308762,False,0.09996685
249.3407,-2.911224E-08,5.61926E-08,3.301374E-08,0.002930424,False,0.5,-1.486871,0.01859891,-3.242167,0.3275166,-0.1620183,0.9308507,False,0.1000364
249.3679,-3.531421E-08,6.340635E-08,3.785549E-08,0.002980369,False,0.5,-1.486752,0.01855391,-3.242094,0.3275124,-0.1621294,0.9308328,False,0.1001141
249.3914,-4.344298E-08,7.26345E-08,4.409679E-08,0.00303417,False,0.5,-1.486675,0.01851833,-3.242045,0.3274834,-0.1620953,0.930849,False,0.1001689
249.4178,-5.01385E-08,8.045813E-08,4.934009E-08,0.003074234,False,0.5,-1.486586,0.01847559,-3.241988,0.3273047,-0.1619163,0.930943,False,0.1002329
249.442,-5.922241E-08,9.094387E-08,5.6395E-08,0.003122089,False,0.5,-1.486548,0.01845163,-3.241958,0.3271082,-0.1617452,0.9310417,False,0.1002628
249.4693,-6.382798E-08,9.645706E-08,6.006224E-08,0.003144368,False,0.5,-1.486531,0.01840359,-3.241935,0.3244093,-0.1628305,0.9317966,False,0.1003018
249.4957,-6.952938E-08,1.058904E-07,6.580355E-08,0.003177695,False,0.5,-1.486538,0.01839805,-3.241936,0.3243927,-0.1626959,0.9318259,False,0.1003025
249.5264,-6.941995E-08,1.06467E-07,6.604255E-08,0.003179106,False,0.5,-1.48653,0.01839066,-3.241935,0.3222775,-0.1634773,0.9324229,False,0.1003122
249.5519,-7.11337E-08,1.088418E-07,6.755624E-08,0.003187762,False,0.5,-1.48654,0.01839614,-3.241941,0.3223205,-0.1634361,0.9324152,False,0.1003041
249.5782,-6.967306E-08,1.071024E-07,6.639704E-08,0.003181463,False,0.5,-1.486547,0.01837271,-3.241934,0.3198618,-0.1647834,0.9330246,False,0.100316
249.6007,-7.108469E-08,1.107876E-07,6.844046E-08,0.003192407,False,0.5,-1.48655,0.01837796,-3.241932,0.3200369,-0.1649803,0.9329298,False,0.10031
249.626,-7.004797E-08,1.091412E-07,6.742822E-08,0.003186569,False,0.5,-1.486535,0.01837558,-3.241922,0.3203019,-0.1653004,0.9327821,False,0.1003166
249.6483,-7.134594E-08,1.101976E-07,6.823306E-08,0.003190498,False,0.5,-1.486531,0.01836962,-3.24187,0.3206358,-0.1656239,0.93261,False,0.1003072
249.6756,-6.902043E-08,1.063786E-07,6.59042E-08,0.003173155,False,0.5,-1.486518,0.01836389,-3.24182,0.3208188,-0.1658193,0.9325123,False,0.1003029
249.6978,-6.783902E-08,1.037637E-07,6.441027E-08,0.003160616,False,0.5,-1.486455,0.01836818,-3.241735,0.3220147,-0.1663078,0.932013,False,0.1003077
249.7233,-6.906894E-08,1.009757E-07,6.342694E-08,0.003149011,False,0.5,-1.486401,0.01835549,-3.241649,0.3223785,-0.1668099,0.9317975,False,0.1003206
249.7456,-7.12615E-08,1.008867E-07,6.392266E-08,0.003146206,False,0.5,-1.486335,0.01834214,-3.241568,0.3227722,-0.1673158,0.9315705,False,0.1003424
249.7717,-7.558256E-08,1.029371E-07,6.592562E-08,0.003152943,False,0.5,-1.486234,0.01831156,-3.241442,0.3239355,-0.168685,0.9309195,False,0.1003831
249.7947,-8.404965E-08,1.084478E-07,7.053723E-08,0.003171067,False,0.5,-1.48616,0.01831448,-3.241342,0.3256444,-0.1695701,0.9301623,False,0.1003911
249.8208,-8.679073E-08,1.065555E-07,7.033639E-08,0.003164103,False,0.5,-1.486072,0.01831114,-3.241233,0.3285621,-0.1717118,0.9287422,False,0.1004097
249.8436,-9.241548E-08,1.073295E-07,7.207009E-08,0.003167469,False,0.5,-1.486019,0.01832646,-3.241148,0.3312254,-0.1734804,0.9274666,False,0.1004012
249.8678,-9.184347E-08,1.023351E-07,6.962942E-08,0.003149634,False,0.5,-1.485998,0.01832408,-3.241081,0.3330807,-0.17543,0.9264349,False,0.1003946
249.888,-9.017361E-08,9.890847E-08,6.764211E-08,0.00313414,False,0.5,-1.486001,0.01831847,-3.241033,0.3357723,-0.1781369,0.9249455,False,0.1003821
249.9099,-8.641178E-08,9.486359E-08,6.485774E-08,0.003114211,False,0.5,-1.486065,0.0183301,-3.240961,0.3386637,-0.1808717,0.9233593,False,0.1003147
249.9426,-7.054268E-08,7.94285E-08,5.386175E-08,0.00303571,False,0.5,-1.486167,0.01830441,-3.2409,0.3411416,-0.1868685,0.9212506,False,0.1002573
249.9774,-5.729247E-08,6.90741E-08,4.58478E-08,0.002965917,False,0.5,-1.486336,0.01828516,-3.240795,0.3400527,-0.1928412,0.9204219,False,0.1001441
250.0021,-3.925523E-08,5.290186E-08,3.398142E-08,0.002838549,False,0.5,-1.48649,0.01826489,-3.240686,0.3377397,-0.1976916,0.9202445,False,0.1000392
250.0347,-2.764821E-08,4.180337E-08,2.602685E-08,0.002724769,False,0.5,-1.486551,0.01818466,-3.240563,0.3332817,-0.2044508,0.920393,False,0.1000283
250.0616,-2.49677E-08,4.101094E-08,2.500551E-08,0.002698842,False,0.5,-1.486518,0.0180918,-3.240407,0.3272991,-0.2124996,0.9207168,False,0.1000706
250.0885,-2.640093E-08,4.399079E-08,2.672901E-08,0.002712606,False,0.5,-1.486474,0.01806134,-3.240272,0.3245819,-0.2162043,0.9208161,False,0.1000782
250.1179,-2.63071E-08,4.276585E-08,2.614186E-08,0.002694002,False,0.5,-1.486349,0.0179407,-3.240111,0.3205664,-0.2239964,0.9203602,False,0.1001925
250.1433,-3.406176E-08,5.295699E-08,3.273514E-08,0.0027691,False,0.5,-1.486217,0.017847,-3.239904,0.3194528,-0.2308278,0.9190586,False,0.1002767
250.1711,-4.089735E-08,5.983191E-08,3.757591E-08,0.002807602,False,0.5,-1.486082,0.01775235,-3.239632,0.3175102,-0.2366621,0.9182475,False,0.1003446
250.1967,-4.646219E-08,6.386453E-08,4.079617E-08,0.002820035,False,0.5,-1.485998,0.017694,-3.239384,0.3162297,-0.2392723,0.9180129,False,0.1003643
250.2253,-4.675335E-08,6.15676E-08,3.980945E-08,0.002792918,False,0.5,-1.485898,0.01756608,-3.23899,0.3121502,-0.2425008,0.9185618,False,0.1004048
