Time,TrajectoryOrientationGuidanceVFRL_forceX0,TrajectoryOrientationGuidanceVFRL_forceY0,TrajectoryOrientationGuidanceVFRL_forceZ0,TrajectoryOrientationGuidanceVFRL_torqueX0,TrajectoryOrientationGuidanceVFRL_torqueY0,TrajectoryOrientationGuidanceVFRL_torqueZ0,TrajectoryOrientationGuidanceVFRL_dist0,TrajectoryOrientationGuidanceVFRL_angle0,TrajectoryOrientationGuidanceVFRL_hand0,TrajectoryOrientationGuidanceVFRL_miss0,Assisted,Assistance,PositionX,PositionY,PositionZ,ForwardX,ForwardY,ForwardZ,Clutch,FromCamera
81.80153,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,0.25,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
81.84332,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,0.25,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
81.87325,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,0.25,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
81.90394,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,0.25,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
81.93521,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,0.25,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
81.96269,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,0.25,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
81.99001,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,0.25,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
82.02158,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,0.25,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
82.04861,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,0.25,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
82.07636,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,0.25,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
82.10236,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,0.25,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
82.1319,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,0.25,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
82.15917,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,0.25,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
82.18517,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,0.25,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
82.21473,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,0.25,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
82.24719,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,0.25,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
82.27448,1.051782E-06,5.107475E-06,-3.404739E-06,0,0,0,0.0002054036,8.726814,right,0,False,0.25,-1.472582,-0.006999549,-3.240194,0.1404832,0.6975909,0.702589,False,0.127485
82.30026,1.051782E-06,5.107475E-06,-3.404739E-06,0,0,0,0.0002054036,8.726814,right,0,False,0.25,-1.473239,-0.007335661,-3.239266,0.1772484,0.7027677,0.6889852,False,0.127176
82.33395,0.08378891,0.08524876,-0.08033785,0,0,0,0.00153227,9.430005,right,0,False,0.25,-1.473377,-0.007434113,-3.239044,0.1925697,0.7072798,0.6802003,False,0.1271283
82.36311,0.08378891,0.08524876,-0.08033785,0,0,0,0.00153227,9.430005,right,0,False,0.25,-1.473199,-0.007567039,-3.238985,0.2035021,0.7086038,0.6756238,False,0.1273191
82.3947,0.05064655,0.1030723,-0.08763011,0,0,0,0.001547758,10.01995,right,0,False,0.25,-1.473023,-0.007606987,-3.238928,0.2071055,0.7118607,0.67109,False,0.1274347
82.42799,0.01564613,0.1175404,-0.09448771,0,0,0,0.001597646,10.43034,right,0,False,0.25,-1.472636,-0.007691639,-3.238807,0.2094265,0.7168823,0.6649966,False,0.1276883
82.46088,0.01564613,0.1175404,-0.09448771,0,0,0,0.001597646,10.43036,right,0,False,0.25,-1.472447,-0.007773507,-3.238745,0.209499,0.7168529,0.6650053,False,0.1278439
82.49004,-0.01303127,0.1345084,-0.1045707,0,0,0,0.001778843,10.16835,right,0,False,0.25,-1.47233,-0.007828301,-3.238682,0.2096814,0.7168005,0.6650044,False,0.1279382
82.51937,-0.008337008,0.08605437,-0.06690119,0,0,0,0.001778843,10.16837,right,0,False,0.25,-1.472229,-0.007806309,-3.238619,0.2083964,0.718609,0.6634547,False,0.1279623
82.54781,-0.0215214,0.09531742,-0.07095551,0,0,0,0.001790669,9.938045,right,0,False,0.25,-1.472121,-0.007712865,-3.238556,0.2058217,0.7221704,0.6603844,False,0.127933
82.57574,-0.01798719,0.07966453,-0.05930329,0,0,0,0.001790669,9.938025,right,0,False,0.25,-1.47205,-0.00758945,-3.238491,0.2034609,0.7256244,0.6573226,False,0.1278583
82.60415,-0.01962242,0.06960335,-0.05449299,0,0,0,0.001747119,9.804256,right,0,False,0.25,-1.472011,-0.007492159,-3.238418,0.2024517,0.7272837,0.6557987,False,0.127786
82.63651,-0.01545145,0.04992737,-0.03932089,0,0,0,0.001689381,9.228778,right,0,False,0.25,-1.472003,-0.007399203,-3.238359,0.2016498,0.7288799,0.6542718,False,0.1277031
82.66581,-0.01183818,0.04320161,-0.0339989,0,0,0,0.001658655,8.742669,right,0,False,0.25,-1.472035,-0.007298419,-3.238271,0.2024762,0.7286196,0.6543065,False,0.1275844
82.69112,-0.01658722,0.02514289,-0.0380423,0,0,0,0.001658655,8.742669,right,0,False,0.25,-1.472188,-0.007103238,-3.238086,0.2018154,0.730329,0.6526026,False,0.1273021
82.71983,-0.01021102,0.02561635,-0.05468494,0,0,0,0.001600908,8.430724,right,0,False,0.25,-1.472255,-0.006939262,-3.237979,0.1997527,0.733699,0.6494496,False,0.1271102
82.74928,0.01287228,0.03228664,-0.07286293,0,0,0,0.001490295,7.446266,right,0,False,0.25,-1.47241,-0.0067415,-3.237836,0.1998176,0.7350306,0.647922,False,0.1268338
82.77932,0.01287228,0.03228664,-0.07286293,0,0,0,0.001490295,7.446266,right,0,False,0.25,-1.472713,-0.006535627,-3.237624,0.199157,0.7368097,0.6461022,False,0.1264536
82.80975,0.06639199,0.08297985,-0.09603275,0,0,0,0.001652131,5.502423,right,0,False,0.25,-1.473021,-0.006340504,-3.237453,0.2005941,0.7364674,0.6460478,False,0.1260885
82.83652,0.06388821,0.0798505,-0.09241115,0,0,0,0.001652131,5.502423,right,0,False,0.25,-1.473321,-0.006123228,-3.237296,0.2023808,0.7359304,0.6461027,False,0.1257139
82.87024,0.1548252,0.08226213,-0.1198256,0,0,0,0.002007873,3.542321,right,0,False,0.25,-1.473663,-0.005882319,-3.237157,0.203752,0.7356037,0.6460437,False,0.1253005
82.89651,0.1548252,0.08226213,-0.1198256,0,0,0,0.002007873,3.542321,right,0,False,0.25,-1.473982,-0.005593356,-3.237064,0.2061356,0.7347508,0.6462581,False,0.1248714
82.92741,0.2097365,0.05021573,-0.1121296,0,0,0,0.002302516,3.312039,right,0,False,0.25,-1.474136,-0.005330779,-3.237006,0.2087806,0.7337,0.6466027,False,0.1245626
82.95793,0.1882748,0.04507731,-0.1006557,0,0,0,0.002302516,3.312039,right,0,False,0.25,-1.474158,-0.005039115,-3.236949,0.2096474,0.7346097,0.6452882,False,0.1243036
82.98772,0.1898116,0.02765833,-0.07824798,0,0,0,0.002172643,3.984477,right,0,False,0.25,-1.474058,-0.004739536,-3.236911,0.2107852,0.7353738,0.6440459,False,0.1241098
83.01762,0.1567606,0.02284232,-0.06462303,0,0,0,0.002172643,3.984477,right,0,False,0.25,-1.473907,-0.004453296,-3.236885,0.2118608,0.7361302,0.6428276,False,0.1239583
83.05691,0.1490232,0.00966044,-0.05064489,0,0,0,0.001814303,4.221182,right,0,False,0.25,-1.473704,-0.00417334,-3.23684,0.2131965,0.7367892,0.64163,False,0.1238376
83.08658,0.138183,-0.03433446,-0.04485083,0,0,0,0.001497595,3.553194,right,0,False,0.25,-1.473363,-0.003719807,-3.236744,0.2129321,0.7405335,0.6373932,False,0.1236454
83.11671,0.08495177,-0.07444866,-0.04212892,0,0,0,0.001497595,3.553194,right,0,False,0.25,-1.473129,-0.003412306,-3.236657,0.2146022,0.7410902,0.636185,False,0.1235136
83.14623,0.07784222,-0.1232811,-0.03756078,0,0,0,0.001145403,4.194933,right,0,False,0.25,-1.472935,-0.003024666,-3.236521,0.2154517,0.7431931,0.6334388,False,0.1232856
83.17753,0.04899522,-0.1154133,-0.03418314,0,0,0,0.001145403,4.194933,right,0,False,0.25,-1.472836,-0.002780873,-3.236428,0.2215059,0.7451805,0.6290003,False,0.1231285
83.21172,0.1004284,-0.1444803,-0.01589262,0,0,0,0.0009903994,6.013532,right,0,False,0.25,-1.472632,-0.00226574,-3.23615,0.2097263,0.7427667,0.6358558,False,0.1227771
83.2397,0.08803946,-0.1289903,-0.01697316,0,0,0,0.0009903994,6.013467,right,0,False,0.25,-1.472502,-0.001829229,-3.235902,0.2017447,0.7419512,0.6393806,False,0.1224535
83.27401,0.1857546,-0.1265563,0.05372787,-0.0001848304,7.929857E-05,-3.749831E-05,0.001026924,8.195416,right,0,False,0.25,-1.472408,-0.001356311,-3.235608,0.1874243,0.7414984,0.6442456,False,0.1220724
83.30138,0.164086,-0.09489549,0.0510505,-1.314268E-10,5.638686E-11,-2.666406E-11,0.001026924,8.195416,right,0,False,0.25,-1.472413,-0.0008645132,-3.235307,0.1797696,0.7404109,0.6476687,False,0.1216186
