Time,SurfaceOrientationGuidanceVF_forceX0,SurfaceOrientationGuidanceVF_forceY0,SurfaceOrientationGuidanceVF_forceZ0,SurfaceOrientationGuidanceVF_torqueX0,SurfaceOrientationGuidanceVF_torqueY0,SurfaceOrientationGuidanceVF_torqueZ0,SurfaceOrientationGuidanceVF_dist0,SurfaceOrientationGuidanceVF_angle0,Assisted,Assistance,PositionX,PositionY,PositionZ,ForwardX,ForwardY,ForwardZ,Clutch,FromCamera
263.6163,-0.06661874,-0.01003719,0.02981,0,0,0,0.004468382,19.086,False,0,-1.485937,0.02122343,-3.21249,0.106958,-0.2416927,0.96444,False,0.09319183
263.6491,-0.06659883,-0.0100342,0.0298011,0,0,0,0.004468059,19.05389,False,0,-1.485955,0.02122581,-3.212482,0.1071867,-0.2417663,0.9643962,False,0.09317873
263.684,-0.06540878,-0.009854894,0.02926858,0,0,0,0.004448609,19.04089,False,0,-1.485924,0.02122378,-3.212488,0.1080992,-0.2421407,0.9642004,False,0.093199
263.7094,-0.06719497,-0.01012401,0.03006785,0,0,0,0.004477683,18.98917,False,0,-1.485887,0.02122176,-3.212487,0.1080425,-0.2421676,0.9642,False,0.09322375
263.744,-0.069244,-0.01043273,0.03098473,0,0,0,0.004510171,18.99249,False,0,-1.485861,0.02120847,-3.212445,0.1083941,-0.2435498,0.9638124,False,0.09324858
263.7797,-0.0693823,-0.01045357,0.03104662,0,0,0,0.004512332,18.97514,False,0,-1.485952,0.02124739,-3.212376,0.1047086,-0.2409485,0.964873,False,0.09316076
263.8133,-0.06250851,-0.009417922,0.02797079,0,0,0,0.004399804,19.18172,False,0,-1.486249,0.02138388,-3.212298,0.1016738,-0.2348735,0.9666938,False,0.09286895
263.8472,-0.04728213,-0.00712382,0.02115742,0,0,0,0.004102706,19.34277,False,0,-1.486638,0.02151781,-3.212161,0.1024139,-0.2325925,0.9671671,False,0.09252266
263.8782,-0.03228529,-0.004864303,0.01444676,0,0,0,0.003703838,19.29487,False,0,-1.487025,0.02162635,-3.211974,0.1064488,-0.233921,0.9664107,False,0.09219651
263.9136,-0.02150801,-0.003240532,0.009624229,0,0,0,0.003285368,19.06596,False,0,-1.487778,0.02184403,-3.21149,0.1065226,-0.2325826,0.9667255,False,0.09155903
263.9479,-0.009353505,-0.001409257,0.004185429,0,0,0,0.002439019,19.05859,False,0,-1.488443,0.0219987,-3.211103,0.1064636,-0.2310659,0.9670957,False,0.09103024
263.9836,0,0,0,0,0,0,0.001756825,19.05839,False,0,-1.489238,0.02216011,-3.210671,0.1046813,-0.2275312,0.9681278,False,0.09042166
264.0239,0,0,0,0,0,0,0.001122728,19.15221,False,0,-1.490481,0.02233154,-3.210041,0.104038,-0.2241006,0.9689969,False,0.08954697
264.0529,0,0,0,0,0,0,0.001212106,19.18049,False,0,-1.491593,0.02237362,-3.209469,0.1128587,-0.2270165,0.9673296,False,0.08886732
264.084,0.006905591,0.001040439,-0.003090057,0,0,0,0.002132867,18.68053,False,0,-1.492157,0.02237433,-3.209038,0.1202274,-0.2303161,0.9656603,False,0.08854543
264.1183,0.01275486,0.001921728,-0.005707442,0,0,0,0.002752988,18.26438,False,0,-1.492514,0.02235419,-3.208602,0.1230595,-0.2323675,0.9648118,False,0.08836291
264.1519,0.02052165,0.00309192,-0.009182859,0,0,0,0.003237306,18.10608,False,0,-1.492633,0.02231413,-3.208276,0.1261059,-0.2338818,0.9640522,False,0.08833328
264.184,0.02629324,0.003961503,-0.01176548,0,0,0,0.00349169,17.934,False,0,-1.492587,0.02226734,-3.207846,0.1297779,-0.2354513,0.9631824,False,0.08840701
264.2187,0.03227977,0.004863472,-0.01444429,0,0,0,0.00370366,17.72584,False,0,-1.492475,0.02223945,-3.207555,0.129236,-0.235449,0.9632559,False,0.08850095
264.2513,0.03595384,0.005417029,-0.01608833,0,0,0,0.003815678,17.75709,False,0,-1.492319,0.02218324,-3.207283,0.1291144,-0.2357302,0.9632034,False,0.08864384
264.2869,0.03900628,0.005876929,-0.01745421,0,0,0,0.003900686,17.76473,False,0,-1.492261,0.0221253,-3.206926,0.1287085,-0.2357377,0.9632559,False,0.0887355
264.3183,0.04862516,0.007326169,-0.02175838,0,0,0,0.004132283,17.78815,False,0,-1.492269,0.02206606,-3.206712,0.1308418,-0.2364935,0.9627831,False,0.08878724
264.3512,0.05682927,0.008562252,-0.02542949,0,0,0,0.004297828,17.66681,False,0,-1.492289,0.0220179,-3.206504,0.1330759,-0.2373417,0.9622681,False,0.08882292
264.3842,0.06685565,0.01007289,-0.02991602,0,0,0,0.004472215,17.53979,False,0,-1.492284,0.02198082,-3.206148,0.1325949,-0.2373539,0.9623314,False,0.08887052
264.4201,0.08739655,0.01316771,-0.03910749,0,0,0,0.004764969,17.56758,False,0,-1.492113,0.02197725,-3.205918,0.135486,-0.2358901,0.9622886,False,0.08898117
264.4517,0.09732358,0.01466338,-0.04354956,0,0,0,0.004884782,17.39751,False,0,-1.491868,0.02199447,-3.20566,0.1372957,-0.234189,0.9624476,False,0.08911915
264.4852,0.1094752,0.01649421,-0.04898706,0,0,0,0.005017612,17.28923,False,0,-1.49148,0.02207035,-3.205264,0.1389078,-0.2299544,0.9632371,False,0.08929982
264.5206,0.1356668,0.0204404,-0.06070704,0,0,0,0.005265624,17.18633,False,0,-1.491198,0.02208608,-3.204987,0.1381167,-0.2300955,0.9633171,False,0.08946448
264.5529,0.1593991,0.02401607,-0.07132661,0,0,0,0.005458198,17.23232,False,0,-1.491017,0.02213615,-3.204738,0.1410074,-0.2286691,0.963238,False,0.08954208
264.5924,0.1888512,0.0284535,-0.08450558,0,0,0,0.005668089,17.06204,False,0,-1.491004,0.02223223,-3.204393,0.1437073,-0.2257608,0.9635249,False,0.08949233
264.6202,0.246007,0.03706495,-0.1100812,0,0,0,0.006015753,16.89897,False,0,-1.491076,0.02230632,-3.204175,0.1461161,-0.2225097,0.9639189,False,0.0894038
264.6554,0.2905583,0.04377733,-0.1300167,0,0,0,0.006252276,16.75163,False,0,-1.491095,0.0223552,-3.20405,0.1557095,-0.2203128,0.962921,False,0.08936141
264.6888,0.3173127,0.04780831,-0.1419885,0,0,0,0.006384932,16.1913,False,0,-1.491294,0.02237988,-3.20373,0.1605435,-0.2192487,0.9623699,False,0.08924758
264.7232,0.3582259,0.05397255,-0.160296,0,0,0,0.006578461,15.90875,False,0,-1.491469,0.0223521,-3.203457,0.1616673,-0.2195726,0.9621079,False,0.08918831
264.7605,0.3710552,0.05590549,-0.1660367,0,0,0,0.006637423,15.84452,False,0,-1.491705,0.02228546,-3.203086,0.1646127,-0.2205092,0.961394,False,0.08913466
264.7953,0.3981215,0.05998347,-0.1781481,0,0,0,0.006759923,15.67638,False,0,-1.491885,0.02222884,-3.202743,0.1673063,-0.2214766,0.9607064,False,0.08910431
264.829,0.4218045,0.0635517,-0.1887456,0,0,0,0.006865629,15.52276,False,0,-1.49212,0.0221352,-3.202252,0.1706233,-0.2225733,0.9598692,False,0.08908721
264.8611,0.4332673,0.06527875,-0.1938749,0,0,0,0.006916487,15.33323,False,0,-1.492198,0.02204245,-3.201924,0.1761597,-0.2245832,0.9583998,False,0.08914747
264.897,0.4300317,0.06479125,-0.192427,0,0,0,0.006902145,15.01696,False,0,-1.492219,0.02193195,-3.20157,0.179261,-0.2257941,0.9575399,False,0.08925819
264.9323,0.4176366,0.06292374,-0.1868806,0,0,0,0.006847097,14.83983,False,0,-1.492086,0.02179813,-3.201115,0.1810641,-0.2252652,0.9573252,False,0.08948661
264.9643,0.3734326,0.05626368,-0.1671005,0,0,0,0.006648278,14.73378,False,0,-1.491911,0.02168065,-3.20082,0.182467,-0.2259804,0.9568901,False,0.08971133
265.0013,0.331797,0.0499906,-0.1484698,0,0,0,0.006454554,14.65399,False,0,-1.491602,0.02154952,-3.200443,0.1845114,-0.2271455,0.956222,False,0.09003297
265.0371,0.2691988,0.04055917,-0.1204588,0,0,0,0.00614171,14.5379,False,0,-1.491328,0.02146387,-3.200118,0.1843526,-0.2275071,0.9561666,False,0.09029391
265.0727,0.222313,0.03349505,-0.09947877,0,0,0,0.005879117,14.548,False,0,-1.491245,0.02143192,-3.199972,0.1826333,-0.2270377,0.9566081,False,0.09038355
265.1033,0.2101208,0.0316581,-0.09402311,0,0,0,0.005804993,14.64685,False,0,-1.491204,0.02144378,-3.199948,0.186041,-0.2254372,0.9563299,False,0.09039985
265.1429,0.2034015,0.03064574,-0.09101642,0,0,0,0.005762859,14.44488,False,0,-1.491236,0.02145398,-3.199957,0.1900037,-0.2267192,0.9552471,False,0.09037232
265.1849,0.2079352,0.03132881,-0.09304512,0,0,0,0.005791393,14.21739,False,0,-1.491336,0.02149266,-3.199917,0.1901139,-0.2267396,0.9552203,False,0.09028807
265.2137,0.2225691,0.03353365,-0.09959339,0,0,0,0.005880644,14.21101,False,0,-1.491391,0.02151161,-3.199929,0.190169,-0.2267102,0.9552163,False,0.09023955
265.2435,0.2310221,0.03480722,-0.1033758,0,0,0,0.005930397,14.20775,False,0,-1.491416,0.02153051,-3.199921,0.1909717,-0.2270533,0.9549747,False,0.09021115
265.2794,0.2344399,0.03532217,-0.1049052,0,0,0,0.005950172,14.16183,False,0,-1.491398,0.02155596,-3.199885,0.1926723,-0.2278028,0.9544544,False,0.09020451
265.3117,0.2306573,0.03475227,-0.1032126,0,0,0,0.005928275,14.06458,False,0,-1.491343,0.02157563,-3.199836,0.1932824,-0.2281801,0.9542409,False,0.09022549
265.345,0.2210531,0.03330524,-0.09891503,0,0,0,0.005871588,14.02994,False,0,-1.49123,0.02160221,-3.199739,0.1933012,-0.2285466,0.9541494,False,0.09027944
265.3801,0.2028949,0.03056942,-0.09078976,0,0,0,0.005759643,14.02968,False,0,-1.491012,0.02160132,-3.199612,0.1927307,-0.2316462,0.9535171,False,0.09041957
265.4188,0.1725393,0.02599584,-0.07720645,0,0,0,0.00555521,14.06997,False,0,-1.490734,0.02168947,-3.199484,0.1980796,-0.2297637,0.9528762,False,0.09052237
265.4499,0.1370809,0.02065346,-0.06133982,0,0,0,0.005277835,13.75403,False,0,-1.490475,0.0217858,-3.199244,0.2004586,-0.2284179,0.9527023,False,0.09062257
265.4793,0.1113411,0.01677534,-0.049822,0,0,0,0.005036863,13.6122,False,0,-1.490346,0.02182883,-3.199078,0.2003022,-0.2283366,0.9527547,False,0.09068213
265.5133,0.1015767,0.01530417,-0.04545269,0,0,0,0.004932839,13.62115,False,0,-1.49028,0.02185601,-3.198936,0.1999963,-0.228972,0.9526664,False,0.09071569
265.5454,0.09811967,0.01478332,-0.04390578,0,0,0,0.004893915,13.64046,False,0,-1.490249,0.02188414,-3.198823,0.2006198,-0.2293881,0.9524352,False,0.09072436
265.5813,0.0974094,0.01467631,-0.04358796,0,0,0,0.004885769,13.60503,False,0,-1.490182,0.02195936,-3.198733,0.2057481,-0.2270555,0.9518999,False,0.09071394
265.6143,0.09278657,0.0139798,-0.04151937,0,0,0,0.004831436,13.30036,False,0,-1.490148,0.02200705,-3.198659,0.2086052,-0.225393,0.9516732,False,0.09070445
265.6471,0.09115992,0.01373472,-0.04079149,0,0,0,0.004811747,13.12958,False,0,-1.4901,0.02204472,-3.198613,0.2110833,-0.2235766,0.9515553,False,0.09070781
265.6804,0.08810041,0.01327376,-0.03942244,0,0,0,0.004773853,12.98042,False,0,-1.489996,0.0220722,-3.198585,0.2158923,-0.222537,0.9507196,False,0.09075013
265.7144,0.0809091,0.01219027,-0.03620454,0,0,0,0.004679929,12.69667,False,0,-1.489802,0.022129,-3.19851,0.2229741,-0.2197751,0.9497271,False,0.09082717
265.7545,0.06947737,0.01046789,-0.03108916,0,0,0,0.004513816,12.27522,False,0,-1.48949,0.02218527,-3.198427,0.2287153,-0.2150208,0.9494501,False,0.09097529
265.7815,0.05421008,0.008167628,-0.02425748,0,0,0,0.004247558,11.92646,False,0,-1.489186,0.02217579,-3.198375,0.2305722,-0.2132398,0.9494026,False,0.09116802
265.8134,0.042658,0.00642712,-0.01908825,0,0,0,0.003994408,11.81283,False,0,-1.488862,0.02214694,-3.198337,0.2315991,-0.2109828,0.9496569,False,0.09138732
265.8475,0.03307128,0.004982726,-0.01479846,0,0,0,0.003728793,11.74652,False,0,-1.488504,0.02210939,-3.198297,0.2335949,-0.2090266,0.9496006,False,0.09163432
265.8781,0.02519947,0.003796709,-0.01127605,0,0,0,0.003447956,11.624,False,0,-1.488137,0.02206612,-3.198251,0.2363789,-0.2072908,0.9492921,False,0.09189329
265.9111,0.01941874,0.002925749,-0.008689338,0,0,0,0.003180817,11.45564,False,0,-1.487826,0.02199888,-3.198198,0.2363562,-0.2073807,0.9492782,False,0.09213871
265.9411,0.01609425,0.002424861,-0.007201724,0,0,0,0.002989291,11.45722,False,0,-1.487517,0.02195233,-3.198148,0.2366113,-0.2060449,0.9495055,False,0.09236705
265.9778,0.01355749,0.002042655,-0.006066592,0,0,0,0.002814915,11.43849,False,0,-1.487109,0.02188253,-3.198111,0.238876,-0.2040672,0.9493655,False,0.09267164
266.0087,0.01104514,0.001664129,-0.004942388,0,0,0,0.00260715,11.29974,False,0,-1.486813,0.02184308,-3.198081,0.2408278,-0.201989,0.9493169,False,0.09288556
266.0386,0.009804358,0.001477186,-0.004387173,0,0,0,0.002486598,11.17894,False,0,-1.486566,0.02178556,-3.198052,0.2407703,-0.202025,0.9493237,False,0.09308358
