Time,ConeApproachGuidanceVF_forceX0,ConeApproachGuidanceVF_forceY0,ConeApproachGuidanceVF_forceZ0,ConeApproachGuidanceVF_dist0,Assisted,Assistance,PositionX,PositionY,PositionZ,ForwardX,ForwardY,ForwardZ,Clutch,FromCamera
1126.373,7.423544E-06,-1.055756E-05,-6.68112E-06,0.004211913,True,1,-1.487672,0.01911336,-3.228228,0.1631241,-0.03216539,0.9860811,False,0.09557548
1126.407,7.438657E-06,-1.089331E-05,-6.839486E-06,0.004223593,True,1,-1.487602,0.01912862,-3.228268,0.1628781,-0.03224187,0.9861193,False,0.09561128
1126.437,6.500815E-06,-9.885957E-06,-6.145809E-06,0.004182101,True,1,-1.487468,0.01917416,-3.228302,0.161564,-0.02989946,0.9864092,False,0.09565977
1126.465,5.445797E-06,-8.993563E-06,-5.476395E-06,0.004136514,True,1,-1.487348,0.01917994,-3.228343,0.16115,-0.02996169,0.9864751,False,0.09573238
1126.495,4.360257E-06,-7.697193E-06,-4.613413E-06,0.004068437,True,1,-1.487308,0.01922202,-3.228352,0.1600462,-0.02737,0.98673,False,0.095724
1126.524,4.351623E-06,-7.963909E-06,-4.734163E-06,0.004079805,True,1,-1.487341,0.01923048,-3.228364,0.159983,-0.02732129,0.9867416,False,0.09570033
1126.568,4.560263E-06,-8.209573E-06,-4.898411E-06,0.004094982,True,1,-1.487469,0.0192529,-3.228378,0.159979,-0.02703408,0.9867502,False,0.09561095
1126.609,5.616392E-06,-9.487453E-06,-5.745695E-06,0.004162485,True,1,-1.48764,0.01929283,-3.228421,0.1599522,-0.02683885,0.9867598,False,0.0954885
1126.649,7.317186E-06,-1.144908E-05,-7.065787E-06,0.004252305,True,1,-1.48776,0.01937914,-3.228497,0.1587675,-0.02409879,0.9870219,False,0.09536554
1126.68,9.111706E-06,-1.378417E-05,-8.580833E-06,0.004339441,True,1,-1.487844,0.01944369,-3.228563,0.1550405,-0.02256226,0.9876505,False,0.09527884
1126.712,1.051561E-05,-1.556786E-05,-9.746255E-06,0.004397926,True,1,-1.487968,0.01947153,-3.228616,0.1547379,-0.02234473,0.9877028,False,0.0951956
1126.742,1.24124E-05,-1.749411E-05,-1.109802E-05,0.00445666,True,1,-1.488131,0.01954496,-3.228671,0.1537715,-0.01972154,0.9879096,False,0.09505454
1126.773,1.66573E-05,-2.232805E-05,-1.436423E-05,0.004568927,True,1,-1.488271,0.01959848,-3.228737,0.1563099,-0.01843024,0.9875361,False,0.09494428
1126.805,2.070832E-05,-2.655589E-05,-1.730368E-05,0.004652265,True,1,-1.488515,0.01968873,-3.228773,0.1553698,-0.01587433,0.9877288,False,0.09473968
1126.837,3.341148E-05,-3.996669E-05,-2.659182E-05,0.004834719,True,1,-1.48863,0.01975387,-3.228796,0.1545689,-0.01327796,0.9878928,False,0.09462664
1126.866,4.297818E-05,-5.016253E-05,-3.363105E-05,0.004934551,True,1,-1.488681,0.01983196,-3.228816,0.1562809,-0.009456091,0.9876674,False,0.09453907
1126.896,5.106494E-05,-5.975831E-05,-4.003155E-05,0.005008354,True,1,-1.48874,0.01985312,-3.228831,0.1563056,-0.009490488,0.9876631,False,0.09449136
