Time,SurfaceOrientationGuidanceVF_forceX0,SurfaceOrientationGuidanceVF_forceY0,SurfaceOrientationGuidanceVF_forceZ0,SurfaceOrientationGuidanceVF_torqueX0,SurfaceOrientationGuidanceVF_torqueY0,SurfaceOrientationGuidanceVF_torqueZ0,SurfaceOrientationGuidanceVF_dist0,SurfaceOrientationGuidanceVF_angle0,Assisted,Assistance,PositionX,PositionY,PositionZ,ForwardX,ForwardY,ForwardZ,Clutch,FromCamera
543.4722,0.2669407,0.04021894,-0.1194484,0,0,0,0.006129737,8.782997,False,0,-1.497975,-0.006796777,-3.2211,0.2779507,-0.1295025,0.9518259,False,0.1117656
543.5051,0.3854342,0.05807193,-0.1724709,0,0,0,0.00670278,8.710638,False,0,-1.49802,-0.007321239,-3.220715,0.277354,-0.1287439,0.9521028,False,0.1121876
543.5364,0.4566767,0.06880575,-0.2043499,0,0,0,0.007020087,8.742399,False,0,-1.498203,-0.007768095,-3.220328,0.2792692,-0.127456,0.9517162,False,0.1124857
543.5703,0.5573407,0.08397242,-0.2493942,0,0,0,0.00747405,8.622771,False,0,-1.498454,-0.008134067,-3.219985,0.281006,-0.1260145,0.9513969,False,0.1126892
543.605,0.6534129,0.09844726,-0.2923838,0,0,0,0.007957319,8.512923,False,0,-1.49867,-0.00851959,-3.219611,0.2807195,-0.1254335,0.9515582,False,0.1129242
543.653,0.7318746,0.1102688,-0.3274932,0,0,0,0.008445809,8.527123,False,0,-1.49895,-0.008741081,-3.219344,0.2821988,-0.1242505,0.9512758,False,0.1129955
543.6849,0.7844794,0.1181946,-0.3510324,0,0,0,0.00887926,8.433681,False,0,-1.498946,-0.008879125,-3.21924,0.2827131,-0.1241364,0.951138,False,0.113115
543.7126,0.7945326,0.1197092,-0.3555309,0,0,0,0.008979647,8.402609,False,0,-1.498865,-0.008915126,-3.219247,0.2825474,-0.1240975,0.9511923,False,0.1131801
543.7474,0.7893144,0.118923,-0.3531959,0,0,0,0.008926603,8.412231,False,0,-1.498803,-0.008870184,-3.219383,0.2814075,-0.1222989,0.951763,False,0.1131743
543.7828,0.7748951,0.1167505,-0.3467437,0,0,0,0.008789999,8.471158,False,0,-1.49876,-0.008156002,-3.219545,0.2732261,-0.06298163,0.9598859,False,0.1125504
543.8188,0.7311738,0.1101632,-0.3271796,0,0,0,0.008440793,8.621996,False,0,-1.498609,-0.007990181,-3.219857,0.2645006,-0.003741294,0.9643783,False,0.1124852
543.8518,0.6796738,0.1024039,-0.3041348,0,0,0,0.008107301,8.716859,False,0,-1.49836,-0.00810796,-3.2203,0.2553616,0.02693447,0.9664704,False,0.112731
543.8898,0.607097,0.09146902,-0.2716587,0,0,0,0.007714368,9.00283,False,0,-1.49801,-0.007999659,-3.220873,0.2485445,0.04133027,0.9677383,False,0.1128252
543.9252,0.4793585,0.07222314,-0.2144994,0,0,0,0.007120564,9.276504,False,0,-1.497742,-0.007480741,-3.221405,0.2414768,0.06916744,0.9679384,False,0.1125128
543.9574,0.3433852,0.05173655,-0.1536552,0,0,0,0.006509334,9.432089,False,0,-1.497519,-0.007251501,-3.221891,0.2325096,0.09458047,0.9679844,False,0.1124448
543.9944,0.2546701,0.03837019,-0.1139577,0,0,0,0.00606361,9.703161,False,0,-1.497326,-0.006921947,-3.222559,0.2232882,0.1171359,0.9676888,False,0.112297
544.0317,0.1782828,0.02686119,-0.0797765,0,0,0,0.005595836,10.00241,False,0,-1.497177,-0.006772995,-3.223105,0.2186351,0.1256801,0.9676793,False,0.1122856
544.0651,0.1392425,0.02097914,-0.06230706,0,0,0,0.005296302,10.17931,False,0,-1.496942,-0.006364107,-3.223754,0.2128726,0.1353524,0.9676596,False,0.1120898
544.0979,0.1000908,0.01508031,-0.04478781,0,0,0,0.004916253,10.40558,False,0,-1.496729,-0.006098092,-3.224264,0.208382,0.1428712,0.9675561,False,0.1120017
544.1362,0.07998665,0.01205129,-0.03579177,0,0,0,0.004667343,10.58005,False,0,-1.496387,-0.005747318,-3.2249,0.2032518,0.1501983,0.9675377,False,0.1119105
544.1735,0.05158309,0.00777183,-0.02308198,0,0,0,0.004194799,10.79189,False,0,-1.496101,-0.00553453,-3.225375,0.1998415,0.1541701,0.9676234,False,0.1119035
544.205,0.02927201,0.004410304,-0.0130984,0,0,0,0.003602408,10.94226,False,0,-1.495881,-0.005332708,-3.225765,0.1969528,0.1576006,0.967663,False,0.1118694
544.2454,0.01824103,0.002748307,-0.008162345,0,0,0,0.003116922,11.06838,False,0,-1.495638,-0.005082905,-3.226233,0.1943093,0.1590672,0.9679574,False,0.1118156
544.278,0.01041804,0.001569646,-0.004661778,0,0,0,0.002547996,11.20328,False,0,-1.495577,-0.004988194,-3.226387,0.1936654,0.1591556,0.9680719,False,0.1117794
544.3112,0.008739227,0.001316707,-0.003910558,0,0,0,0.002370403,11.23929,False,0,-1.495605,-0.004915237,-3.226435,0.1934435,0.1595564,0.9680503,False,0.1117094
544.3465,0.008432315,0.001270465,-0.003773223,0,0,0,0.00233431,11.24729,False,0,-1.495674,-0.004893422,-3.226371,0.1940372,0.1594747,0.967945,False,0.1116513
544.3829,0.009178473,0.001382886,-0.004107107,0,0,0,0.002419933,11.21412,False,0,-1.495779,-0.004915714,-3.226247,0.1949631,0.1590244,0.967833,False,0.1116084
544.4175,0.0107882,0.001625418,-0.004827417,0,0,0,0.002583325,11.16615,False,0,-1.495944,-0.004957199,-3.226015,0.1965435,0.1585082,0.967598,False,0.1115421
544.4536,0.01428871,0.002152826,-0.006393793,0,0,0,0.002868267,11.08125,False,0,-1.49602,-0.004999101,-3.225824,0.197649,0.1584594,0.9673808,False,0.1115205
544.4885,0.01736154,0.002615798,-0.0077688,0,0,0,0.003066514,11.01816,False,0,-1.496045,-0.005078912,-3.225588,0.1990315,0.1581676,0.967145,False,0.111548
544.5261,0.0213461,0.003216136,-0.009551777,0,0,0,0.003277628,10.94192,False,0,-1.495992,-0.005149066,-3.225426,0.1999744,0.1577584,0.9670174,False,0.1116106
544.5591,0.0238035,0.003586384,-0.01065139,0,0,0,0.003389379,10.89242,False,0,-1.495916,-0.00523597,-3.22525,0.2009727,0.1567955,0.966967,False,0.1116959
