Time,ConeApproachGuidanceVF_forceX0,ConeApproachGuidanceVF_forceY0,ConeApproachGuidanceVF_forceZ0,ConeApproachGuidanceVF_dist0,Assisted,Assistance,PositionX,PositionY,PositionZ,ForwardX,ForwardY,ForwardZ,Clutch,FromCamera
394.4092,4.383131E-05,2.781702E-05,5.639305E-06,0.001333482,False,0,-1.487849,0.003519893,-3.222827,0.09105552,-0.1993979,0.9756789,False,0.1074878
394.4429,4.553712E-05,3.125172E-05,7.133275E-06,0.001359442,False,0,-1.487845,0.003453851,-3.222871,0.09094884,-0.1992687,0.9757153,False,0.1075514
394.4773,4.870766E-05,3.663735E-05,9.369131E-06,0.001400602,False,0,-1.487866,0.003441036,-3.222888,0.09066948,-0.1985044,0.9758971,False,0.1075537
394.5035,5.18585E-05,3.923096E-05,1.009626E-05,0.001427309,False,0,-1.487888,0.003429949,-3.222907,0.09013749,-0.1969264,0.976266,False,0.107554
394.5359,5.528041E-05,4.197621E-05,1.08474E-05,0.001454305,False,0,-1.487895,0.003403544,-3.222931,0.09008947,-0.1968752,0.9762807,False,0.1075757
394.5677,5.807555E-05,4.545246E-05,1.212936E-05,0.001479593,False,0,-1.487918,0.003396809,-3.222941,0.09010714,-0.1969261,0.9762688,False,0.1075709
394.5996,6.168979E-05,4.801917E-05,1.274232E-05,0.001503408,False,0,-1.487947,0.003396988,-3.222951,0.09012391,-0.1969463,0.9762632,False,0.107557
394.6309,6.582605E-05,5.044695E-05,1.31674E-05,0.001527543,False,0,-1.487961,0.003397465,-3.222959,0.09012446,-0.1969721,0.976258,False,0.1075509
394.6623,6.775459E-05,5.166556E-05,1.341271E-05,0.001538812,False,0,-1.48794,0.003402531,-3.222965,0.09014741,-0.1972437,0.976201,False,0.107558
394.6947,6.428752E-05,4.974278E-05,1.311706E-05,0.00152044,False,0,-1.487927,0.003411293,-3.222967,0.09020123,-0.1975298,0.9761382,False,0.1075573
394.7294,6.179349E-05,4.797772E-05,1.269747E-05,0.001505364,False,0,-1.487921,0.003409564,-3.222964,0.09024283,-0.1976662,0.9761067,False,0.1075615
394.7607,6.108613E-05,4.76046E-05,1.26475E-05,0.0015011,False,0,-1.487912,0.003411889,-3.222964,0.09022637,-0.197674,0.9761066,False,0.1075642
394.7933,5.969244E-05,4.675641E-05,1.248794E-05,0.001492719,False,0,-1.487917,0.003399432,-3.222975,0.09048589,-0.1985521,0.9759044,False,0.1075737
394.8279,6.132894E-05,4.865375E-05,1.31636E-05,0.001505991,False,0,-1.487919,0.003395975,-3.22297,0.0907371,-0.1992996,0.9757287,False,0.1075746
394.8599,6.194099E-05,4.900711E-05,1.322353E-05,0.001509149,False,0,-1.487907,0.003398597,-3.222965,0.09074981,-0.1994155,0.9757038,False,0.1075779
394.9031,6.007609E-05,4.772404E-05,1.29295E-05,0.001497316,False,0,-1.487872,0.003382266,-3.222969,0.0912979,-0.2013156,0.9752624,False,0.1076103
394.9345,5.67469E-05,4.699056E-05,1.324867E-05,0.001481281,False,0,-1.487864,0.003387928,-3.222956,0.09179788,-0.2028952,0.9748881,False,0.1076082
394.9617,5.529196E-05,4.554309E-05,1.277737E-05,0.001469393,False,0,-1.487864,0.003363371,-3.222958,0.09138608,-0.2059397,0.9742882,False,0.1076289
394.9909,5.716736E-05,4.799079E-05,1.369997E-05,0.001485639,False,0,-1.487855,0.003347456,-3.222964,0.09271319,-0.2104175,0.9732054,False,0.1076477
395.0269,5.723443E-05,4.912412E-05,1.429965E-05,0.001490023,False,0,-1.487889,0.003363729,-3.222938,0.09329922,-0.2121571,0.9727716,False,0.1076137
395.0555,6.021306E-05,4.903998E-05,1.361301E-05,0.001500192,False,0,-1.48786,0.003332198,-3.222929,0.09443669,-0.2158585,0.9718471,False,0.107654
395.088,5.88722E-05,4.990825E-05,1.437201E-05,0.001496938,False,0,-1.487749,0.003297627,-3.22289,0.09542556,-0.2193944,0.9709584,False,0.1077358
395.121,4.804875E-05,4.473728E-05,1.389957E-05,0.001430267,False,0,-1.487634,0.003267229,-3.222833,0.0959959,-0.2213866,0.9704497,False,0.1078135
395.1518,3.863825E-05,3.942286E-05,1.304512E-05,0.001358245,False,0,-1.487525,0.003225744,-3.222783,0.0964886,-0.2230428,0.9700216,False,0.1078991
395.1856,3.188812E-05,3.63357E-05,1.28251E-05,0.001303305,False,0,-1.487369,0.003158391,-3.222706,0.09712539,-0.2250067,0.9695044,False,0.1080273
395.2178,2.442781E-05,3.337677E-05,1.282742E-05,0.001238551,False,0,-1.487229,0.003111124,-3.222626,0.09738347,-0.2257058,0.9693159,False,0.1081298
395.2483,1.861404E-05,3.035168E-05,1.243951E-05,0.001176717,False,0,-1.487047,0.003031313,-3.222535,0.09772932,-0.22663,0.9690654,False,0.1082807
395.2795,1.295606E-05,2.904842E-05,1.295088E-05,0.00113085,False,0,-1.486852,0.002919018,-3.222398,0.09865741,-0.2288539,0.9684486,False,0.1084606
395.3111,8.212978E-06,2.950664E-05,1.421986E-05,0.001112561,False,0,-1.486634,0.002773166,-3.222224,0.1005029,-0.2336424,0.9671145,False,0.1086771
395.343,3.25575E-06,3.212938E-05,1.670761E-05,0.001127615,False,0,-1.486433,0.002672613,-3.221973,0.1015052,-0.2349814,0.9666853,False,0.1088386
395.3753,-1.41685E-06,3.041698E-05,1.678543E-05,0.001092902,False,0,-1.486212,0.002505779,-3.221632,0.1027728,-0.2356812,0.966381,False,0.1090577
395.4082,-6.372232E-06,3.134898E-05,1.835671E-05,0.001093377,False,0,-1.486076,0.002387226,-3.221376,0.1036715,-0.2358292,0.9662489,False,0.1092014
395.4368,-9.437606E-06,3.190004E-05,1.931495E-05,0.001093339,False,0,-1.485998,0.002286375,-3.22114,0.1044497,-0.2354816,0.9662498,False,0.1093032
395.4693,-1.059663E-05,3.14808E-05,1.933723E-05,0.001078135,False,0,-1.485955,0.002191782,-3.220912,0.1054176,-0.2355901,0.9661182,False,0.1093826
395.4997,-1.042569E-05,3.052724E-05,1.878382E-05,0.001052485,False,0,-1.485949,0.00211966,-3.220685,0.1064305,-0.2357131,0.9659772,False,0.1094241
395.5334,-8.672446E-06,2.785783E-05,1.696015E-05,0.0009992467,False,0,-1.485953,0.002068698,-3.220481,0.1072801,-0.2355942,0.9659122,False,0.1094454
395.5644,-6.850945E-06,2.485449E-05,1.494104E-05,0.0009383283,False,0,-1.485996,0.002026737,-3.220283,0.1081906,-0.2355078,0.9658318,False,0.1094395
395.5968,-4.083449E-06,2.177759E-05,1.267829E-05,0.000866231,False,0,-1.486068,0.001975,-3.220031,0.1095279,-0.2359014,0.9655849,False,0.1094228
395.6306,-6.750928E-07,1.864787E-05,1.024906E-05,0.0007808562,False,0,-1.486105,0.001947105,-3.219863,0.1102939,-0.2358474,0.9655109,False,0.1094117
395.6624,1.059197E-06,1.672768E-05,8.835474E-06,0.0007257387,False,0,-1.486147,0.001911104,-3.219703,0.1111595,-0.236136,0.9653411,False,0.1094058
395.6964,2.826953E-06,1.556893E-05,7.82712E-06,0.0006892189,False,0,-1.486223,0.001845479,-3.219527,0.1097246,-0.23823,0.9649907,False,0.1094068
395.7316,5.7098E-06,1.562062E-05,7.234818E-06,0.0006906312,False,0,-1.486352,0.001784205,-3.219258,0.1085112,-0.2396196,0.9647838,False,0.1093689
395.7632,1.073437E-05,1.498606E-05,5.809786E-06,0.0007027904,False,0,-1.4865,0.001733899,-3.21903,0.1067923,-0.2397495,0.9649433,False,0.1093161
395.793,1.770795E-05,1.557691E-05,4.629259E-06,0.0007791889,False,0,-1.486696,0.001642525,-3.218771,0.1026289,-0.2407802,0.9651384,False,0.1092718
395.8268,3.266555E-05,1.964226E-05,3.612986E-06,0.0009525876,False,0,-1.486905,0.001535952,-3.218491,0.09859076,-0.2418823,0.9652838,False,0.109233
395.8577,6.248353E-05,2.786169E-05,1.64974E-06,0.001170726,False,0,-1.487145,0.001363873,-3.218097,0.09209424,-0.242867,0.9656782,False,0.1092269
395.8908,0.000140106,4.802088E-05,-4.131967E-06,0.001458716,False,0,-1.487302,0.001216829,-3.217802,0.08975536,-0.244335,0.9655281,False,0.109251
395.9332,0.0002470464,7.478148E-05,-1.264598E-05,0.001664766,False,0,-1.487415,0.0009950995,-3.217418,0.08827922,-0.2491812,0.964425,False,0.109357
395.9615,0.0004234601,0.0001211277,-2.549815E-05,0.00185558,False,0,-1.487377,0.0008838177,-3.217119,0.09099313,-0.2533129,0.9630954,False,0.1094517
395.992,0.0004587356,0.0001202092,-3.358718E-05,0.001867745,False,0,-1.487266,0.0007134676,-3.216915,0.09612836,-0.2614719,0.9604123,False,0.1096412
396.0232,0.0004190431,0.0001234174,-2.330726E-05,0.001818998,False,0,-1.487183,0.000626266,-3.216712,0.1001261,-0.2664316,0.9586391,False,0.1097457
396.0561,0.0003878664,0.0001121311,-2.271314E-05,0.001774607,False,0,-1.487071,0.0004551411,-3.21659,0.101011,-0.2767287,0.9556244,False,0.1099418
396.0881,0.000347503,0.0001208718,-9.290892E-06,0.001725395,False,0,-1.48682,0.000257194,-3.216501,0.1118041,-0.2969086,0.9483381,False,0.1102343
396.121,0.0002306802,0.0001079353,8.83972E-06,0.001566245,False,0,-1.486667,0.00017941,-3.21639,0.1160358,-0.3172756,0.9412077,False,0.1103722
396.1527,0.0001768231,9.087291E-05,1.118483E-05,0.001458525,False,0,-1.486499,1.549721E-06,-3.21639,0.1240557,-0.344637,0.9305029,False,0.1106104
396.1869,0.0001449169,9.966618E-05,2.281571E-05,0.001405828,False,0,-1.486312,-0.0002775192,-3.216453,0.1363356,-0.3841426,0.9131523,False,0.1109492
396.2196,0.0001371938,0.0001421553,4.749867E-05,0.001454042,False,0,-1.486074,-0.0004271865,-3.216391,0.1469272,-0.4124894,0.8990356,False,0.1111955
396.2501,0.0001008605,0.0001416189,5.502656E-05,0.001401385,False,0,-1.486037,-0.0002353191,-3.216165,0.1436007,-0.4036777,0.9035614,False,0.111037
396.2843,6.76187E-05,7.518545E-05,2.618575E-05,0.001172171,False,0,-1.485995,-0.0002474189,-3.21608,0.1360855,-0.3916908,0.9099776,False,0.1110641
396.3175,6.196348E-05,6.891363E-05,2.400416E-05,0.001132438,False,0,-1.485907,-0.000287354,-3.216019,0.1318672,-0.3805519,0.9153095,False,0.1111402
396.3493,5.289387E-05,6.511824E-05,2.389959E-05,0.001090316,False,0,-1.485836,-0.0003736019,-3.215961,0.130364,-0.3757265,0.9175156,False,0.1112469
396.3827,5.017534E-05,7.004174E-05,2.715249E-05,0.001098522,False,0,-1.485852,-0.0004221797,-3.215794,0.1300246,-0.3727175,0.9187901,False,0.1112716
396.4152,5.502515E-05,6.905108E-05,2.557177E-05,0.001096314,False,0,-1.485789,-0.0004928112,-3.215655,0.1313529,-0.3745619,0.9178507,False,0.1113572
