Time,TrajectoryGuidanceVF_forceX0,TrajectoryGuidanceVF_forceY0,TrajectoryGuidanceVF_forceZ0,TrajectoryGuidanceVF_dist0,Assisted,Assistance,PositionX,PositionY,PositionZ,ForwardX,ForwardY,ForwardZ,Clutch,FromCamera
534.1019,0,0,0,0,True,1,-1.498381,0.00455213,-3.234357,0,-1.629207E-07,1,False,0.1036724
534.1346,0,0,0,0,True,1,-1.498381,0.00455213,-3.234357,0,-1.629207E-07,1,False,0.1036724
534.1801,0,0,0,0,True,1,-1.498381,0.00455213,-3.234357,0,-1.629207E-07,1,False,0.1036724
534.2189,0,0,0,0,True,1,-1.498381,0.00455213,-3.234357,0,-1.629207E-07,1,False,0.1036724
534.2537,0,0,0,0,True,1,-1.498381,0.00455213,-3.234357,0,-1.629207E-07,1,False,0.1036724
534.2918,0,0,0,0,True,1,-1.498381,0.00455213,-3.234357,0,-1.629207E-07,1,False,0.1036724
534.3212,0,0,0,0,True,1,-1.498381,0.00455213,-3.234357,0,-1.629207E-07,1,False,0.1036724
534.351,0,0,0,0,True,1,-1.498381,0.00455213,-3.234357,0,-1.629207E-07,1,False,0.1036724
534.3785,0,0,0,0,True,1,-1.498381,0.00455213,-3.234357,0,-1.629207E-07,1,False,0.1036724
534.4147,0,0,0,0,True,1,-1.498381,0.00455213,-3.234357,0,-1.629207E-07,1,False,0.1036724
534.4428,0,0,0,0,True,1,-1.498382,0.004552128,-3.234357,-2.980234E-08,-3.203749E-07,1,False,0.1036722
534.4747,-0.01062175,0.008024811,-0.001580243,0.0001779888,True,1,-1.49824,0.004445584,-3.234336,0.03838396,-0.03628016,0.9986042,False,0.1038209
534.5021,-0.01062175,0.008024811,-0.001580243,0.0001779888,True,1,-1.498195,0.004402339,-3.234239,0.06821743,-0.06468722,0.9955711,False,0.1038555
534.5341,-0.01255842,0.02209278,-0.003143114,0.0002175431,True,1,-1.498227,0.004435696,-3.234024,0.06833836,-0.06460459,0.9955682,False,0.1037621
534.5674,-0.0117731,0.03148247,-0.007600059,0.0003524194,True,1,-1.498214,0.004301423,-3.233973,0.06856938,-0.06374928,0.9956075,False,0.1038733
534.5939,-0.0117731,0.03148247,-0.007600059,0.0003524194,True,1,-1.498186,0.004217653,-3.23391,0.06867486,-0.06366916,0.9956053,False,0.1039439
534.6271,-0.01033765,0.04644058,-0.01157902,0.0005454564,True,1,-1.49821,0.004120158,-3.23386,0.0690889,-0.06292921,0.9956238,False,0.1040071
534.6527,-0.01034219,0.04646097,-0.01158411,0.0005454564,True,1,-1.498258,0.004039085,-3.233815,0.06943764,-0.06209284,0.995652,False,0.1040467
534.6808,-0.004205386,0.04548505,-0.008269117,0.000625053,True,1,-1.498273,0.00398556,-3.233804,0.06952412,-0.06111771,0.9957063,False,0.1040847
534.7094,-0.002589267,0.04508414,-0.01184763,0.0007243634,True,1,-1.498285,0.003937984,-3.233805,0.06939892,-0.06006843,0.9957789,False,0.1041214
534.7345,-0.002272437,0.03956752,-0.01039792,0.0007243634,True,1,-1.498209,0.003928008,-3.233825,0.06926334,-0.06010928,0.9957858,False,0.104167
