X,Y,Z
-1.498381,0.00455213,-3.234357
-1.498372,0.004566492,-3.234296
-1.498363,0.004580798,-3.234235
-1.498353,0.004595047,-3.234174
-1.498344,0.004609243,-3.234112
-1.498334,0.004623389,-3.234051
-1.498325,0.004637483,-3.233989
-1.498315,0.004651529,-3.233927
-1.498306,0.004665529,-3.233864
-1.498296,0.004679484,-3.233801
-1.498287,0.004693396,-3.233739
-1.498278,0.004707267,-3.233676
-1.498268,0.004721098,-3.233613
-1.498259,0.004734891,-3.23355
-1.49825,0.004748648,-3.233486
-1.498241,0.004762372,-3.233423
-1.498231,0.004776064,-3.233359
-1.498222,0.004789724,-3.233296
-1.498213,0.004803355,-3.233232
-1.498204,0.00481696,-3.233168
-1.498195,0.004830539,-3.233104
-1.498185,0.004844094,-3.23304
-1.498176,0.004857628,-3.232975
-1.498167,0.004871143,-3.232911
-1.498158,0.004884638,-3.232847
-1.498149,0.004898116,-3.232782
-1.498139,0.004911581,-3.232718
-1.49813,0.004925032,-3.232653
-1.498121,0.004938473,-3.232589
-1.498112,0.004951904,-3.232524
-1.498103,0.004965326,-3.232459
-1.498094,0.004978743,-3.232395
-1.498085,0.004992156,-3.23233
-1.498076,0.005005567,-3.232265
-1.498066,0.005018977,-3.2322
-1.498057,0.005032388,-3.232136
-1.498048,0.005045802,-3.232071
-1.498039,0.005059222,-3.232006
-1.49803,0.005072647,-3.231942
-1.498021,0.005086081,-3.231877
-1.498012,0.005099525,-3.231812
-1.498002,0.00511298,-3.231748
-1.497993,0.005126448,-3.231683
-1.497984,0.005139933,-3.231619
-1.497975,0.005153435,-3.231555
-1.497966,0.005166955,-3.23149
-1.497957,0.005180496,-3.231426
-1.497947,0.005194059,-3.231362
-1.497938,0.005207646,-3.231298
-1.497929,0.00522126,-3.231234
-1.49792,0.005234901,-3.23117
-1.497911,0.005248571,-3.231106
-1.497901,0.005262273,-3.231043
-1.497892,0.005276008,-3.230979
-1.497883,0.005289777,-3.230916
-1.497873,0.005303583,-3.230853
-1.497864,0.005317427,-3.23079
-1.497855,0.00533131,-3.230727
-1.497845,0.005345237,-3.230665
-1.497836,0.005359207,-3.230602
-1.497827,0.005373221,-3.23054
-1.497817,0.005387284,-3.230478
