Time,ConeApproachGuidanceVF_forceX0,ConeApproachGuidanceVF_forceY0,ConeApproachGuidanceVF_forceZ0,ConeApproachGuidanceVF_dist0,Assisted,Assistance,PositionX,PositionY,PositionZ,ForwardX,ForwardY,ForwardZ,Clutch,FromCamera
458.3957,0.002514445,-0.001701735,-0.001399582,0.004753947,True,0.25,-1.484043,0.00869143,-3.206815,0.1371381,-0.3098444,0.9408452,False,0.1044563
458.4413,0.004145318,-0.002786406,-0.00229856,0.004910264,True,0.25,-1.483868,0.008550167,-3.206306,0.13564,-0.3068327,0.9420486,False,0.1046878
458.476,0.004603809,-0.003246234,-0.002622653,0.004921085,True,0.25,-1.483698,0.008414865,-3.206066,0.1370701,-0.3074575,0.9416378,False,0.1049036
458.5095,0.003796782,-0.002743868,-0.002193625,0.00482614,True,0.25,-1.483558,0.008296072,-3.205703,0.1390052,-0.308151,0.9411273,False,0.1050947
458.5506,0.003901911,-0.002913104,-0.002297328,0.004814231,True,0.25,-1.483404,0.00813812,-3.205407,0.1469546,-0.3148187,0.9377066,False,0.1053244
458.5849,0.00345948,-0.002629655,-0.002058428,0.004743595,True,0.25,-1.483377,0.008092344,-3.205137,0.1517178,-0.3186638,0.935647,False,0.1053887
458.6201,0.004303779,-0.003319282,-0.002582844,0.004815228,True,0.25,-1.483348,0.008032918,-3.204773,0.1533133,-0.3189978,0.9352729,False,0.1054711
458.6567,0.005871853,-0.004609416,-0.003561086,0.004918331,True,0.25,-1.4833,0.007952034,-3.204515,0.1546234,-0.3193239,0.9349459,False,0.1055779
458.689,0.006632432,-0.005247681,-0.004041345,0.004949688,True,0.25,-1.483153,0.007842243,-3.204203,0.1589456,-0.3199323,0.9340127,False,0.1057678
458.7233,0.006448913,-0.005272451,-0.004007824,0.004919341,True,0.25,-1.483041,0.007739782,-3.203974,0.1600486,-0.3202228,0.9337248,False,0.1059282
458.7597,0.006111534,-0.005089984,-0.003841157,0.00488217,True,0.25,-1.482868,0.007579267,-3.20365,0.161615,-0.3205999,0.9333254,False,0.1061767
458.7916,0.005418591,-0.004632122,-0.003460579,0.004811223,True,0.25,-1.482721,0.007458448,-3.203407,0.1625847,-0.3206832,0.9331284,False,0.1063735
458.8267,0.0048011,-0.004209653,-0.003114762,0.004746616,True,0.25,-1.48258,0.007326663,-3.203158,0.1638034,-0.3208652,0.9328526,False,0.1065769
458.8591,0.004275411,-0.003827912,-0.002810195,0.004682698,True,0.25,-1.482462,0.007203877,-3.202932,0.1649191,-0.3210279,0.9326,False,0.1067595
458.8918,0.003902728,-0.00354828,-0.002590135,0.004629687,True,0.25,-1.482367,0.007025778,-3.2026,0.1608238,-0.320879,0.9333662,False,0.1069819
458.9287,0.003930459,-0.003561047,-0.0026028,0.004604782,True,0.25,-1.482257,0.006918192,-3.202404,0.1617682,-0.3211072,0.9331245,False,0.1071457
458.9728,0.00358475,-0.003298563,-0.002397239,0.00455395,True,0.25,-1.482124,0.006782055,-3.202085,0.1632861,-0.3214741,0.9327337,False,0.1073558
