Time,ConeApproachGuidanceVF_forceX0,ConeApproachGuidanceVF_forceY0,ConeApproachGuidanceVF_forceZ0,ConeApproachGuidanceVF_dist0,Assisted,Assistance,PositionX,PositionY,PositionZ,ForwardX,ForwardY,ForwardZ,Clutch,FromCamera
42.74743,-3.124802E-09,1.177201E-09,1.30738E-09,0.001747619,True,1,-1.486733,0.02043694,-3.241634,0.2018981,-0.3872954,0.8995774,False,0.09854663
42.77081,-2.79002E-09,1.080348E-09,1.180804E-09,0.001703064,True,1,-1.486756,0.02043396,-3.241606,0.2021708,-0.387379,0.8994802,False,0.09852686
42.7941,-2.599885E-09,1.015754E-09,1.104489E-09,0.001673974,True,1,-1.486798,0.02042985,-3.241565,0.2026689,-0.3875171,0.8993086,False,0.09849308
42.82112,-2.299589E-09,9.166445E-10,9.853129E-10,0.001624268,True,1,-1.486836,0.02041757,-3.241473,0.2031856,-0.3877261,0.8991019,False,0.0984508
42.84784,-1.98942E-09,7.965111E-10,8.540193E-10,0.001561139,True,1,-1.486887,0.02040404,-3.241362,0.2035993,-0.3879073,0.8989302,False,0.09839661
42.87203,-1.652844E-09,6.666559E-10,7.117909E-10,0.001481008,True,1,-1.486919,0.02039516,-3.241294,0.2038765,-0.3880236,0.8988171,False,0.0983635
42.89572,-1.473133E-09,5.982856E-10,6.363024E-10,0.001431481,True,1,-1.486943,0.02038604,-3.241235,0.2042118,-0.388157,0.8986834,False,0.09833779
42.92228,-1.344713E-09,5.492469E-10,5.822686E-10,0.001391871,True,1,-1.486968,0.02037138,-3.241167,0.2045232,-0.3882875,0.8985561,False,0.09831323
42.9443,-1.223169E-09,5.051786E-10,5.321968E-10,0.00135054,True,1,-1.486982,0.0203619,-3.241131,0.2047611,-0.3883761,0.8984636,False,0.09830083
42.9691,-1.161221E-09,4.84537E-10,5.07525E-10,0.001328219,True,1,-1.487025,0.02034712,-3.241073,0.2052536,-0.3886033,0.8982531,False,0.09826925
42.99131,-1.017921E-09,4.413327E-10,4.525376E-10,0.001275184,True,1,-1.487067,0.02033925,-3.241033,0.2054833,-0.3886473,0.8981815,False,0.09823866
43.01633,-9.012159E-10,4.053221E-10,4.073723E-10,0.00122741,True,1,-1.487103,0.0203318,-3.240994,0.2058327,-0.3887399,0.8980613,False,0.09821141
43.04074,-8.090592E-10,3.757298E-10,3.711826E-10,0.00118495,True,1,-1.487169,0.02031279,-3.240901,0.2066183,-0.3889788,0.8977776,False,0.09815871
43.06772,-6.561537E-10,3.235857E-10,3.097191E-10,0.001101322,True,1,-1.487216,0.02029938,-3.240828,0.2070816,-0.389127,0.8976066,False,0.09811945
43.09403,-5.626515E-10,2.898512E-10,2.712895E-10,0.001039978,True,1,-1.487266,0.02026999,-3.240688,0.2078997,-0.3894514,0.8972767,False,0.09806976
43.11736,-4.621494E-10,2.486123E-10,2.276812E-10,0.0009570224,True,1,-1.487282,0.02024752,-3.240575,0.2084039,-0.3897084,0.8970481,False,0.09804226
43.14264,-4.171278E-10,2.245761E-10,2.055835E-10,0.0009087092,True,1,-1.487294,0.02020913,-3.240378,0.2094458,-0.3902321,0.8965776,False,0.09800283
43.16936,-3.625954E-10,1.901286E-10,1.763647E-10,0.0008367485,True,1,-1.487284,0.02016878,-3.240139,0.2103521,-0.3907235,0.8961514,False,0.0979654
43.19458,-3.262492E-10,1.543028E-10,1.50961E-10,0.0007683766,True,1,-1.487292,0.02014053,-3.239967,0.210981,-0.3911057,0.8958367,False,0.09792978
43.21872,-2.921033E-10,1.293865E-10,1.311202E-10,0.0007071315,True,1,-1.487291,0.02010942,-3.239775,0.2117874,-0.3915808,0.8954388,False,0.09789528
43.2435,-2.651584E-10,1.04984E-10,1.132833E-10,0.0006470979,True,1,-1.487311,0.02006233,-3.239469,0.213153,-0.3923265,0.8947881,False,0.09782664
43.26753,-2.170691E-10,6.888926E-11,8.487969E-11,0.0005337705,True,1,-1.487346,0.02003121,-3.239239,0.2140422,-0.3928145,0.8943617,False,0.09776181
43.29457,-1.795916E-10,4.402903E-11,6.425521E-11,0.000432656,True,1,-1.487444,0.01998025,-3.23885,0.2156286,-0.3935985,0.8936356,False,0.09762865
43.31774,-1.214349E-10,4.15406E-12,3.164458E-11,0.0002309409,True,1,-1.487547,0.01994628,-3.23857,0.2167744,-0.3941096,0.893133,False,0.097514
43.34615,-7.086032E-11,-5.78511E-11,-9.302689E-12,8.954854E-05,True,1,-1.487772,0.01989853,-3.238163,0.2187839,-0.3948231,0.8923275,False,0.09730374
43.3754,1.259962E-10,-7.94425E-11,-6.744932E-11,0.0002966082,True,1,-1.488047,0.01983845,-3.237704,0.2236228,-0.3963331,0.8904566,False,0.09706256
43.40118,3.895926E-10,-1.574517E-10,-1.679249E-10,0.0006777977,True,1,-1.488379,0.01977307,-3.237194,0.2263237,-0.3971665,0.8894023,False,0.09678055
43.42944,1.343299E-09,-4.500847E-10,-5.362416E-10,0.001132643,True,1,-1.488634,0.01972038,-3.236781,0.2257458,-0.3970503,0.889601,False,0.09656204
43.4569,3.506083E-09,-1.104566E-09,-1.367286E-09,0.001489929,True,1,-1.488981,0.01963025,-3.236146,0.2260869,-0.3972916,0.8894066,False,0.09626322
43.4853,1.365871E-08,-4.143905E-09,-5.253255E-09,0.00199539,True,1,-1.489297,0.01953357,-3.235486,0.2238602,-0.3968501,0.8901667,False,0.0959842
