Time,SurfaceOrientationGuidanceVF_forceX0,SurfaceOrientationGuidanceVF_forceY0,SurfaceOrientationGuidanceVF_forceZ0,SurfaceOrientationGuidanceVF_torqueX0,SurfaceOrientationGuidanceVF_torqueY0,SurfaceOrientationGuidanceVF_torqueZ0,SurfaceOrientationGuidanceVF_dist0,SurfaceOrientationGuidanceVF_angle0,Assisted,Assistance,PositionX,PositionY,PositionZ,ForwardX,ForwardY,ForwardZ,Clutch,FromCamera
355.2072,-0.6786869,-0.1022552,0.3036932,0,0,0,0.008101463,1.293466,False,0,-1.498616,0.01026875,-3.234151,0.4022757,-0.3837843,0.8311944,False,0.09857278
355.2451,-0.6608849,-0.09957304,0.2957273,0,0,0,0.007998927,1.424228,False,0,-1.498543,0.0102573,-3.234152,0.4008616,-0.3836095,0.8319579,False,0.09861577
355.2737,-0.6551093,-0.09870286,0.2931429,0,0,0,0.007966697,1.513749,False,0,-1.498508,0.01025343,-3.234154,0.4003136,-0.3836226,0.8322156,False,0.0986351
355.3033,-0.6525702,-0.09832029,0.2920067,0,0,0,0.007952674,1.54826,False,0,-1.498498,0.010252,-3.234157,0.4003766,-0.3836486,0.8321733,False,0.09864167
355.3388,-0.6523832,-0.09829212,0.291923,0,0,0,0.007951645,1.544083,False,0,-1.498507,0.01025158,-3.234153,0.4002238,-0.3836006,0.832269,False,0.09863699
355.3827,-0.6522249,-0.09826827,0.2918522,0,0,0,0.007950774,1.553812,False,0,-1.498512,0.0102545,-3.234153,0.3993556,-0.3834438,0.8327581,False,0.09863213
355.4096,-0.6528206,-0.09835803,0.2921188,0,0,0,0.007954054,1.609003,False,0,-1.498526,0.01026195,-3.234161,0.3986875,-0.3833047,0.8331421,False,0.09862139
355.4441,-0.6555266,-0.09876572,0.2933296,0,0,0,0.00796901,1.651498,False,0,-1.498563,0.01027632,-3.234177,0.398533,-0.3832031,0.8332628,False,0.0985962
355.4748,-0.6614238,-0.09965423,0.2959685,0,0,0,0.008001959,1.661539,False,0,-1.498574,0.0102874,-3.2342,0.3995031,-0.3833665,0.832723,False,0.09858749
355.5095,-0.6662823,-0.1003862,0.2981425,0,0,0,0.008029487,1.6001,False,0,-1.498546,0.0102964,-3.234224,0.4009724,-0.383747,0.8318412,False,0.09859838
355.5472,-0.6685594,-0.1007293,0.2991615,0,0,0,0.008042513,1.506362,False,0,-1.498493,0.01027328,-3.234288,0.4029384,-0.385574,0.8300443,False,0.09865794
355.576,-0.6732492,-0.1014359,0.30126,0,0,0,0.0080696,1.377004,False,0,-1.498494,0.01026171,-3.234332,0.4031885,-0.3869526,0.8292809,False,0.09867828
355.6133,-0.6790342,-0.1023075,0.3038487,0,0,0,0.008103516,1.356962,False,0,-1.498521,0.01027387,-3.234381,0.4032386,-0.387647,0.8289323,False,0.09866773
355.6505,-0.6885555,-0.1037421,0.3081092,0,0,0,0.008160632,1.35176,False,0,-1.498657,0.01030344,-3.23445,0.4046883,-0.3883168,0.8279114,False,0.09859852
355.6841,-0.7079189,-0.1066595,0.3167737,0,0,0,0.008282417,1.258499,False,0,-1.498769,0.01031625,-3.234478,0.4048214,-0.3887688,0.8276344,False,0.09854394
355.7193,-0.718845,-0.1083057,0.3216628,0,0,0,0.008354986,1.248508,False,0,-1.498973,0.01034057,-3.234515,0.4057555,-0.3893473,0.8269047,False,0.09844119
355.7539,-0.7364661,-0.1109606,0.3295478,0,0,0,0.008479057,1.187786,False,0,-1.499169,0.01036412,-3.23451,0.406526,-0.3891641,0.8266124,False,0.09833259
355.7883,0.7480701,0.1127089,-0.3347403,0,0,0,0.008566349,1.139695,False,0,-1.499501,0.0103783,-3.234442,0.4058709,-0.3881982,0.8273882,False,0.09815637
