Time,ConeApproachGuidanceVF_forceX0,ConeApproachGuidanceVF_forceY0,ConeApproachGuidanceVF_forceZ0,ConeApproachGuidanceVF_dist0,Assisted,Assistance,PositionX,PositionY,PositionZ,ForwardX,ForwardY,ForwardZ,Clutch,FromCamera
509.9103,4.73438E-06,3.850539E-05,1.984421E-05,0.002361516,False,0,-1.490982,0.01185167,-3.241443,-0.1782624,-0.3147149,0.9322967,False,0.1029207
509.9437,6.515323E-06,3.184091E-05,1.584997E-05,0.002336492,False,0,-1.491317,0.01230085,-3.242161,-0.1809083,-0.3143968,0.9318943,False,0.1026124
509.9867,7.833208E-06,2.689058E-05,1.288412E-05,0.00232258,False,0,-1.491635,0.01273757,-3.242849,-0.1834629,-0.3140671,0.9315059,False,0.1023205
510.0134,8.703851E-06,2.314258E-05,1.066606E-05,0.002316433,False,0,-1.491868,0.01304299,-3.243325,-0.1851536,-0.313898,0.9312283,False,0.1021134
510.0486,9.40776E-06,2.123584E-05,9.48151E-06,0.002321523,False,0,-1.49214,0.01335996,-3.243813,-0.1868373,-0.3137254,0.9309502,False,0.1018844
510.0746,1.070329E-05,2.018729E-05,8.634483E-06,0.002345521,False,0,-1.492407,0.01364547,-3.244244,-0.1882371,-0.313589,0.9307141,False,0.1016677
510.1066,1.246304E-05,2.00123E-05,8.161056E-06,0.002385061,False,0,-1.492655,0.01388592,-3.244595,-0.18928,-0.3135132,0.9305281,False,0.1014722
510.1354,1.477006E-05,2.061828E-05,7.992963E-06,0.002436428,False,0,-1.492876,0.01408488,-3.244872,-0.1900504,-0.3134789,0.9303827,False,0.1012994
510.1632,1.753039E-05,2.173059E-05,8.001618E-06,0.002492586,False,0,-1.493064,0.01424235,-3.245071,-0.1905914,-0.3134686,0.9302754,False,0.1011496
510.1931,2.062149E-05,2.310859E-05,8.083024E-06,0.002547168,False,0,-1.49319,0.01434094,-3.245171,-0.1908339,-0.3134624,0.9302278,False,0.1010436
510.2169,2.309298E-05,2.409191E-05,8.083921E-06,0.00258393,False,0,-1.493241,0.01437229,-3.245182,-0.1907189,-0.3135368,0.9302263,False,0.1009977
510.2477,2.433321E-05,2.454286E-05,8.061296E-06,0.002599009,False,0,-1.493259,0.01438564,-3.245159,-0.1906045,-0.3136101,0.930225,False,0.1009701
510.2748,2.455939E-05,2.424817E-05,7.85303E-06,0.002597398,False,0,-1.493208,0.0143581,-3.24509,-0.1902569,-0.3138153,0.930227,False,0.1009928
510.3035,2.277701E-05,2.279867E-05,7.451202E-06,0.002565706,False,0,-1.493143,0.01431173,-3.244984,-0.1899792,-0.3138906,0.9302583,False,0.101025
510.3287,2.094489E-05,2.132369E-05,7.046257E-06,0.002528975,False,0,-1.493062,0.01426452,-3.244894,-0.1897142,-0.3139884,0.9302794,False,0.1010714
