Time,ObstacleAvoidanceForceFieldVF_forceX0,ObstacleAvoidanceForceFieldVF_forceY0,ObstacleAvoidanceForceFieldVF_forceZ0,ObstacleAvoidanceForceFieldVF_dist0,Assisted,Assistance,PositionX,PositionY,PositionZ,ForwardX,ForwardY,ForwardZ,Clutch,FromCamera
618.2158,3.720453E-37,1.971345E-37,1.146256E-37,0.01824447,False,0,-1.476705,0.02009451,-3.225063,-0.1832207,-0.292834,0.9384447,False,0.1010587
618.2603,6.741688E-36,9.806885E-36,1.439283E-36,0.01758184,False,0,-1.477168,0.02021241,-3.225061,-0.189287,-0.3039823,0.9336837,False,0.1006681
618.2932,2.205865E-35,3.20879E-35,4.709301E-36,0.01734476,False,0,-1.477403,0.02018696,-3.225105,-0.1997141,-0.3222119,0.9253615,False,0.1005406
618.3314,5.44314E-35,7.917935E-35,1.162056E-35,0.01716412,False,0,-1.477648,0.0200749,-3.225134,-0.2156589,-0.350607,0.9113539,False,0.100469
618.3712,1.896396E-34,2.758617E-34,4.048615E-35,0.01691448,False,0,-1.47793,0.02005011,-3.225068,-0.2264364,-0.3697762,0.9011061,False,0.1002941
618.4151,5.276862E-34,7.676056E-34,1.126557E-34,0.0167098,False,0,-1.478125,0.02016187,-3.224903,-0.2284332,-0.3741333,0.8988007,False,0.1000597
618.4557,6.320686E-34,9.194469E-34,1.349403E-34,0.0166737,False,0,-1.478187,0.02008766,-3.224737,-0.2317753,-0.3808002,0.8951377,False,0.1000506
618.5002,9.682559E-34,1.408486E-33,2.06713E-34,0.0165884,False,0,-1.478211,0.02003533,-3.224617,-0.2318203,-0.392204,0.8901885,False,0.1000565
618.5432,1.21919E-33,1.773511E-33,2.602849E-34,0.01654232,False,0,-1.478307,0.01964831,-3.224523,-0.2435623,-0.4183801,0.8750061,False,0.1002705
618.5835,6.842461E-33,9.953475E-33,1.460797E-33,0.01619732,False,0,-1.47843,0.01910049,-3.224437,-0.2599762,-0.4505258,0.854072,False,0.1005912
618.6241,7.476403E-32,1.087565E-31,1.596137E-32,0.01571909,False,0,-1.478659,0.01861799,-3.22429,-0.2722898,-0.4775377,0.8353539,False,0.1007883
618.6671,8.71241E-31,1.267362E-30,1.860012E-31,0.01522797,False,0,-1.479216,0.01818866,-3.224002,-0.2813811,-0.4996942,0.8192256,False,0.1007197
618.7079,2.311822E-29,3.362921E-29,4.935508E-30,0.01457228,False,0,-1.479779,0.01787174,-3.223773,-0.2862471,-0.515606,0.8075972,False,0.1005755
618.7535,4.102948E-28,5.968407E-28,8.759384E-29,0.01399703,False,0,-1.480254,0.01752335,-3.223547,-0.291687,-0.5336945,0.7937816,False,0.1005147
618.7938,5.864462E-27,8.530816E-27,1.252004E-27,0.01346507,False,0,-1.480869,0.01710588,-3.223328,-0.300101,-0.5549238,0.775886,False,0.1004257
618.8437,1.634909E-25,2.378242E-25,3.490367E-26,0.0127995,False,0,-1.481529,0.01651651,-3.22315,-0.3093608,-0.5825583,0.751613,False,0.1004551
618.8782,9.743187E-24,1.417306E-23,2.080073E-24,0.01198199,False,0,-1.481748,0.01619643,-3.223039,-0.3128504,-0.5959535,0.7395704,False,0.1005572
618.9186,6.441824E-23,9.426709E-23,1.338113E-23,0.0116035,False,0,-1.482011,0.01575696,-3.222825,-0.3176681,-0.6152613,0.7214851,False,0.1007149
618.9573,8.000394E-22,1.170746E-21,1.661863E-22,0.01109964,False,0,-1.482352,0.01540977,-3.222703,-0.3219396,-0.6274405,0.7089947,False,0.1007667
618.9998,9.131411E-21,1.336254E-20,1.8968E-21,0.01061268,False,0,-1.482424,0.01476663,-3.222581,-0.3326559,-0.6528484,0.680536,False,0.1012166
619.0408,1.174355E-19,1.718504E-19,2.4394E-20,0.01010185,False,0,-1.482106,0.01415807,-3.222576,-0.3347418,-0.6778967,0.6545259,False,0.1018884
619.0818,5.041026E-19,3.146629E-19,1.677036E-19,0.009885735,False,0,-1.481746,0.01356387,-3.222594,-0.3322177,-0.7015613,0.6304315,False,0.1025766
619.124,1.182317E-18,7.38007E-19,3.933303E-19,0.009715244,False,0,-1.481332,0.01292729,-3.222683,-0.3240409,-0.7265162,0.6059473,False,0.1033394
619.165,2.04669E-18,1.277552E-18,6.808878E-19,0.009605495,False,0,-1.480645,0.01227361,-3.222831,-0.3144337,-0.7468677,0.5859354,False,0.1042856
619.2075,8.898928E-19,5.554748E-19,2.960474E-19,0.009772071,False,0,-1.48001,0.01172912,-3.222942,-0.3096767,-0.757686,0.5744673,False,0.1051103
619.2521,2.392119E-19,1.493171E-19,7.958044E-20,0.01003482,False,0,-1.478988,0.01116776,-3.222988,-0.3064153,-0.7607607,0.5721479,False,0.1061728
619.2932,9.952884E-21,5.273705E-21,3.066443E-21,0.01067939,False,0,-1.478144,0.01075238,-3.223008,-0.305192,-0.7610412,0.5724288,False,0.1070122
619.337,5.256636E-22,2.785318E-22,1.619548E-22,0.01126758,False,0,-1.477399,0.01033145,-3.223041,-0.3039278,-0.763155,0.5702831,False,0.1077986
619.3784,4.913037E-23,7.914537E-24,1.671227E-23,0.01176026,False,0,-1.476902,0.009936094,-3.223047,-0.3037156,-0.7647876,0.5682053,False,0.1084118
619.4217,1.06789E-23,1.720292E-24,3.632555E-24,0.01206551,False,0,-1.476686,0.009613752,-3.222996,-0.3035106,-0.7646133,0.5685492,False,0.1087899
