Time,ConeApproachGuidanceVF_forceX0,ConeApproachGuidanceVF_forceY0,ConeApproachGuidanceVF_forceZ0,ConeApproachGuidanceVF_dist0,Assisted,Assistance,PositionX,PositionY,PositionZ,ForwardX,ForwardY,ForwardZ,Clutch,FromCamera
448.7794,-2.557361E-09,6.288353E-09,3.522982E-09,0.0005998744,False,0.5,-1.483456,0.01214081,-3.222221,-0.002462823,-0.15475,0.9879506,False,0.1026641
448.8111,-1.861307E-09,2.375291E-09,1.549915E-09,0.0002341149,False,0.5,-1.483302,0.01216227,-3.221865,-0.0008492433,-0.1557427,0.9877973,False,0.1026939
448.8431,-3.326954E-09,5.608763E-11,8.404223E-10,0.0002149522,False,0.5,-1.483095,0.01217431,-3.221496,0.0006046034,-0.1566888,0.9876478,False,0.102762
448.8719,-4.886506E-09,-2.309255E-09,1.326553E-10,0.0003710546,False,0.5,-1.482823,0.01217544,-3.221166,0.001850523,-0.1575727,0.9875057,False,0.1028833
448.911,-9.116447E-09,-5.195241E-09,-1.611472E-10,0.0006118254,False,0.5,-1.482395,0.01216191,-3.22071,0.0006303228,-0.1579249,0.9874509,False,0.1030958
448.9431,-2.510495E-08,-1.460946E-08,-5.831773E-10,0.0009839644,False,0.5,-1.48211,0.01214844,-3.220408,0.001619648,-0.158586,0.9873438,False,0.1032429
448.9789,-4.916126E-08,-2.860422E-08,-1.14019E-09,0.001229344,False,0.5,-1.481793,0.01213133,-3.220025,0.002960876,-0.1593486,0.987218,False,0.1034057
449.0153,-1.040151E-07,-6.215848E-08,-3.166259E-09,0.001502882,False,0.5,-1.481619,0.01212209,-3.219715,0.004019409,-0.1598592,0.9871317,False,0.1034858
449.0475,-1.581372E-07,-1.010046E-07,-7.810372E-09,0.001655907,False,0.5,-1.481515,0.01212293,-3.219312,0.005597953,-0.1605635,0.9870096,False,0.1035096
449.0815,-2.12043E-07,-1.566979E-07,-2.026748E-08,0.001766219,False,0.5,-1.48156,0.01213485,-3.21901,0.006983235,-0.1611387,0.9869071,False,0.1034464
449.1151,-2.070469E-07,-1.827442E-07,-3.348945E-08,0.001768781,False,0.5,-1.481698,0.01215661,-3.218706,0.008441471,-0.1615971,0.9868207,False,0.1033205
449.1443,-1.723217E-07,-1.952344E-07,-4.774499E-08,0.001732857,False,0.5,-1.481893,0.01216787,-3.218399,0.009966046,-0.161933,0.9867514,False,0.1031706
449.1787,-1.302084E-07,-2.033483E-07,-6.179439E-08,0.00169296,False,0.5,-1.482171,0.01215178,-3.217985,0.01219272,-0.1625538,0.9866244,False,0.1029858
449.2132,-8.188358E-08,-2.27194E-07,-8.461146E-08,0.001681593,False,0.5,-1.482383,0.01211214,-3.217659,0.01392852,-0.1631535,0.9865024,False,0.1028675
449.2427,-4.54385E-08,-2.628344E-07,-1.099539E-07,0.001711463,False,0.5,-1.482583,0.01203638,-3.217307,0.01581471,-0.1638814,0.9863533,False,0.1027856
449.2742,-1.086746E-09,-3.175612E-07,-1.460233E-07,0.001767277,False,0.5,-1.48272,0.01192212,-3.216938,0.01779397,-0.1647289,0.9861783,False,0.1027712
449.3103,4.908184E-08,-3.872522E-07,-1.904112E-07,0.001830114,False,0.5,-1.482827,0.01173061,-3.216462,0.02288232,-0.1664127,0.9857907,False,0.1028318
449.3388,1.216429E-07,-4.764587E-07,-2.49272E-07,0.001892149,False,0.5,-1.482859,0.01161122,-3.2162,0.02419033,-0.1669724,0.9856648,False,0.1028935
449.3696,1.631832E-07,-5.220658E-07,-2.804533E-07,0.001916514,False,0.5,-1.482852,0.01134717,-3.215673,0.02926719,-0.1685388,0.9852604,False,0.1030808
449.4078,2.305421E-07,-5.882837E-07,-3.2745E-07,0.00193476,False,0.5,-1.482813,0.01112247,-3.215241,0.03129984,-0.1693355,0.9850613,False,0.1032625
449.4445,2.781981E-07,-6.313512E-07,-3.589558E-07,0.001936477,False,0.5,-1.482781,0.01082915,-3.21464,0.03414252,-0.1703758,0.9847875,False,0.1034898
449.4788,3.856059E-07,-7.424355E-07,-4.364289E-07,0.001967671,False,0.5,-1.482785,0.01059359,-3.214118,0.03650413,-0.1712014,0.9845595,False,0.1036567
449.5176,5.542583E-07,-9.191761E-07,-5.591409E-07,0.00202823,False,0.5,-1.482765,0.01024574,-3.213408,0.03947567,-0.1730098,0.9841287,False,0.1039247
449.5463,8.312394E-07,-1.164093E-06,-7.397835E-07,0.002088223,False,0.5,-1.482714,0.009987712,-3.212857,0.04204703,-0.174173,0.983817,False,0.1041476
449.5789,1.079398E-06,-1.397074E-06,-9.078723E-07,0.002129604,False,0.5,-1.482695,0.009745479,-3.212356,0.04450325,-0.175248,0.983518,False,0.1043433
449.6146,1.428623E-06,-1.681175E-06,-1.124248E-06,0.002179726,False,0.5,-1.482663,0.009424627,-3.211705,0.04764553,-0.1765846,0.9831316,False,0.1046102
449.6468,2.021027E-06,-2.123124E-06,-1.472891E-06,0.002242235,False,0.5,-1.482551,0.009190321,-3.211263,0.0495412,-0.1773636,0.9828976,False,0.1048596
449.6821,2.109393E-06,-2.178783E-06,-1.520163E-06,0.00221987,False,0.5,-1.482272,0.008904517,-3.210763,0.05173131,-0.1783378,0.9826085,False,0.105249
449.7155,1.610077E-06,-1.816127E-06,-1.23084E-06,0.002088284,False,0.5,-1.48207,0.008720636,-3.210436,0.052849,-0.1786712,0.9824885,False,0.1055135
449.7472,1.302785E-06,-1.598252E-06,-1.05524E-06,0.001995238,False,0.5,-1.48186,0.008557141,-3.21015,0.05379564,-0.1789848,0.98238,False,0.1057671
449.7805,1.01028E-06,-1.38805E-06,-8.867899E-07,0.001897128,False,0.5,-1.481654,0.008410871,-3.209903,0.05472723,-0.1794112,0.9822508,False,0.1060052
449.8145,7.63293E-07,-1.202559E-06,-7.408646E-07,0.001800415,False,0.5,-1.48138,0.008272231,-3.209639,0.05810888,-0.1802469,0.9819034,False,0.1062767
449.8513,5.116268E-07,-1.050778E-06,-6.093304E-07,0.001697008,False,0.5,-1.481189,0.008186996,-3.209458,0.05868646,-0.1805073,0.9818213,False,0.1064574
449.884,3.795408E-07,-9.975051E-07,-5.524451E-07,0.001643552,False,0.5,-1.480975,0.008120239,-3.209209,0.05962971,-0.1802522,0.9818113,False,0.1066377
449.9168,2.830228E-07,-1.089451E-06,-5.711726E-07,0.00164259,False,0.5,-1.480828,0.008067727,-3.209033,0.0602563,-0.180641,0.9817016,False,0.1067669
449.9516,2.152484E-07,-1.168133E-06,-5.90817E-07,0.001647814,False,0.5,-1.480709,0.008042276,-3.208843,0.06101713,-0.1810102,0.9815866,False,0.1068584
449.9818,1.753846E-07,-1.371792E-06,-6.748744E-07,0.001692858,False,0.5,-1.480627,0.008049488,-3.208576,0.06210848,-0.1814819,0.981431,False,0.1069033
