Time,SurfaceOrientationGuidanceVF_forceX0,SurfaceOrientationGuidanceVF_forceY0,SurfaceOrientationGuidanceVF_forceZ0,SurfaceOrientationGuidanceVF_torqueX0,SurfaceOrientationGuidanceVF_torqueY0,SurfaceOrientationGuidanceVF_torqueZ0,SurfaceOrientationGuidanceVF_dist0,SurfaceOrientationGuidanceVF_angle0,Assisted,Assistance,PositionX,PositionY,PositionZ,ForwardX,ForwardY,ForwardZ,Clutch,FromCamera
395.0363,-0.01708013,-0.002573399,0.007642876,0,0,0,0.003049855,5.77163,False,0,-1.484181,0.01610917,-3.199979,0.434341,0.3365907,0.8354967,False,0.09879084
395.0804,-0.01696704,-0.002556359,0.007592269,0,0,0,0.003043084,5.770781,False,0,-1.484156,0.01609844,-3.199965,0.4344294,0.3362406,0.8355918,False,0.09881548
395.1135,-0.01698605,-0.002559224,0.007600777,0,0,0,0.003044225,5.770442,False,0,-1.484111,0.01608491,-3.199955,0.4345455,0.3359936,0.8356307,False,0.09885404
395.1422,-0.01708712,-0.002574452,0.007646003,0,0,0,0.003050272,5.773633,False,0,-1.484091,0.01607877,-3.199948,0.434605,0.3358025,0.8356765,False,0.09887166
395.1783,-0.0171106,-0.00257799,0.007656512,0,0,0,0.003051672,5.774143,False,0,-1.484068,0.01605982,-3.199932,0.4347179,0.3345068,0.8361374,False,0.09890179
395.2141,-0.01724846,-0.00259876,0.007718197,0,0,0,0.003059851,5.759085,False,0,-1.484093,0.01603377,-3.199954,0.4346795,0.3315832,0.837321,False,0.09890534
395.2507,-0.01782151,-0.002685101,0.007974625,0,0,0,0.003093181,5.706572,False,0,-1.484157,0.0160054,-3.199985,0.4347433,0.3271658,0.8390238,False,0.09888712
395.2882,-0.01855286,-0.002795289,0.008301879,0,0,0,0.003134224,5.635586,False,0,-1.484426,0.01590097,-3.200104,0.4344367,0.3141897,0.8441266,False,0.09879938
395.3221,-0.02183191,-0.003289332,0.009769163,0,0,0,0.003300682,5.398988,False,0,-1.48476,0.01563662,-3.200237,0.4327013,0.277669,0.8577118,False,0.09880035
395.3702,0.03015348,0.004543111,-0.01349283,0,0,0,0.003633084,4.706361,False,0,-1.485759,0.01452792,-3.200703,0.4207021,0.1451277,0.8955153,False,0.09906864
395.4024,0.08660486,0.01304843,-0.03875323,0,0,0,0.004754901,2.168891,False,0,-1.485828,0.01459432,-3.200714,0.4098333,0.0254119,0.9118065,False,0.09897408
395.4334,0.08540944,0.01286832,-0.03821831,0,0,0,0.004739541,0.2927522,False,0,-1.485552,0.01573277,-3.200831,0.4144748,0.01649693,0.9099112,False,0.09820212
395.4683,0.04684282,0.00705763,-0.02096084,0,0,0,0.004092859,0.5078341,False,0,-1.485451,0.01573646,-3.201114,0.4199325,0.006686032,0.9075307,False,0.09823284
395.5031,0.05380124,0.008106031,-0.02407454,0,0,0,0.004239507,0.7689767,False,0,-1.485345,0.01579756,-3.201343,0.4177753,0.004806146,0.9085377,False,0.09822508
395.5395,0.0582592,0.008777694,-0.02606934,0,0,0,0.004324368,0.6192883,False,0,-1.485171,0.01591724,-3.201712,0.4184893,0.003511757,0.9082149,False,0.09819973
395.577,-0.06092234,-0.00917894,0.02726103,0,0,0,0.004372219,0.65342,False,0,-1.484929,0.01611358,-3.201965,0.417761,0.004015386,0.9085481,False,0.09816348
395.6155,-0.05906067,-0.008898449,0.02642798,0,0,0,0.004338979,0.6119779,False,0,-1.484637,0.01663321,-3.202107,0.4215041,0.03711829,0.9060666,False,0.09790912
395.6443,-0.05699568,-0.008587325,0.02550396,0,0,0,0.004300949,1.122219,False,0,-1.484528,0.01723111,-3.202239,0.43675,0.1181119,0.8917955,False,0.09748645
395.681,-0.04986609,-0.007513136,0.02231367,0,0,0,0.004158935,2.876303,False,0,-1.484511,0.01759332,-3.202303,0.4445687,0.2119323,0.8703123,False,0.09720316
395.7162,-0.04743305,-0.007146559,0.02122495,0,0,0,0.004106069,4.515358,False,0,-1.484666,0.01728433,-3.202312,0.4469551,0.2569417,0.8568618,False,0.0973558
395.7527,-0.05308925,-0.007998757,0.02375594,0,0,0,0.004225348,5.305076,False,0,-1.48468,0.0171321,-3.202252,0.4475863,0.2762665,0.8504959,False,0.09747342
395.7832,-0.05304972,-0.007992801,0.02373825,0,0,0,0.004224556,5.637742,False,0,-1.484549,0.01718551,-3.202072,0.4484149,0.287861,0.8462034,False,0.09752333
395.8224,-0.04385292,-0.006607154,0.01962294,0,0,0,0.004023422,5.871861,False,0,-1.484328,0.01735562,-3.201726,0.4500149,0.2980255,0.8418239,False,0.09754872
395.8578,-0.02980352,-0.004490384,0.01333623,0,0,0,0.003621011,6.137054,False,0,-1.484099,0.01747769,-3.201324,0.4520232,0.3043984,0.8384609,False,0.09762421
395.8929,-0.01968733,-0.002966215,0.008809523,0,0,0,0.003194857,6.370245,False,0,-1.483966,0.01751447,-3.201007,0.4537773,0.3050033,0.8372928,False,0.09770394
395.9279,-0.01462149,-0.002202964,0.006542702,0,0,0,0.002891663,6.493711,False,0,-1.483785,0.01761681,-3.200593,0.4558919,0.303812,0.8365769,False,0.09777082
395.9633,-0.009834616,-0.001481744,0.004400713,0,0,0,0.002489714,6.611324,False,0,-1.483673,0.01767904,-3.200315,0.4572576,0.3019107,0.8365199,False,0.09781618
395.9986,-0.007641794,-0.00115136,0.003419487,0,0,0,0.002234989,6.668916,False,0,-1.483607,0.01774424,-3.200084,0.4584346,0.2997211,0.8366631,False,0.09782755
396.0403,-0.006176964,-0.0009306599,0.002764017,0,0,0,0.002020551,6.709814,False,0,-1.483554,0.01778668,-3.199863,0.4593662,0.2954886,0.837657,False,0.09784868
396.0817,0,0,0,0,0,0,0.001830115,6.701888,False,0,-1.483291,0.01779151,-3.199623,0.4606443,0.2855162,0.8404091,False,0.09802965
396.116,0,0,0,0,0,0,0.001742176,6.625961,False,0,-1.483106,0.01779389,-3.199506,0.4629735,0.2721427,0.8435601,False,0.09815277
396.1443,0,0,0,0,0,0,0.001756566,6.568831,False,0,-1.483254,0.01746362,-3.199487,0.4615244,0.2203077,0.8593369,False,0.0983246
396.1767,0,0,0,0,0,0,0.001862988,5.718443,False,0,-1.483792,0.01710665,-3.199598,0.4540124,0.1409701,0.8797729,False,0.09826976
396.213,-0.006224508,-0.0009378231,0.002785292,0,0,0,0.002028272,4.230544,False,0,-1.484203,0.01641053,-3.199843,0.438221,0.007669061,0.8988346,False,0.09855084
396.2485,-0.0123087,-0.001854506,0.005507797,0,0,0,0.002716881,1.926204,False,0,-1.48388,0.017519,-3.199745,0.435771,-0.01709279,0.8998953,False,0.09787483
396.2831,0,0,0,0,0,0,0.001820344,1.581277,False,0,-1.483598,0.01808685,-3.199992,0.4464744,-0.004026651,0.8947874,False,0.09757242
