Time,ConeApproachGuidanceVF_forceX0,ConeApproachGuidanceVF_forceY0,ConeApproachGuidanceVF_forceZ0,ConeApproachGuidanceVF_dist0,Assisted,Assistance,PositionX,PositionY,PositionZ,ForwardX,ForwardY,ForwardZ,Clutch,FromCamera
363.1659,0.0006652203,0.002456857,0.001188019,0.003026222,False,0,-1.487943,0.002377093,-3.225287,0.1362317,-0.3824124,0.9138937,False,0.1087345
363.1983,0.0009479058,0.00277984,0.001302186,0.003072214,False,0,-1.487962,0.002358139,-3.225268,0.1362157,-0.3823384,0.913927,False,0.108738
363.2295,0.001007394,0.002888645,0.001348333,0.003086984,False,0,-1.487864,0.002359211,-3.225322,0.1359834,-0.3823826,0.9139432,False,0.1087947
363.2598,0.0008772889,0.002846272,0.001353376,0.003079889,False,0,-1.487742,0.002386093,-3.225419,0.1353957,-0.3823024,0.914064,False,0.1088471
363.2854,0.000706507,0.002748018,0.00133689,0.003067126,False,0,-1.487575,0.002424181,-3.225543,0.1345791,-0.3820863,0.9142749,False,0.1089171
363.3223,0.0004977274,0.002646029,0.001326562,0.003054722,False,0,-1.487358,0.002462566,-3.225692,0.1337003,-0.3818032,0.9145221,False,0.1090165
363.3486,0.0002643956,0.002651601,0.001379788,0.003060584,False,0,-1.487105,0.002500415,-3.22586,0.132679,-0.3814892,0.9148018,False,0.1091383
363.375,-5.474403E-06,0.002828039,0.00153346,0.00309494,False,0,-1.486847,0.002543986,-3.226028,0.131452,-0.3809593,0.9151998,False,0.1092582
363.4039,-0.000328601,0.003151925,0.001778483,0.003150411,False,0,-1.486538,0.002578676,-3.226217,0.1302855,-0.3805798,0.9155244,False,0.1094156
363.4315,-0.00088244,0.003944681,0.002327204,0.003257335,False,0,-1.486308,0.002596915,-3.226344,0.1296641,-0.3804281,0.9156756,False,0.109538
363.4584,-0.001516177,0.004884801,0.002972958,0.003356974,False,0,-1.485879,0.002601922,-3.226539,0.1290556,-0.3806548,0.9156674,False,0.1097858
363.4839,-0.003754604,0.008071252,0.005181155,0.003585012,False,0,-1.485499,0.002607286,-3.226684,0.1282415,-0.3806039,0.9158028,False,0.1100009
363.5142,-0.007910534,0.01319739,0.008852952,0.003807993,False,0,-1.485193,0.002611637,-3.226814,0.1274952,-0.3805752,0.915919,False,0.1101774
363.5407,-0.01468673,0.02080582,0.01443353,0.004014357,False,0,-1.48506,0.002620101,-3.226883,0.127173,-0.3805628,0.9159689,False,0.1102504
363.5732,-0.01929826,0.02565567,0.01805368,0.004110504,False,0,-1.484947,0.00263375,-3.226959,0.1273213,-0.3808865,0.9158137,False,0.1103102
363.6074,-0.024578,0.03102412,0.02209859,0.004198755,False,0,-1.484946,0.002653778,-3.226979,0.1270801,-0.380663,0.9159402,False,0.1102973
363.6338,-0.02438238,0.03060718,0.02183053,0.004195431,False,0,-1.484975,0.002658904,-3.22697,0.1267274,-0.3803228,0.9161304,False,0.1102764
363.663,-0.02285418,0.02900496,0.02063363,0.004171683,False,0,-1.485013,0.002669692,-3.226942,0.1257398,-0.3794546,0.9166263,False,0.1102429
363.6895,-0.02052603,0.02637723,0.01870882,0.004130232,False,0,-1.484991,0.002682924,-3.226916,0.1250053,-0.3788993,0.9169564,False,0.1102396
363.7197,-0.02031452,0.0256798,0.01828546,0.004120422,False,0,-1.484878,0.002696037,-3.226893,0.1249842,-0.3790993,0.9168767,False,0.1102842
363.7546,-0.02344143,0.02799357,0.02021203,0.004162386,False,0,-1.484733,0.00273782,-3.226833,0.1247256,-0.3791181,0.9169041,False,0.1103164
363.7846,-0.02650264,0.02918886,0.02151844,0.00418934,False,0,-1.484587,0.002710998,-3.226769,0.1251157,-0.3787224,0.9170144,False,0.1104061
363.8159,-0.03321321,0.03455351,0.02586915,0.004263791,False,0,-1.484312,0.002681255,-3.226601,0.124282,-0.3806109,0.9163457,False,0.1105512
363.8491,-0.04755094,0.04419521,0.03417869,0.004376464,False,0,-1.484081,0.002688587,-3.22644,0.124305,-0.38173,0.9158769,False,0.1106432
363.8795,-0.06107795,0.05124268,0.0409082,0.004451046,False,0,-1.483912,0.002709687,-3.226279,0.1243201,-0.3826561,0.9154883,False,0.1106917
363.9133,-0.06992509,0.05396533,0.04428727,0.004483752,False,0,-1.483774,0.002773404,-3.226115,0.1248541,-0.3834035,0.9151028,False,0.1106881
363.9454,-0.07261951,0.05130706,0.04342667,0.004476741,False,0,-1.483749,0.002853274,-3.225991,0.1253042,-0.3840072,0.9147882,False,0.1106173
363.9778,-0.06267519,0.04194028,0.03621167,0.004401059,False,0,-1.483866,0.002976477,-3.225861,0.1266063,-0.3852104,0.9141027,False,0.1104331
364.011,-0.03887383,0.02532586,0.02208758,0.004195243,False,0,-1.484055,0.003078759,-3.225778,0.127825,-0.386153,0.9135354,False,0.110235
