Time,ObstacleAvoidanceForceFieldVF_forceX0,ObstacleAvoidanceForceFieldVF_forceY0,ObstacleAvoidanceForceFieldVF_forceZ0,ObstacleAvoidanceForceFieldVF_dist0,Assisted,Assistance,PositionX,PositionY,PositionZ,ForwardX,ForwardY,ForwardZ,Clutch,FromCamera
448.613,2.854182E-16,4.151874E-16,6.093394E-17,0.008543407,False,0,-1.484457,0.01460379,-3.2254,-0.04761763,-0.2481094,0.967561,False,0.1005417
448.6592,6.359538E-16,9.250985E-16,1.357698E-16,0.008383173,False,0,-1.483938,0.01453602,-3.225499,-0.04020795,-0.2513426,0.9670627,False,0.1009134
448.6972,1.951126E-16,2.838231E-16,4.165459E-17,0.008619483,False,0,-1.483536,0.01449865,-3.225459,-0.04070358,-0.2512317,0.9670708,False,0.1011726
448.7248,6.554379E-17,9.534412E-17,1.399294E-17,0.008837654,False,0,-1.483137,0.01448184,-3.225389,-0.04101802,-0.2511385,0.9670817,False,0.1014093
448.7705,1.921293E-17,2.794835E-17,4.101769E-18,0.009083081,False,0,-1.482665,0.01449531,-3.225264,-0.04106573,-0.2513063,0.9670361,False,0.1016593
448.8109,3.634197E-18,5.286532E-18,7.758647E-19,0.00941612,False,0,-1.482563,0.01454091,-3.225161,-0.04084712,-0.2514921,0.966997,False,0.1016683
448.8572,2.093794E-18,3.045764E-18,4.47004E-19,0.009526403,False,0,-1.482665,0.01457477,-3.225019,-0.04017898,-0.2519157,0.9669148,False,0.1015595
448.8963,2.465041E-18,3.585804E-18,5.262616E-19,0.009493756,False,0,-1.482843,0.01457888,-3.224874,-0.0394114,-0.2525541,0.9667798,False,0.1014293
448.9361,4.084183E-18,5.941111E-18,8.719322E-19,0.009392774,False,0,-1.482937,0.01456708,-3.224861,-0.03660872,-0.2542233,0.9664525,False,0.101381
448.9765,5.777159E-18,8.40382E-18,1.233366E-18,0.009323415,False,0,-1.482973,0.0145576,-3.224936,-0.03694379,-0.2540183,0.9664936,False,0.1013781
449.0193,7.029431E-18,1.022545E-17,1.500713E-18,0.009284177,False,0,-1.48289,0.01453215,-3.225097,-0.0326995,-0.2565755,0.9659709,False,0.1014712
449.0644,6.350538E-18,9.237893E-18,1.355776E-18,0.00930449,False,0,-1.482584,0.01449984,-3.225305,-0.0203982,-0.2633798,0.9644766,False,0.1017097
449.1107,2.75412E-18,4.006317E-18,5.87977E-19,0.009471579,False,0,-1.482312,0.01459378,-3.225443,-0.01523315,-0.2647008,0.9642103,False,0.1018179
449.1483,7.990279E-19,1.162316E-18,1.705845E-19,0.00971907,False,0,-1.482251,0.01464522,-3.225448,-0.01540881,-0.2645825,0.96424,False,0.1018149
449.1877,5.364317E-19,7.803274E-19,1.145228E-19,0.009798761,False,0,-1.482248,0.01477116,-3.225444,-0.01371003,-0.2622934,0.9648908,False,0.1017168
449.2265,3.371097E-19,4.90381E-19,7.196954E-20,0.009891667,False,0,-1.482181,0.01484782,-3.225539,-0.01153449,-0.263594,0.9645647,False,0.1017106
449.2686,2.072211E-19,3.014369E-19,4.423964E-20,0.009988992,False,0,-1.482073,0.01487207,-3.22568,-0.01243312,-0.2635975,0.9645526,False,0.1017782
449.3098,1.332501E-19,1.93834E-19,2.844756E-20,0.0100773,False,0,-1.481902,0.01476002,-3.225862,-0.01419637,-0.2649633,0.964154,False,0.1019967
449.3508,1.10558E-19,1.608246E-19,2.360303E-20,0.01011464,False,0,-1.481635,0.01462215,-3.226026,-0.01695486,-0.2654823,0.9639667,False,0.1022903
449.3922,6.839869E-20,9.949706E-20,1.460244E-20,0.01021068,False,0,-1.481232,0.01454675,-3.226099,-0.01778901,-0.2649989,0.9640846,False,0.1026032
449.4336,3.465017E-20,1.835998E-20,1.067557E-20,0.0104299,False,0,-1.480657,0.01432735,-3.226125,-0.01900738,-0.2667334,0.9635829,False,0.1031254
449.4724,1.025606E-20,5.434348E-21,3.15985E-21,0.01067339,False,0,-1.480191,0.01418257,-3.226066,-0.01955943,-0.2671497,0.9634565,False,0.1035106
449.5138,3.092719E-21,1.63873E-21,9.52854E-22,0.01091315,False,0,-1.479756,0.0140394,-3.225988,-0.01979409,-0.26713,0.9634572,False,0.1038746
449.5558,9.571589E-22,5.07167E-22,2.948968E-22,0.01114772,False,0,-1.479396,0.01385814,-3.225903,-0.02031805,-0.267377,0.9633778,False,0.1042217
449.6001,4.181374E-22,2.215573E-22,1.288264E-22,0.01131335,False,0,-1.479224,0.01372319,-3.225845,-0.02042276,-0.2673349,0.9633873,False,0.1044225
449.6421,3.187678E-22,1.689046E-22,9.821106E-23,0.01136762,False,0,-1.479206,0.01362526,-3.225828,-0.02037735,-0.2672771,0.9634042,False,0.1045071
449.6821,3.969507E-22,2.103311E-22,1.222989E-22,0.01132375,False,0,-1.479359,0.01357466,-3.225832,-0.0203197,-0.2672684,0.9634079,False,0.104454
449.7313,8.521434E-22,4.515227E-22,2.625419E-22,0.01117096,False,0,-1.479739,0.01356518,-3.225896,-0.02014254,-0.2670793,0.963464,False,0.1042403
449.7672,3.984376E-21,2.111189E-21,1.22757E-21,0.01086249,False,0,-1.480155,0.01356506,-3.225973,-0.02009117,-0.2668128,0.9635389,False,0.1040006
449.8092,2.022893E-20,1.071864E-20,6.23245E-21,0.01053754,False,0,-1.480545,0.01354569,-3.226022,-0.01951131,-0.2669744,0.9635061,False,0.1037884
449.851,9.574448E-20,5.073184E-20,2.949848E-20,0.01022663,False,0,-1.48094,0.01351678,-3.226065,-0.01892589,-0.2671907,0.9634578,False,0.1035808
449.897,4.631793E-19,2.454235E-19,1.427036E-19,0.00991134,False,0,-1.481461,0.01349419,-3.226066,-0.01766536,-0.2677558,0.9633248,False,0.1032879
449.9398,3.355788E-18,1.778121E-18,1.033904E-18,0.009515274,False,0,-1.481925,0.01352406,-3.225975,-0.01701713,-0.2679931,0.9632705,False,0.1029746
449.9825,1.551647E-17,8.221667E-18,4.780561E-18,0.009209031,False,0,-1.482326,0.01358479,-3.225811,-0.01779546,-0.2674097,0.9634186,False,0.1026643
450.0266,4.788206E-17,2.537113E-17,1.475227E-17,0.008983663,False,0,-1.48239,0.01367992,-3.225614,-0.01707213,-0.2679598,0.9632788,False,0.1025207
450.0721,4.01496E-17,2.127395E-17,1.236993E-17,0.009018889,False,0,-1.481991,0.01374298,-3.225404,-0.01660965,-0.2685234,0.96313,False,0.1026748
450.118,7.985277E-18,4.231135E-18,2.460231E-18,0.009341892,False,0,-1.481324,0.01378012,-3.225032,-0.01588064,-0.2696939,0.9628152,False,0.1029873
450.16,6.013429E-19,3.186318E-19,1.852713E-19,0.00985913,False,0,-1.481105,0.01380283,-3.224711,-0.01477378,-0.2708957,0.9624953,False,0.1030541
450.208,2.129133E-19,1.128157E-19,6.55977E-20,0.01006679,False,0,-1.48143,0.01378858,-3.224304,-0.009414501,-0.2744607,0.9615523,False,0.102813
450.2521,5.195145E-19,2.752736E-19,1.600603E-19,0.009888384,False,0,-1.482118,0.01373816,-3.223891,-0.01043314,-0.2741023,0.9616439,False,0.1023856
450.2976,4.216847E-18,2.234368E-18,1.299193E-18,0.009469594,False,0,-1.482841,0.01355165,-3.223473,-0.006122038,-0.2774363,0.9607245,False,0.1020503
450.3443,3.985924E-17,5.798177E-17,8.509549E-18,0.008937127,False,0,-1.483106,0.01316184,-3.223215,-0.007102065,-0.2827927,0.9591548,False,0.1021721
450.3792,5.705989E-16,3.561702E-16,1.898255E-16,0.008479402,False,0,-1.48293,0.01271516,-3.223062,-0.0115524,-0.2864307,0.9580314,False,0.1026129
450.4208,1.599619E-15,9.984889E-16,5.321574E-16,0.008273236,False,0,-1.482264,0.01214832,-3.223083,-0.01680101,-0.2909343,0.9565955,False,0.1034592
