Time,ConeApproachGuidanceVF_forceX0,ConeApproachGuidanceVF_forceY0,ConeApproachGuidanceVF_forceZ0,ConeApproachGuidanceVF_dist0,Assisted,Assistance,PositionX,PositionY,PositionZ,ForwardX,ForwardY,ForwardZ,Clutch,FromCamera
434.301,-7.083783E-05,6.543283E-07,1.764585E-05,0.004854289,False,0.25,-1.481328,0.01640004,-3.231071,0.4615538,-0.4513328,0.7637193,False,0.102014
434.3414,-1.929831E-05,-1.679156E-06,3.951573E-06,0.004340316,False,0.25,-1.481646,0.01671702,-3.231049,0.4682139,-0.4356284,0.7687676,False,0.1015738
434.3707,-9.347088E-06,-1.44651E-06,1.622235E-06,0.004063713,False,0.25,-1.481853,0.01689827,-3.23105,0.471594,-0.4276762,0.771163,False,0.1013096
434.4019,-5.955443E-06,-1.174315E-06,9.172016E-07,0.003893416,False,0.25,-1.481972,0.01705718,-3.230971,0.4685073,-0.4187889,0.7778928,False,0.1010986
434.4337,-4.675399E-06,-1.143212E-06,6.181179E-07,0.003800775,False,0.25,-1.481838,0.01735318,-3.230738,0.4626775,-0.3973193,0.7925069,False,0.1009037
434.4659,-7.426583E-06,-2.438093E-06,6.952229E-07,0.003985043,False,0.25,-1.481466,0.01765776,-3.230362,0.4488249,-0.3714299,0.8127706,False,0.100819
434.4955,-2.21975E-05,-9.035509E-06,1.272618E-06,0.004411931,False,0.25,-1.48098,0.01810104,-3.229913,0.439869,-0.3359354,0.8328642,False,0.1006872
434.5275,-0.0001044939,-5.196688E-05,1.645479E-06,0.005022069,False,0.25,-1.480422,0.01864833,-3.229435,0.4388612,-0.299614,0.8471319,False,0.1005218
434.5577,-0.0006998786,-0.000409249,-1.716372E-05,0.005775178,False,0.25,-1.480197,0.01884949,-3.229292,0.4434169,-0.2899126,0.8481345,False,0.1004822
434.585,-0.001491767,-0.0009066563,-5.241098E-05,0.006075714,False,0.25,-1.480006,0.01915771,-3.229079,0.4502381,-0.2748289,0.8495616,False,0.1003279
434.6154,-0.003421808,-0.002238211,-0.0001932478,0.006409782,False,0.25,-1.479948,0.01945692,-3.228886,0.4572991,-0.2594014,0.8506401,False,0.1001012
434.6525,-0.005920305,-0.004196704,-0.0004837147,0.006636228,False,0.25,-1.479917,0.01974231,-3.228631,0.463192,-0.2468373,0.8511901,False,0.09985781
434.6789,-0.009962726,-0.007667786,-0.001092941,0.006849946,False,0.25,-1.479929,0.01987559,-3.228447,0.4656091,-0.2418894,0.8512919,False,0.09971542
434.7055,-0.01241689,-0.01002692,-0.001578832,0.006939384,False,0.25,-1.479961,0.01989764,-3.228338,0.4658555,-0.2422717,0.8510484,False,0.09965874
434.7324,-0.01250451,-0.01032038,-0.001692554,0.006940282,False,0.25,-1.480018,0.01995325,-3.228161,0.4675916,-0.2401063,0.8507099,False,0.09954821
434.7596,-0.01290841,-0.01108303,-0.001944971,0.00695169,False,0.25,-1.480182,0.01996976,-3.227975,0.4664103,-0.2391973,0.8516139,False,0.09939788
434.7862,-0.01031241,-0.009324977,-0.001770738,0.006862175,False,0.25,-1.480333,0.01998472,-3.227866,0.4689215,-0.2391294,0.8502529,False,0.09927186
434.8163,-0.008261357,-0.007784926,-0.001563479,0.006776873,False,0.25,-1.480651,0.0199886,-3.227746,0.476018,-0.2406788,0.8458609,False,0.09904691
434.8434,-0.004802955,-0.004868815,-0.001066904,0.006571572,False,0.25,-1.481004,0.01999384,-3.227647,0.4826698,-0.2418619,0.8417439,False,0.09880335
434.8727,-0.002657465,-0.002927328,-0.0006978481,0.006352229,False,0.25,-1.48132,0.01997781,-3.227566,0.4907811,-0.2437141,0.8365031,False,0.09860381
434.9076,-0.00153891,-0.001828794,-0.0004656633,0.006151121,False,0.25,-1.481589,0.01995808,-3.227497,0.4977776,-0.2450202,0.8319751,False,0.09843846
434.9347,-0.0009693287,-0.001234332,-0.0003312749,0.005983185,False,0.25,-1.481839,0.01993984,-3.227448,0.5060554,-0.2463534,0.8265702,False,0.0982879
434.9652,-0.0006337231,-0.0008630981,-0.0002424338,0.005831623,False,0.25,-1.481977,0.01992214,-3.227454,0.5147998,-0.2478462,0.8207031,False,0.09821691
434.9932,-0.0004867949,-0.000685585,-0.0001966351,0.005737504,False,0.25,-1.48196,0.0199039,-3.227474,0.5231785,-0.2495051,0.8148815,False,0.0982448
435.0203,-0.0004786135,-0.0006672402,-0.0001901879,0.005728243,False,0.25,-1.481899,0.01988578,-3.227463,0.5253054,-0.2499988,0.8133603,False,0.09829453
435.0497,-0.0005156804,-0.0007061663,-0.0001990435,0.005750975,False,0.25,-1.481725,0.01985222,-3.227445,0.5273719,-0.250848,0.8117601,False,0.09842531
435.0775,-0.000658865,-0.0008595473,-0.0002346419,0.00583092,False,0.25,-1.48154,0.01983398,-3.227424,0.5293322,-0.2507213,0.8105225,False,0.09855039
435.1063,-0.0008862792,-0.00110423,-0.0002916787,0.005932734,False,0.25,-1.481336,0.01987338,-3.2274,0.5318449,-0.2486829,0.8095049,False,0.09864341
435.1332,-0.001371179,-0.001643452,-0.0004213523,0.006094048,False,0.25,-1.481155,0.01999032,-3.227304,0.5316313,-0.2426255,0.811481,False,0.09865084
435.172,-0.002425352,-0.00287717,-0.0007315727,0.006314656,False,0.25,-1.481068,0.02012104,-3.227121,0.5207747,-0.2339029,0.8210258,False,0.09857374
435.2031,-0.00390795,-0.004745014,-0.001229017,0.006503082,False,0.25,-1.481106,0.02018195,-3.226997,0.5090868,-0.2279212,0.8299895,False,0.09848217
435.2346,-0.0043674,-0.00547587,-0.001453203,0.006550764,False,0.25,-1.481233,0.02027041,-3.226863,0.4954831,-0.2206278,0.8401309,False,0.09831221
435.2709,-0.004462839,-0.005924989,-0.001636718,0.006571064,False,0.25,-1.481464,0.0203734,-3.226701,0.4801126,-0.2123152,0.8511253,False,0.09806102
435.3034,-0.004085656,-0.005927904,-0.001730421,0.00655718,False,0.25,-1.481754,0.02047551,-3.22652,0.4673561,-0.2043282,0.8601328,False,0.097771
435.3345,-0.003554633,-0.005760873,-0.00178349,0.006530711,False,0.25,-1.482287,0.02057481,-3.226281,0.4562103,-0.1978,0.8676102,False,0.09732216
435.3658,-0.002363155,-0.004687163,-0.0015806,0.006428612,False,0.25,-1.482751,0.02059138,-3.226115,0.4506897,-0.1956832,0.870969,False,0.09699316
435.3971,-0.001489241,-0.003582379,-0.001285641,0.006308043,False,0.25,-1.483167,0.02060187,-3.225999,0.4486134,-0.1947674,0.8722453,False,0.0967085
435.4303,-0.0009859493,-0.002905217,-0.001096923,0.006216548,False,0.25,-1.483421,0.02061206,-3.225909,0.4485096,-0.1941043,0.8724464,False,0.09652866
435.4615,-0.0007920273,-0.002715291,-0.001056913,0.006184633,False,0.25,-1.483506,0.02059829,-3.225857,0.4482216,-0.1941392,0.8725867,False,0.09647819
435.494,-0.0007238416,-0.002631264,-0.001034902,0.006168717,False,0.25,-1.483426,0.02056116,-3.225839,0.4480831,-0.1949424,0.8724787,False,0.09655354
435.524,-0.0007521394,-0.002606146,-0.001016401,0.006162263,False,0.25,-1.483256,0.020509,-3.225847,0.448001,-0.1961824,0.8722429,False,0.09669933
435.5562,-0.0008270363,-0.00259317,-0.0009920861,0.006158755,False,0.25,-1.48297,0.02042562,-3.225849,0.4479221,-0.1980703,0.8718567,False,0.09694067
435.5874,-0.0009979028,-0.002695868,-0.0009975577,0.006171805,False,0.25,-1.482741,0.02038831,-3.225786,0.4459886,-0.1976274,0.8729476,False,0.09710103
435.6178,-0.001307748,-0.003217662,-0.001162065,0.006237684,False,0.25,-1.482465,0.0203318,-3.225701,0.4461515,-0.1980249,0.8727742,False,0.09730148
435.6477,-0.001796893,-0.00399522,-0.001400492,0.006317933,False,0.25,-1.482164,0.02026361,-3.225579,0.4464134,-0.1986347,0.8725019,False,0.09752129
