Time,ObstacleAvoidanceForceFieldVF_forceX0,ObstacleAvoidanceForceFieldVF_forceY0,ObstacleAvoidanceForceFieldVF_forceZ0,ObstacleAvoidanceForceFieldVF_dist0,ObstacleAvoidanceForceFieldVF_forceX1,ObstacleAvoidanceForceFieldVF_forceY1,ObstacleAvoidanceForceFieldVF_forceZ1,ObstacleAvoidanceForceFieldVF_dist1,ObstacleAvoidanceForceFieldVF_forceX2,ObstacleAvoidanceForceFieldVF_forceY2,ObstacleAvoidanceForceFieldVF_forceZ2,ObstacleAvoidanceForceFieldVF_dist2,ObstacleAvoidanceForceFieldVF_forceX3,ObstacleAvoidanceForceFieldVF_forceY3,ObstacleAvoidanceForceFieldVF_forceZ3,ObstacleAvoidanceForceFieldVF_dist3,ObstacleAvoidanceForceFieldVF_forceX4,ObstacleAvoidanceForceFieldVF_forceY4,ObstacleAvoidanceForceFieldVF_forceZ4,ObstacleAvoidanceForceFieldVF_dist4,ObstacleAvoidanceForceFieldVF_forceX5,ObstacleAvoidanceForceFieldVF_forceY5,ObstacleAvoidanceForceFieldVF_forceZ5,ObstacleAvoidanceForceFieldVF_dist5,ObstacleAvoidanceForceFieldVF_forceX6,ObstacleAvoidanceForceFieldVF_forceY6,ObstacleAvoidanceForceFieldVF_forceZ6,ObstacleAvoidanceForceFieldVF_dist6,ObstacleAvoidanceForceFieldVF_forceX7,ObstacleAvoidanceForceFieldVF_forceY7,ObstacleAvoidanceForceFieldVF_forceZ7,ObstacleAvoidanceForceFieldVF_dist7,ObstacleAvoidanceForceFieldVF_forceX8,ObstacleAvoidanceForceFieldVF_forceY8,ObstacleAvoidanceForceFieldVF_forceZ8,ObstacleAvoidanceForceFieldVF_dist8,ObstacleAvoidanceForceFieldVF_forceX9,ObstacleAvoidanceForceFieldVF_forceY9,ObstacleAvoidanceForceFieldVF_forceZ9,ObstacleAvoidanceForceFieldVF_dist9,Assisted,Assistance,PositionX,PositionY,PositionZ,ForwardX,ForwardY,ForwardZ,Clutch,FromCamera
333.4038,0.03605423,0.0004037015,-0.07167161,0.001987845,0,0,0,0.04626045,0,0,0,0.03918186,0,0,0,0.03669437,-4.633033E-15,0,-1.50672E-14,0.007856217,0,0,0,0.02226456,0,0,0,0.02604674,0,0,0,0.03558303,-3.787224E-30,-3.906722E-37,-2.005893E-30,0.01502446,0,0,0,0.02816795,False,0.75,-1.514876,0.01648939,-3.225824,-0.08299032,0.9933424,-0.07990095,False,0.08480138
333.4398,0.02986957,0.0002350912,-0.009992208,0.002185169,0,0,0,0.04578639,0,0,0,0.03870444,0,0,0,0.03626769,-3.460374E-14,0,-1.125357E-13,0.007454067,0,0,0,0.02184184,0,0,0,0.02556825,0,0,0,0.03514263,-3.039768E-29,-3.135682E-36,-1.610005E-29,0.01460791,0,0,0,0.02782553,False,0.75,-1.514545,0.01658823,-3.225473,-0.07931194,0.9929758,-0.08780184,False,0.08475499
333.4715,0.004996527,3.932623E-05,-0.001671469,0.002548133,0,0,0,0.04515496,0,0,0,0.03810088,0,0,0,0.03577074,-3.127119E-13,0,-1.016978E-12,0.007013803,0,0,0,0.02135372,0,0,0,0.02494181,0,0,0,0.03452964,-5.782041E-28,-5.964482E-35,-3.062442E-28,0.0140188,0,0,0,0.02730952,False,0.75,-1.514036,0.01669678,-3.225096,-0.08373052,0.9918059,-0.09649271,False,0.0847583
333.4987,0.004996527,3.932623E-05,-0.001671469,0.002548133,0,0,0,0.04515496,0,0,0,0.03810088,0,0,0,0.03577074,-3.127119E-13,0,-1.016978E-12,0.007013803,0,0,0,0.02135372,0,0,0,0.02494181,0,0,0,0.03452964,-5.782041E-28,-5.964482E-35,-3.062442E-28,0.0140188,0,0,0,0.02730952,False,0.75,-1.513565,0.01676191,-3.224758,-0.09131071,0.9904816,-0.1030002,False,0.0848001
333.5318,0.0001158536,7.144221E-07,6.099843E-05,0.003288139,0,0,0,0.0439388,0,0,0,0.03695169,0,0,0,0.03484855,4.425211E-12,2.140174E-18,-4.674599E-11,0.006256367,0,0,0,0.02045988,0,0,0,0.02374012,0,0,0,0.0333421,-1.692296E-25,-1.745693E-32,-8.9632E-26,0.01288298,0,0,0,0.02630872,False,0.75,-1.513034,0.01688696,-3.224399,-0.1037441,0.9882897,-0.1118981,False,0.08480823
333.5626,0.0001158536,7.144221E-07,6.099843E-05,0.003288139,0,0,0,0.0439388,0,0,0,0.03695169,0,0,0,0.03484855,4.425211E-12,2.140174E-18,-4.674599E-11,0.006256367,0,0,0,0.02045988,0,0,0,0.02374012,0,0,0,0.0333421,-1.692296E-25,-1.745693E-32,-8.9632E-26,0.01288298,0,0,0,0.02630872,False,0.75,-1.512707,0.01689642,-3.224079,-0.1072235,0.987568,-0.1149477,False,0.08486122
333.592,8.620656E-06,5.316008E-08,4.538887E-06,0.003807797,0,0,0,0.04304904,0,0,0,0.03606119,0,0,0,0.03407403,1.452655E-10,7.025506E-17,-1.534522E-09,0.005558118,0,0,0,0.01970751,0,0,0,0.02284156,0,0,0,0.03251861,-1.006501E-23,-1.228818E-30,-9.528063E-25,0.0120897,0,0,0,0.0256932,False,0.75,-1.512405,0.0169035,-3.223753,-0.1110143,0.9867993,-0.1179135,False,0.08490866
333.6166,8.620656E-06,5.316008E-08,4.538887E-06,0.003807797,0,0,0,0.04304904,0,0,0,0.03606119,0,0,0,0.03407403,1.452655E-10,7.025506E-17,-1.534522E-09,0.005558118,0,0,0,0.01970751,0,0,0,0.02284156,0,0,0,0.03251861,-1.006501E-23,-1.228818E-30,-9.528063E-25,0.0120897,0,0,0,0.0256932,False,0.75,-1.512121,0.01689408,-3.223464,-0.1195212,0.9856174,-0.1194716,False,0.08497328
333.6451,2.146385E-06,1.323588E-08,1.130099E-06,0.004085874,0,0,0,0.0426482,0,0,0,0.0356607,0,0,0,0.03372844,6.363493E-10,3.077589E-16,-6.722115E-09,0.005262681,0,0,0,0.01937373,0,0,0,0.02243658,0,0,0,0.03214803,-5.941002E-23,-7.253258E-30,-5.624064E-24,0.01173462,0,0,0,0.02541945,False,0.75,-1.511894,0.01689673,-3.223284,-0.1190546,0.9854211,-0.1215388,False,0.08502472
333.6716,-2.988201E-07,-5.452639E-14,5.826135E-07,0.004347795,0,0,0,0.04189474,0,0,0,0.03494415,0,0,0,0.03315891,4.4472E-09,2.150808E-15,-4.697828E-08,0.004873824,-6.556823E-39,0,-2.132362E-38,0.01883917,0,0,0,0.02169044,0,0,0,0.03142395,-1.884895E-21,-2.301234E-28,-1.784341E-22,0.01104319,0,0,0,0.02484407,False,0.75,-1.511516,0.01700947,-3.22301,-0.1279508,0.9831154,-0.1308176,False,0.08501752
333.697,-2.988201E-07,-5.452639E-14,5.826135E-07,0.004347795,0,0,0,0.04189474,0,0,0,0.03494415,0,0,0,0.03315891,4.4472E-09,2.150808E-15,-4.697828E-08,0.004873824,-6.556823E-39,0,-2.132362E-38,0.01883917,0,0,0,0.02169044,0,0,0,0.03142395,-1.884895E-21,-2.301234E-28,-1.784341E-22,0.01104319,0,0,0,0.02484407,False,0.75,-1.510997,0.01709327,-3.222749,-0.1317904,0.9815319,-0.1386613,False,0.085094
