Time,TrajectoryOrientationGuidanceVFRL_forceX0,TrajectoryOrientationGuidanceVFRL_forceY0,TrajectoryOrientationGuidanceVFRL_forceZ0,TrajectoryOrientationGuidanceVFRL_torqueX0,TrajectoryOrientationGuidanceVFRL_torqueY0,TrajectoryOrientationGuidanceVFRL_torqueZ0,TrajectoryOrientationGuidanceVFRL_dist0,TrajectoryOrientationGuidanceVFRL_angle0,TrajectoryOrientationGuidanceVFRL_hand0,TrajectoryOrientationGuidanceVFRL_miss0,Assisted,Assistance,PositionX,PositionY,PositionZ,ForwardX,ForwardY,ForwardZ,Clutch,FromCamera
265.6761,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
265.705,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
265.732,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
265.7562,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
265.7863,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
265.8109,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
265.8363,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
265.8613,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
265.8853,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
265.9091,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
265.9473,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
265.9794,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
266.0081,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
266.0356,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
266.0633,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
266.0886,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
266.1179,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
266.1451,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
266.1735,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
266.2019,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
266.2319,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
266.258,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
266.2894,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
266.3154,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
266.3416,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
266.3684,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
266.3917,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
266.4208,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
266.4469,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
266.4747,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
266.4998,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
266.527,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
266.5529,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
266.5787,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
266.6027,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
266.6317,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
266.66,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
266.6882,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
266.7197,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
266.7449,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
266.7755,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
266.8043,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
266.8326,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
266.8649,0,0,0,0,0,0,0.0002053191,8.726768,right,0,False,1,-1.472581,-0.006999591,-3.240194,0.140483,0.6975908,0.7025893,False,0.1274855
