Time,SurfaceOrientationGuidanceVF_forceX0,SurfaceOrientationGuidanceVF_forceY0,SurfaceOrientationGuidanceVF_forceZ0,SurfaceOrientationGuidanceVF_torqueX0,SurfaceOrientationGuidanceVF_torqueY0,SurfaceOrientationGuidanceVF_torqueZ0,SurfaceOrientationGuidanceVF_dist0,SurfaceOrientationGuidanceVF_angle0,Assisted,Assistance,PositionX,PositionY,PositionZ,ForwardX,ForwardY,ForwardZ,Clutch,FromCamera
591.4254,0.0503188,0.007581344,-0.02251624,0,0,0,0.004168503,10.76814,False,0,-1.496654,-0.005887985,-3.225204,0.2297742,-0.004785165,0.9732322,False,0.1119679
591.4584,0.0508105,0.007655427,-0.02273627,0,0,0,0.004178803,10.759,False,0,-1.496652,-0.005888939,-3.225192,0.229801,-0.004820451,0.9732257,False,0.1119679
591.4857,0.05116115,0.007708258,-0.02289317,0,0,0,0.004186091,10.75772,False,0,-1.496632,-0.005918026,-3.225183,0.2289492,-0.004984096,0.9734256,False,0.1120013
591.5198,0.05138002,0.007741235,-0.02299111,0,0,0,0.004190617,10.80868,False,0,-1.496611,-0.005948961,-3.225176,0.2281242,-0.005257182,0.9736179,False,0.1120365
591.5529,0.05161742,0.007777002,-0.02309734,0,0,0,0.004195505,10.8589,False,0,-1.496611,-0.005946219,-3.225171,0.2281611,-0.005292736,0.973609,False,0.1120334
591.5978,0.05172777,0.007793628,-0.02314672,0,0,0,0.00419777,10.85701,False,0,-1.496611,-0.0059461,-3.225171,0.2281576,-0.005278446,0.9736099,False,0.1120333
591.6249,0.05172552,0.00779329,-0.02314571,0,0,0,0.004197724,10.85712,False,0,-1.496594,-0.005950511,-3.225165,0.2281989,-0.005335703,0.9735999,False,0.1120437
591.6566,0.05149469,0.007758511,-0.02304242,0,0,0,0.00419298,10.85516,False,0,-1.496588,-0.005957603,-3.225158,0.2282252,-0.005339518,0.9735937,False,0.1120514
591.6903,0.05172079,0.007792577,-0.02314359,0,0,0,0.004197627,10.85366,False,0,-1.496601,-0.005962729,-3.225147,0.2282853,-0.005401514,0.9735793,False,0.1120493
591.7254,0.05255123,0.007917696,-0.02351519,0,0,0,0.00421453,10.85065,False,0,-1.496598,-0.00597614,-3.225133,0.2284699,-0.005894035,0.9735332,False,0.1120608
