Time,ConeApproachGuidanceVF_forceX0,ConeApproachGuidanceVF_forceY0,ConeApproachGuidanceVF_forceZ0,ConeApproachGuidanceVF_dist0,Assisted,Assistance,PositionX,PositionY,PositionZ,ForwardX,ForwardY,ForwardZ,Clutch,FromCamera
571.8217,-1.16769E-06,2.446498E-05,1.350701E-05,0.0004772007,False,0,-1.484617,-0.001189172,-3.213481,-0.2578218,0.3758196,0.8901054,False,0.112467
571.8567,-5.732161E-06,2.2142E-05,1.323057E-05,0.0004529744,False,0,-1.484593,-0.001167238,-3.213466,-0.2577524,0.3759186,0.8900837,False,0.1124602
571.89,-7.025253E-06,2.060536E-05,1.267611E-05,0.0004335203,False,0,-1.484587,-0.001142144,-3.213471,-0.2576729,0.3758793,0.8901233,False,0.112442
571.9186,-7.497332E-06,1.946116E-05,1.215784E-05,0.000417295,False,0,-1.484577,-0.001119792,-3.213487,-0.2576448,0.3758919,0.8901261,False,0.1124284
571.9504,-8.269571E-06,1.869645E-05,1.190953E-05,0.0004104811,False,0,-1.484562,-0.001098394,-3.213518,-0.2578637,0.3760795,0.8899835,False,0.112419
571.9774,-9.463988E-06,1.831522E-05,1.196025E-05,0.0004153534,False,0,-1.48455,-0.001084507,-3.213541,-0.2578481,0.3760773,0.889989,False,0.1124143
572.0033,-1.039905E-05,1.810284E-05,1.204639E-05,0.0004211639,False,0,-1.484544,-0.00106746,-3.213583,-0.2580896,0.3762201,0.8898586,False,0.112404
572.0298,-1.113498E-05,1.819867E-05,1.225663E-05,0.000431806,False,0,-1.484507,-0.001056731,-3.213637,-0.2580639,0.376192,0.8898779,False,0.1124156
572.0596,-1.375064E-05,1.887786E-05,1.318755E-05,0.0004688511,False,0,-1.484484,-0.001037002,-3.213689,-0.2582805,0.3763443,0.8897507,False,0.1124128
572.0839,-1.567656E-05,1.913258E-05,1.374004E-05,0.0004930081,False,0,-1.484456,-0.001018465,-3.213734,-0.2583562,0.3764768,0.8896726,False,0.1124127
572.1167,-1.783207E-05,1.934988E-05,1.432161E-05,0.0005182378,False,0,-1.484436,-0.0009923577,-3.213792,-0.2584159,0.3765333,0.8896314,False,0.1124029
572.1431,-1.974075E-05,1.954889E-05,1.484023E-05,0.0005415609,False,0,-1.484408,-0.0009639263,-3.213852,-0.2584811,0.3764903,0.8896306,False,0.1123956
572.1718,-2.232309E-05,1.976555E-05,1.551328E-05,0.0005708818,False,0,-1.484388,-0.000921905,-3.213918,-0.2586265,0.3766811,0.8895076,False,0.1123723
572.204,-2.438976E-05,1.939378E-05,1.57568E-05,0.0005902218,False,0,-1.484362,-0.0008817315,-3.213984,-0.25873,0.3768392,0.8894105,False,0.1123539
572.2309,-2.703156E-05,1.920541E-05,1.622297E-05,0.0006164215,False,0,-1.484343,-0.0008412004,-3.214045,-0.2588286,0.3769733,0.8893251,False,0.1123317
572.2626,-2.921941E-05,1.887674E-05,1.651576E-05,0.0006371617,False,0,-1.484332,-0.0008065701,-3.214106,-0.2589927,0.3771578,0.889199,False,0.1123103
572.2906,-3.087154E-05,1.879799E-05,1.682856E-05,0.0006547674,False,0,-1.484311,-0.0007773042,-3.214157,-0.2591021,0.3773154,0.8891003,False,0.1122983
572.322,-3.332827E-05,1.887385E-05,1.739853E-05,0.0006792546,False,0,-1.484284,-0.0007517338,-3.214207,-0.2591669,0.3774304,0.8890325,False,0.1122923
572.353,-3.646816E-05,1.923002E-05,1.826733E-05,0.0007098471,False,0,-1.484245,-0.000731349,-3.214253,-0.259193,0.3775336,0.8889812,False,0.1122968
572.3903,-4.107901E-05,2.000056E-05,1.967677E-05,0.0007514938,False,0,-1.484201,-0.0007160306,-3.214299,-0.2593973,0.3777571,0.8888266,False,0.1123085
572.4178,-4.688263E-05,2.127664E-05,2.161733E-05,0.0007998546,False,0,-1.484151,-0.000706315,-3.214337,-0.2593648,0.377823,0.8888081,False,0.1123281
572.448,-5.420891E-05,2.2988E-05,2.412101E-05,0.0008537027,False,0,-1.484128,-0.0006994605,-3.214356,-0.2593981,0.3779252,0.8887549,False,0.1123353
572.4816,-5.794659E-05,2.373252E-05,2.532878E-05,0.0008784392,False,0,-1.484104,-0.0006905198,-3.214376,-0.2593904,0.3779736,0.8887365,False,0.1123409
572.5147,-6.193361E-05,2.442055E-05,2.655932E-05,0.0009031326,False,0,-1.484101,-0.0006883144,-3.214386,-0.2593902,0.3779601,0.8887423,False,0.1123411
572.5458,-6.2754E-05,2.47595E-05,2.691965E-05,0.0009089625,False,0,-1.484129,-0.0006827712,-3.214396,-0.2595029,0.3779866,0.8886982,False,0.1123217
572.5777,-5.867129E-05,2.410166E-05,2.568481E-05,0.0008860484,False,0,-1.48418,-0.0006772876,-3.214415,-0.2596454,0.3779415,0.8886757,False,0.1122912
572.6122,-5.219037E-05,2.336678E-05,2.389184E-05,0.0008479604,False,0,-1.484227,-0.0006713271,-3.214444,-0.2598734,0.3780007,0.8885839,False,0.1122629
572.6441,-4.716027E-05,2.315233E-05,2.269307E-05,0.0008181582,False,0,-1.48425,-0.0006683469,-3.214465,-0.2600039,0.3780341,0.8885315,False,0.112249
572.6772,-4.498182E-05,2.327235E-05,2.228951E-05,0.0008059991,False,0,-1.484246,-0.0006613135,-3.214498,-0.2601131,0.3781228,0.8884618,False,0.1122463
572.7113,-4.622867E-05,2.409832E-05,2.300519E-05,0.0008194947,False,0,-1.484204,-0.0006507039,-3.214533,-0.2602337,0.3782423,0.8883756,False,0.1122611
572.7425,-5.233841E-05,2.562012E-05,2.51446E-05,0.0008641367,False,0,-1.484153,-0.0006462336,-3.214566,-0.2602955,0.3784427,0.8882722,False,0.1122851
572.7727,-6.044598E-05,2.792082E-05,2.813568E-05,0.0009173669,False,0,-1.48409,-0.0006428361,-3.214607,-0.2603402,0.3785044,0.8882327,False,0.1123171
572.8043,-7.236162E-05,3.142795E-05,3.260015E-05,0.0009853035,False,0,-1.48402,-0.000636518,-3.214656,-0.2604988,0.3787343,0.8880883,False,0.1123503
572.8389,-8.813966E-05,3.595163E-05,3.844669E-05,0.001060922,False,0,-1.483968,-0.0006281734,-3.214688,-0.2605408,0.3787896,0.8880523,False,0.112372
572.8729,-0.0001016352,3.920248E-05,4.311264E-05,0.001114933,False,0,-1.483927,-0.0006119013,-3.214723,-0.2606051,0.3789793,0.8879526,False,0.1123812
572.9172,-0.0001137756,4.163068E-05,4.704085E-05,0.001158136,False,0,-1.483903,-0.0006062388,-3.214742,-0.2607293,0.3790639,0.88788,False,0.1123899
572.9489,-0.0001217344,4.353901E-05,4.978769E-05,0.00118453,False,0,-1.48388,-0.0006045103,-3.214751,-0.2606561,0.3790312,0.8879155,False,0.1124009
572.9813,-0.0001292697,4.522759E-05,5.23237E-05,0.001207402,False,0,-1.483857,-0.0006007552,-3.214765,-0.2606817,0.3791292,0.8878661,False,0.1124103
573.0155,-0.0001374781,4.710198E-05,5.510529E-05,0.001231282,False,0,-1.483823,-0.0005896688,-3.214797,-0.2606355,0.3791258,0.8878812,False,0.1124199
573.0483,-0.000151265,5.028428E-05,5.979698E-05,0.001269272,False,0,-1.483796,-0.0005787015,-3.214832,-0.2606453,0.3790318,0.8879184,False,0.1124264
