Time,ConeApproachGuidanceVF_forceX0,ConeApproachGuidanceVF_forceY0,ConeApproachGuidanceVF_forceZ0,ConeApproachGuidanceVF_dist0,Assisted,Assistance,PositionX,PositionY,PositionZ,ForwardX,ForwardY,ForwardZ,Clutch,FromCamera
1051.588,0.5618963,-1.204985,-0.6926708,0.01089449,True,0.25,-1.486722,0.01928705,-3.213231,-0.09741043,0.5987027,0.7950262,False,0.09428342
1051.62,0.5616532,-1.205102,-0.692665,0.01089266,True,0.25,-1.486722,0.01928675,-3.213225,-0.09736696,0.5986381,0.7950801,False,0.09428331
1051.662,0.5617141,-1.205078,-0.6926694,0.01089526,True,0.25,-1.486729,0.01928258,-3.213222,-0.09733744,0.5985562,0.7951453,False,0.09428293
1051.699,0.5626255,-1.204642,-0.692691,0.01089551,True,0.25,-1.486723,0.0192849,-3.21322,-0.0973357,0.598584,0.7951247,False,0.09428404
1051.729,0.5619341,-1.204976,-0.6926763,0.01089645,True,0.25,-1.486718,0.01928598,-3.213224,-0.09737562,0.5986761,0.7950504,False,0.09428674
1051.758,0.5612236,-1.20531,-0.6926556,0.01089329,True,0.25,-1.486717,0.01928455,-3.213224,-0.09734543,0.5986245,0.7950929,False,0.09428812
1051.789,0.5612578,-1.20529,-0.6926553,0.01089179,True,0.25,-1.486717,0.0192849,-3.213225,-0.09734491,0.5986242,0.7950932,False,0.09428798
1051.818,0.5612105,-1.205313,-0.6926546,0.01089177,True,0.25,-1.486718,0.01928872,-3.213218,-0.0973185,0.5985893,0.7951226,False,0.0942839
1051.846,0.5611769,-1.205344,-0.6926594,0.01089852,True,0.25,-1.486708,0.01929027,-3.213212,-0.0972266,0.5985003,0.7952011,False,0.09428886
1051.879,0.559909,-1.205951,-0.6926295,0.01089829,True,0.25,-1.486704,0.01929325,-3.213211,-0.09724833,0.5985683,0.7951471,False,0.09428855
1051.908,0.5593544,-1.20622,-0.6926178,0.01090002,True,0.25,-1.486698,0.01929259,-3.213208,-0.0971957,0.5985128,0.7951952,False,0.0942924
1051.938,0.5587553,-1.206504,-0.6926013,0.01089856,True,0.25,-1.486694,0.01929444,-3.2132,-0.0971379,0.5984553,0.7952457,False,0.09429304
1051.97,0.5582292,-1.206763,-0.6925933,0.0109024,True,0.25,-1.486684,0.01929569,-3.213194,-0.09713091,0.5983154,0.7953518,False,0.09429774
1052,0.557071,-1.207316,-0.6925639,0.01090237,True,0.25,-1.486664,0.019297,-3.213184,-0.09695654,0.5981481,0.7954988,False,0.09430834
1052.038,0.5547721,-1.208407,-0.692504,0.0109008,True,0.25,-1.486648,0.0193035,-3.213154,-0.09673783,0.5979286,0.7956906,False,0.09431162
1052.076,0.552735,-1.209401,-0.6924623,0.0109139,True,0.25,-1.486625,0.01928633,-3.21308,-0.09709425,0.5976371,0.7958659,False,0.09433695
1052.114,0.551235,-1.21014,-0.6924355,0.0109255,True,0.25,-1.486608,0.01928544,-3.213019,-0.0968667,0.5974492,0.7960348,False,0.09434575
1052.155,0.5495904,-1.210959,-0.6924097,0.01094653,True,0.25,-1.486627,0.01929247,-3.212876,-0.09679636,0.5973261,0.7961358,False,0.09432387
