idx,subject,task,repetition,assisted,assistance,time,avg_dist,avg_force
1,K,Training2,0,True,1.0,20.25921,0.0024643732841692,0.0921306338312232
1,K,Training2,0,True,1.0,20.25921,0.0024643732841692,0.0921306338312232
7,V,Training2,0,True,1.0,216.1788,0.0152262922975278,1.3028458957167055
8,V,Training2,1,True,1.0,43.65089999999998,0.00709338637448,1.062100950925526
9,V,Training2,2,True,1.0,40.297199999999975,0.0050656929181948,0.7481946876621345
3,A,Training2,0,False,1.0,40.81075,0.0076444995325157,1.002028193733755
4,A,Training2,1,False,1.0,27.177599999999984,0.0065031955608823,0.8333225213179243
5,A,Training2,2,False,1.0,19.938500000000005,0.0090391598848744,1.067169489433473
15,I,Training2,0,True,1.0,131.52670000000003,0.0231508457748376,0.8704433331051589
16,I,Training2,1,True,1.0,23.67859999999996,0.0036166525310726,0.3049216996118716
17,I,Training2,2,True,1.0,22.6993,0.0030911934438936,0.2462054005953099
25,K,Training2,0,True,1.0,20.25921,0.0024643732841692,0.0921306338312232
31,V,Training2,0,True,1.0,216.1788,0.0152262922975278,1.3028458957167055
32,V,Training2,1,True,1.0,43.65089999999998,0.00709338637448,1.062100950925526
33,V,Training2,2,True,1.0,40.297199999999975,0.005065692918194866,0.7481946876621345
