idx,subject,task,repetition,assisted,assistance,time,missexchanges,clutch_time,avg_dist,avg_angle,avg_force,avg_torque
18,A,Training4,0,False,1.0,28.178169999999994,0.0,0.0,0.0030805888809587,34.92777251710859,0.3927778214057912,0.0083883614499285
19,A,Training4,1,False,1.0,18.364100000000008,0.0,0.0,0.0030807621472451,24.84147605593021,0.3198835975138316,0.0081950165425433
20,A,Training4,2,False,1.0,15.125099999999977,0.0,0.0,0.0048074558653676,21.41871772000555,0.686668437972675,0.008252999595187
21,A,Training4,3,False,0.75,28.060600000000008,1.0,0.0,0.0069554711794179,18.072384907292346,0.7716419215608635,0.0080977610187633
22,A,Training4,4,False,0.75,19.687900000000013,0.0,0.0,0.003088439465284,18.42077868878697,0.3436641331150556,0.0078498536635616
23,A,Training4,5,False,0.75,23.10409999999996,0.0,0.0,0.0058417745831499,25.519377341472097,0.7636629886414483,0.0077736372176371
42,D,Training4,0,True,1.0,64.85929999999996,0.0,0.1401480111008325,0.0041877987129979,18.471386990427984,0.4367718312250652,0.0071897480182524
43,D,Training4,1,True,1.0,54.27080000000001,1.0,0.0,0.0031337330790599,20.34630778969497,0.326340678330308,0.0076267226143426
44,D,Training4,2,True,1.0,71.31500000000005,0.0,0.1870967741935484,0.0014488305137574,24.184632216032863,0.0677921685304113,0.0064963644799305
45,D,Training4,3,True,0.75,43.63530000000003,0.0,0.0518097941802696,0.0024688140226299,24.068447371665773,0.1798867360811754,0.0084583136912623
46,D,Training4,4,True,0.75,50.0444,0.0,0.1140142517814726,0.0022827895238425,14.73290017383578,0.1672267534915499,0.0062899346706953
47,D,Training4,5,True,0.75,54.77110000000005,0.0,0.0842572062084257,0.0019247950143019,30.749484480087684,0.107683353142332,0.0071204710987843
66,I,Training4,0,True,1.0,33.996699999999976,0.0,0.0,0.0024473335286972,28.12082221426923,0.1769011743491287,0.0073907080463554
67,I,Training4,1,True,1.0,30.95419999999996,2.0,0.0,0.0024418371511332,15.522302045760206,0.2189303367079517,0.0063881791981687
68,I,Training4,2,True,1.0,37.650999999999954,0.0,0.0,0.0017688960792703,11.994407569711978,0.1016238709996902,0.00476083718001
69,I,Training4,3,True,0.75,32.754899999999964,0.0,0.0,0.002814145741232,15.252475399155198,0.2863273728777583,0.0075024358095785
70,I,Training4,4,True,0.75,19.543900000000008,0.0,0.0,0.0026377663887746,18.318711067471963,0.2309353992732773,0.0084480252204962
71,I,Training4,5,True,0.75,21.2038,0.0,0.0,0.0021814543376403,17.510712324367194,0.180617936416114,0.0076576155180601
75,K,Training4,0,True,1.0,18.5386,0.0,0.0,0.0020785338450394,12.717899155970946,0.1120407070785037,0.0062200232226203
85,P,Training4,0,False,1.0,53.984500000000025,0.0,0.0,0.0039424223831535,19.207153688213467,0.3988599039160762,0.0066206791120905
86,P,Training4,1,False,1.0,38.47789999999998,0.0,0.0,0.0021562929262604,26.68658685925375,0.1333316683187602,0.0087487371810174
87,P,Training4,2,False,1.0,35.249000000000024,0.0,0.0,0.0021882821239923,18.90640705089542,0.1390399207062297,0.0087285225918928
106,S,Training4,0,False,1.0,45.30599999999998,0.0,0.0,0.0045821472152168,35.99766994612685,0.446172189891114,0.0074986769181548
107,S,Training4,1,False,1.0,25.56220000000002,0.0,0.0,0.0038837747402134,51.59964314791524,0.4542990862895552,0.0076986279470964
108,S,Training4,2,False,1.0,23.829000000000008,0.0,0.0,0.0042795904934686,44.62859424176362,0.5328450979276332,0.0084716945230449
109,S,Training4,3,False,1.0,10.836999999999987,3.0,0.0,0.008085292,36.22435,0.0,0.0
110,S,Training4,4,False,0.75,18.100499999999982,0.0,0.059322033898305,0.0056086201977074,49.957478435610014,0.6913707716160958,0.0086061664318093
111,S,Training4,5,False,0.75,30.37982,0.0,0.0,0.0022040645826045,39.023052457079615,0.1857766584948914,0.0079017771250972
121,V,Training4,0,True,1.0,29.546999999999912,0.0,0.0,0.0029155068134552,47.56709978579048,0.2481492328838543,0.0074045610989505
122,V,Training4,1,True,1.0,21.80129999999997,0.0,0.0,0.0026539776110446,28.39466425937161,0.3253352946490599,0.0072716919327733
123,V,Training4,2,True,1.0,78.56389999999999,0.0,0.0,0.0038125655382198987,31.334197336070744,0.2146077280320181,0.003771978980321436
