X,Y,Z
-0.3197232,-0.04945785,0.1726137
-0.2325476,-0.2878394,0.134389
-0.2325476,-0.2878394,0.134389
-0.3067484,-0.05361626,0.2014343
-0.01084449,0.3258215,0.06952596
-2.086163E-07,1.192093E-07,-3.278255E-07
-0.01084449,0.3258215,0.06952596
-1.192093E-07,-5.960464E-08,-2.831221E-07
0,-2.831221E-07,2.980232E-08
-2.086163E-07,1.490116E-07,-3.427267E-07
-2.980232E-08,-2.160668E-07,-2.831221E-07
-5.960464E-08,1.490116E-07,-2.235174E-07
-2.086163E-07,3.874302E-07,-3.576279E-07
-2.980232E-08,-1.490116E-08,-7.450581E-08
-2.980232E-08,-7.450581E-09,-7.450581E-08
-1.788139E-07,3.278255E-07,-2.980232E-07
2.980232E-08,2.980232E-08,5.960464E-08
-5.960464E-08,-2.980232E-08,-1.788139E-07
4.768372E-07,-2.905726E-07,9.089708E-07
1.788139E-07,4.470348E-08,4.768372E-07
3.576279E-07,1.192093E-07,7.301569E-07
2.682209E-07,-9.685755E-08,4.917383E-07
5.066395E-07,-4.470348E-08,9.983778E-07
5.960464E-08,1.564622E-07,1.937151E-07
7.152557E-07,-4.321337E-07,1.311302E-06
2.086163E-07,-3.501773E-07,2.980232E-07
8.642673E-07,-3.427267E-07,1.758337E-06
4.172325E-07,-8.940697E-08,8.34465E-07
1.102686E-06,-3.72529E-07,2.235174E-06
4.768372E-07,-2.831221E-07,9.834766E-07
1.221895E-06,-1.713634E-07,2.548099E-06
3.874302E-07,2.905726E-07,8.791685E-07
1.460314E-06,-6.183982E-07,3.039837E-06
6.854534E-07,-3.799796E-07,1.341105E-06
1.221895E-06,-4.917383E-07,2.577901E-06
4.768372E-07,-2.086163E-07,1.102686E-06
1.698732E-06,-6.854534E-07,3.442168E-06
6.258488E-07,-3.874302E-07,1.326203E-06
1.698732E-06,-4.172325E-07,3.561378E-06
7.152557E-07,-2.905726E-07,1.430511E-06
1.66893E-06,-8.270144E-07,3.427267E-06
3.874302E-07,-3.576279E-07,6.854534E-07
2.473593E-06,-7.376075E-07,5.155802E-06
1.817942E-06,-6.92904E-07,3.784895E-06
2.384186E-06,-8.34465E-07,4.887581E-06
1.132488E-06,-5.140901E-07,2.294779E-06
3.099442E-06,-9.387732E-07,6.437302E-06
2.05636E-06,-6.631017E-07,4.440546E-06
2.890825E-06,-1.043081E-06,6.064773E-06
1.579523E-06,-6.631017E-07,3.248453E-06
