X,Y,Z
-1.477805,0.02125993,-3.18208
-1.477155,0.02108204,-3.180659
-1.477155,0.02108204,-3.180659
-1.476503,0.02085485,-3.179246
-1.47497,0.02070016,-3.178229
-1.475541,0.01927498,-3.179976
-1.475625,0.02097642,-3.179632
-1.474909,0.01900842,-3.178622
-1.475456,0.01757354,-3.180319
-1.474847,0.01731668,-3.179015
-1.475371,0.0158721,-3.180663
-1.474785,0.01562493,-3.179408
-1.475286,0.01417065,-3.181006
-1.474723,0.01393318,-3.1798
-1.475202,0.0124692,-3.18135
-1.474662,0.01224143,-3.180193
-1.475117,0.01076777,-3.181693
-1.4746,0.01054968,-3.180586
-1.475032,0.009066321,-3.182037
-1.474538,0.008857936,-3.180979
-1.474948,0.007364869,-3.18238
-1.474477,0.007166184,-3.181371
-1.474863,0.005663432,-3.182724
-1.474415,0.005474433,-3.181764
-1.474778,0.003961988,-3.183067
-1.474353,0.00378269,-3.182157
-1.474694,0.002260551,-3.18341
-1.474291,0.002090931,-3.182549
-1.474609,0.0005590916,-3.183754
-1.47423,0.0003991798,-3.182942
-1.474524,-0.001142345,-3.184098
-1.474168,-0.001292564,-3.183335
-1.47444,-0.00284379,-3.184441
-1.474106,-0.002984308,-3.183728
-1.474355,-0.004545234,-3.184784
-1.474045,-0.004676051,-3.18412
-1.47427,-0.006246679,-3.185128
-1.473983,-0.006367803,-3.184513
-1.474185,-0.007948119,-3.185472
-1.473921,-0.008059558,-3.184906
-1.474101,-0.00964956,-3.185815
-1.47386,-0.009751301,-3.185298
-1.474016,-0.01135101,-3.186158
-1.473798,-0.01144305,-3.185691
-1.473931,-0.01305246,-3.186502
-1.473736,-0.0131348,-3.186084
-1.473847,-0.0147539,-3.186845
-1.473674,-0.01482655,-3.186476
-1.473762,-0.01645534,-3.187189
-1.473613,-0.0165183,-3.186869
-1.473677,-0.01815678,-3.187532
-1.473551,-0.01821005,-3.187262
-1.473593,-0.01985823,-3.187876
-1.473489,-0.01990179,-3.187655
-1.473508,-0.02155967,-3.188219
-1.473428,-0.02159354,-3.188047
-1.473423,-0.02326111,-3.188563
-1.473366,-0.02328529,-3.18844
-1.47323,-0.02752192,-3.189466
-1.473383,-0.03147438,-3.19106
-1.473326,-0.03152164,-3.190944
-1.473452,-0.03306548,-3.191718
-1.473372,-0.03313167,-3.191556
-1.473521,-0.03465657,-3.192375
-1.473417,-0.03474171,-3.192167
