X,Y,Z
-2.646446E-06,-0.6662461,-0.4331138
0.1517628,-0.9208274,-0.04149851
-0.3973308,-0.8235853,-0.1910835
-0.1875959,-0.9809241,0.05094737
0.1517622,-0.920828,-0.04149851
-0.3973307,-0.8235853,-0.1910836
-0.1875963,-0.980924,0.05094677
0.1517625,-0.9208276,-0.04149845
-0.1875955,-0.9809242,0.05094761
-0.3973305,-0.8235854,-0.1910836
-0.1875967,-0.980924,0.05094725
0.1517626,-0.9208277,-0.04149845
-0.1875966,-0.980924,0.05094677
-0.1875959,-0.9809241,0.05094761
-0.3973304,-0.8235855,-0.1910835
-0.1875964,-0.980924,0.05094713
0.1517623,-0.9208279,-0.04149839
-0.1875964,-0.980924,0.05094701
-0.1875964,-0.9809241,0.05094707
-0.1875956,-0.9809242,0.05094755
-0.3973306,-0.8235854,-0.1910838
-0.1875964,-0.980924,0.05094713
0.1517622,-0.9208277,-0.04149821
-0.1875965,-0.980924,0.05094767
-0.1875964,-0.980924,0.05094701
-0.1875961,-0.9809241,0.05094683
-0.1875954,-0.9809242,0.05094755
-0.3973306,-0.8235854,-0.1910837
-0.187597,-0.980924,0.05094773
0.1517624,-0.9208276,-0.04149887
-0.1875964,-0.980924,0.05094701
-0.2455663,-0.8236789,0.3659626
0.2196349,-0.6663852,0.3730538
-0.2455659,-0.8236791,0.3659628
-0.2455659,-0.8236793,0.3659627
-0.1875967,-0.980924,0.05094641
-0.2455662,-0.8236793,0.3659627
-0.1875964,-0.980924,0.05094701
-0.2455662,-0.8236786,0.365963
-0.187597,-0.9809239,0.05094755
-0.2455658,-0.8236791,0.3659628
-0.1875967,-0.980924,0.05094725
-0.2455664,-0.8236794,0.3659628
-0.3973306,-0.8235853,-0.1910836
-0.5750185,-0.5256587,0.1565743
-0.5750185,-0.5256587,0.1565743
-0.7946556,-0.411765,-0.2676805
-0.3973306,-0.8235853,-0.1910836
-0.6070651,-0.6662464,-0.433114
-0.7946556,-0.411765,-0.2676805
-0.3973306,-0.8235854,-0.1910837
-0.607065,-0.6662465,-0.4331141
-0.7946556,-0.411765,-0.2676805
-0.6070642,-0.6662469,-0.4331143
-0.3973306,-0.8235854,-0.1910838
-0.6070649,-0.6662465,-0.4331141
-0.7946555,-0.411765,-0.2676806
-0.607064,-0.6662471,-0.4331145
-0.6070645,-0.6662467,-0.4331142
-0.3973304,-0.8235855,-0.1910835
-0.6070648,-0.6662465,-0.4331141
-0.7946556,-0.411765,-0.2676806
-0.607064,-0.6662471,-0.4331145
-0.607064,-0.6662471,-0.4331145
-0.6070647,-0.6662467,-0.4331142
-0.3973305,-0.8235854,-0.1910836
-0.607065,-0.6662465,-0.4331141
-0.7946557,-0.411765,-0.2676805
-0.6070642,-0.6662469,-0.4331143
-0.6070645,-0.6662467,-0.4331142
-0.6070643,-0.6662469,-0.4331143
-0.6070645,-0.6662467,-0.4331142
-0.3973307,-0.8235853,-0.1910836
-0.6070651,-0.6662464,-0.433114
-0.7946556,-0.411765,-0.2676805
-0.6070642,-0.6662469,-0.4331143
-0.3973308,-0.5089065,-0.6751441
-0.5750184,-0.07025193,-0.5439647
-0.3973304,-0.5089069,-0.6751442
-0.3973305,-0.5089067,-0.6751442
-0.607064,-0.6662471,-0.4331145
-0.3973303,-0.5089071,-0.6751441
-0.6070639,-0.6662471,-0.4331145
-0.3973304,-0.5089068,-0.6751443
-0.6070639,-0.6662471,-0.4331145
-0.3973306,-0.508907,-0.6751442
-0.6070645,-0.6662467,-0.4331142
-0.3973304,-0.5089071,-0.6751442
-0.3973308,-0.8235853,-0.1910835
-2.646446E-06,-0.6662461,-0.4331138
-2.646447E-06,-0.6662461,-0.4331138
0.4911224,-0.6662463,-0.4331139
0.1517628,-0.9208274,-0.04149851
0.4911224,-0.8607309,-0.1339442
0.491122,-0.6662465,-0.4331141
0.1517622,-0.920828,-0.04149851
0.4911216,-0.8607312,-0.1339443
0.4911213,-0.6662468,-0.4331143
0.4911224,-0.8607309,-0.1339442
0.1517625,-0.9208276,-0.04149845
0.4911217,-0.8607314,-0.1339443
0.4911214,-0.6662469,-0.4331141
0.4911216,-0.8607314,-0.1339441
0.4911224,-0.8607309,-0.1339441
0.1517626,-0.9208277,-0.04149845
0.4911217,-0.8607314,-0.133944
0.4911221,-0.6662465,-0.4331141
0.4911217,-0.8607314,-0.133944
0.4911224,-0.860731,-0.133944
0.4911224,-0.8607308,-0.1339446
0.1517623,-0.9208279,-0.04149839
0.4911224,-0.860731,-0.1339439
0.4911216,-0.6662468,-0.4331141
0.4911225,-0.8607309,-0.1339438
0.4911221,-0.860731,-0.1339444
0.4911219,-0.8607312,-0.1339441
0.4911221,-0.8607311,-0.133944
0.1517622,-0.9208277,-0.04149821
0.4911217,-0.8607314,-0.133944
0.4911221,-0.6662464,-0.4331141
0.4911217,-0.8607314,-0.133944
0.6428857,-0.6663439,0.1239401
0.7107578,-0.2979518,-0.1936929
0.6428857,-0.6663438,0.12394
0.6428857,-0.666344,0.1239398
0.4911219,-0.8607311,-0.1339442
0.642886,-0.6663436,0.1239398
0.4911219,-0.8607312,-0.1339441
0.6428859,-0.666344,0.12394
0.491122,-0.8607312,-0.133944
0.6428857,-0.6663436,0.1239403
0.4911214,-0.8607315,-0.133944
0.6428858,-0.6663438,0.12394
0.1517624,-0.9208276,-0.04149887
0.2196349,-0.6663852,0.3730538
