X,Y,Z
-1.496882,-0.03605295,-3.187002
-1.496163,-0.03605338,-3.184365
-1.498763,-0.03559291,-3.185073
-1.498045,-0.03559335,-3.182435
-1.495445,-0.03605381,-3.181727
-1.500645,-0.03513287,-3.183144
-1.497326,-0.03559378,-3.179797
-1.494726,-0.03605425,-3.179089
-1.499926,-0.03513331,-3.180506
-1.502526,-0.03467284,-3.181214
-1.496608,-0.03559422,-3.17716
-1.494007,-0.03605469,-3.176451
-1.499208,-0.03513375,-3.177868
-1.501808,-0.03467327,-3.178576
-1.504408,-0.03421281,-3.179285
-1.495889,-0.03559465,-3.174522
-1.493289,-0.03605512,-3.173813
-1.498489,-0.03513418,-3.17523
-1.501089,-0.03467371,-3.175938
-1.503689,-0.03421324,-3.176647
-1.506289,-0.03375277,-3.177355
-1.49517,-0.03559509,-3.171884
-1.49257,-0.03605556,-3.171176
-1.49777,-0.03513462,-3.172592
-1.500371,-0.03467415,-3.173301
-1.502971,-0.03421368,-3.174009
-1.505571,-0.03375321,-3.174717
-1.508171,-0.03329274,-3.175426
-1.494452,-0.03559552,-3.169246
-1.491851,-0.03605599,-3.168538
-1.497052,-0.03513505,-3.169955
-1.493733,-0.03559596,-3.166608
-1.491133,-0.03605643,-3.1659
-1.496333,-0.03513549,-3.167317
-1.498933,-0.03467502,-3.168025
-1.499652,-0.03467458,-3.170663
-1.501533,-0.03421455,-3.168733
-1.502252,-0.03421411,-3.171371
-1.504133,-0.03375408,-3.169442
-1.504852,-0.03375364,-3.17208
-1.506734,-0.0332936,-3.17015
-1.507452,-0.03329317,-3.172788
-1.509334,-0.03283314,-3.170858
-1.510052,-0.0328327,-3.173496
-1.511934,-0.03237266,-3.171567
-1.511934,-0.03237266,-3.171567
-1.511934,-0.03088258,-3.173859
-1.510052,-0.0328327,-3.173496
-1.510052,-0.03134262,-3.175788
-1.511934,-0.0293925,-3.176151
-1.508171,-0.03329274,-3.175426
-1.510052,-0.02985254,-3.178081
-1.511934,-0.02790242,-3.178443
-1.508171,-0.03180265,-3.177718
-1.506289,-0.03375277,-3.177355
-1.510052,-0.02836245,-3.180372
-1.511934,-0.02641234,-3.180735
-1.508171,-0.03031257,-3.18001
-1.506289,-0.03226269,-3.179647
-1.504408,-0.03421281,-3.179285
-1.510052,-0.02687237,-3.182665
-1.511934,-0.02492226,-3.183028
-1.508171,-0.02882249,-3.182302
-1.506289,-0.03077261,-3.181939
-1.504408,-0.03272272,-3.181577
-1.502526,-0.03467284,-3.181214
-1.510052,-0.02538229,-3.184957
-1.511934,-0.02343218,-3.18532
-1.508171,-0.02733241,-3.184594
-1.506289,-0.02928253,-3.184232
-1.504408,-0.03123264,-3.183869
-1.502526,-0.03318276,-3.183506
-1.500645,-0.03513287,-3.183144
-1.510052,-0.02389221,-3.187249
-1.511934,-0.0219421,-3.187612
-1.508171,-0.02584233,-3.186886
-1.510052,-0.02240213,-3.189541
-1.511934,-0.02045201,-3.189904
-1.508171,-0.02435225,-3.189178
-1.506289,-0.02630236,-3.188816
-1.506289,-0.02779244,-3.186524
-1.504408,-0.02825248,-3.188453
-1.504408,-0.02974256,-3.186161
-1.502526,-0.0302026,-3.188091
-1.502526,-0.03169268,-3.185798
-1.500645,-0.03215271,-3.187728
-1.500645,-0.03364279,-3.185436
-1.498763,-0.03410283,-3.187365
-1.498763,-0.03559291,-3.185073
-1.496882,-0.03605295,-3.187002
-1.496882,-0.03605295,-3.187002
-1.494556,-0.03484787,-3.186219
-1.496163,-0.03605338,-3.184365
-1.493838,-0.03484831,-3.183581
-1.492231,-0.03364279,-3.185436
-1.495445,-0.03605381,-3.181727
-1.491512,-0.03364323,-3.182798
-1.489905,-0.03243772,-3.184652
-1.493119,-0.03484874,-3.180943
-1.494726,-0.03605425,-3.179089
-1.489186,-0.03243815,-3.182014
-1.487579,-0.03123264,-3.183869
-1.490793,-0.03364366,-3.18016
-1.4924,-0.03484917,-3.178306
-1.494007,-0.03605469,-3.176451
-1.486861,-0.03123308,-3.181231
-1.485254,-0.03002756,-3.183085
-1.488468,-0.03243859,-3.179377
-1.490075,-0.0336441,-3.177522
-1.491682,-0.03484961,-3.175668
-1.493289,-0.03605512,-3.173813
-1.484535,-0.030028,-3.180448
-1.482928,-0.02882249,-3.182302
-1.486142,-0.03123351,-3.178593
-1.487749,-0.03243902,-3.176739
-1.489356,-0.03364453,-3.174885
-1.490963,-0.03485005,-3.17303
-1.49257,-0.03605556,-3.171176
-1.482209,-0.02882293,-3.179664
-1.480602,-0.02761742,-3.181519
-1.483816,-0.03002844,-3.17781
-1.479884,-0.02761785,-3.178881
-1.478277,-0.02641234,-3.180735
-1.481491,-0.02882336,-3.177027
-1.483098,-0.03002887,-3.175172
-1.485423,-0.03123395,-3.175956
-1.484705,-0.03123438,-3.173318
-1.48703,-0.03243946,-3.174101
-1.486312,-0.03243989,-3.171463
-1.488637,-0.03364497,-3.172247
-1.487919,-0.03364541,-3.169609
-1.490245,-0.03485048,-3.170392
-1.489526,-0.03485092,-3.167754
-1.491851,-0.03605599,-3.168538
-1.491133,-0.03605643,-3.1659
-1.496882,-0.03605295,-3.187002
-1.496163,-0.03364236,-3.188073
-1.494556,-0.03484787,-3.186219
-1.493838,-0.03243728,-3.18729
-1.495445,-0.03123177,-3.189144
-1.492231,-0.03364279,-3.185436
-1.493119,-0.03002669,-3.188361
-1.494726,-0.02882118,-3.190215
-1.491512,-0.03123221,-3.186507
-1.489905,-0.03243772,-3.184652
-1.4924,-0.02761611,-3.189432
-1.494007,-0.0264106,-3.191287
-1.490793,-0.02882162,-3.187578
-1.489186,-0.03002713,-3.185723
-1.487579,-0.03123264,-3.183869
-1.491682,-0.02520552,-3.190503
-1.493289,-0.02400001,-3.192358
-1.490075,-0.02641103,-3.188649
-1.488468,-0.02761654,-3.186794
-1.486861,-0.02882206,-3.18494
-1.485254,-0.03002756,-3.183085
-1.490963,-0.02279493,-3.191574
-1.49257,-0.02158942,-3.193429
-1.489356,-0.02400045,-3.18972
-1.487749,-0.02520596,-3.187865
-1.486142,-0.02641147,-3.186011
-1.484535,-0.02761698,-3.184156
-1.482928,-0.02882249,-3.182302
-1.490245,-0.02038435,-3.192645
-1.491851,-0.01917884,-3.194499
-1.488637,-0.02158986,-3.190791
-1.489526,-0.01797376,-3.193716
-1.491133,-0.01676825,-3.19557
-1.487919,-0.01917927,-3.191862
-1.486312,-0.02038478,-3.190007
-1.487031,-0.02279537,-3.188936
-1.484705,-0.02159029,-3.188153
-1.485423,-0.02400088,-3.187082
-1.483098,-0.0227958,-3.186298
-1.483816,-0.02520639,-3.185227
-1.481491,-0.02400132,-3.184444
-1.482209,-0.0264119,-3.183373
-1.479884,-0.02520683,-3.18259
-1.480602,-0.02761742,-3.181519
-1.478277,-0.02641234,-3.180735
-1.496882,-0.03605295,-3.187002
-1.498763,-0.03410283,-3.187365
-1.496163,-0.03364236,-3.188073
-1.498045,-0.03169224,-3.188436
-1.500645,-0.03215271,-3.187728
-1.495445,-0.03123177,-3.189144
-1.499926,-0.02974213,-3.188799
-1.502526,-0.0302026,-3.188091
-1.497326,-0.02928166,-3.189507
-1.494726,-0.02882118,-3.190215
-1.501808,-0.02779201,-3.189162
-1.504408,-0.02825248,-3.188453
-1.499208,-0.02733154,-3.18987
-1.496608,-0.02687107,-3.190578
-1.494007,-0.0264106,-3.191287
-1.503689,-0.02584189,-3.189524
-1.506289,-0.02630236,-3.188816
-1.501089,-0.02538142,-3.190233
-1.498489,-0.02492095,-3.190941
-1.495889,-0.02446048,-3.191649
-1.493289,-0.02400001,-3.192358
-1.505571,-0.02389178,-3.189887
-1.508171,-0.02435225,-3.189178
-1.502971,-0.02343131,-3.190595
-1.500371,-0.02297084,-3.191303
-1.49777,-0.02251036,-3.192012
-1.49517,-0.0220499,-3.19272
-1.49257,-0.02158942,-3.193429
-1.507452,-0.02194166,-3.190249
-1.510052,-0.02240213,-3.189541
-1.504852,-0.02148119,-3.190958
-1.509334,-0.01999154,-3.190612
-1.511934,-0.02045201,-3.189904
-1.506734,-0.01953107,-3.19132
-1.504133,-0.0190706,-3.192029
-1.502252,-0.02102072,-3.191666
-1.501533,-0.01861013,-3.192737
-1.499652,-0.02056025,-3.192374
-1.498933,-0.01814966,-3.193445
-1.497052,-0.02009978,-3.193083
-1.496333,-0.01768919,-3.194154
-1.494452,-0.01963931,-3.193791
-1.493733,-0.01722872,-3.194862
-1.491851,-0.01917884,-3.194499
-1.491133,-0.01676825,-3.19557
-1.511934,-0.03237266,-3.171567
-1.512378,-0.02967776,-3.171445
-1.511934,-0.03088258,-3.173859
-1.512378,-0.02818768,-3.173737
-1.512822,-0.02698285,-3.171324
-1.511934,-0.0293925,-3.176151
-1.512822,-0.02549277,-3.173616
-1.513266,-0.02428795,-3.171202
-1.512378,-0.0266976,-3.176029
-1.511934,-0.02790242,-3.178443
-1.513266,-0.02279787,-3.173494
-1.51371,-0.02159304,-3.171081
-1.512822,-0.02400269,-3.175908
-1.512378,-0.02520751,-3.178322
