X,Y,Z
0.5773503,-0.7987345,0.1693811
0.5773503,0.1693811,0.7987344
-0.5773503,-0.7987345,0.1693811
-0.5773503,0.1693811,0.7987344
0.5770534,-0.1688089,-0.7990701
0.5770534,0.7988089,-0.1700402
-0.5770534,-0.1688089,-0.7990701
-0.5770534,0.7988089,-0.1700402
3.58796E-17,-0.5450359,0.8384127
-3.58796E-17,0.5450359,-0.8384127
0.999975,-0.004596468,0.005393462
-1.207762E-16,0.834696,0.5507109
-0.999975,-0.00459653,0.005393806
1.2128E-16,-0.8423535,-0.5389254
1.109464E-16,-0.9782459,0.2074486
-0.7071068,-0.3853987,0.5928473
-6.020501E-17,0.2074488,0.9782459
0.7071068,-0.3853986,0.5928472
0.7072056,0.3853448,-0.5927644
-1.109548E-16,0.9782749,-0.2073119
-0.7072056,0.3853448,-0.5927644
6.02205E-17,-0.2075853,-0.9782169
0.707078,0.5879089,0.3929424
0.7070715,-0.5982553,-0.3770149
-0.707078,0.5879089,0.3929423
-0.7070716,-0.5982553,-0.377015
0.4805394,-0.8578954,0.1819269
0.3410981,-0.9195783,0.1950075
0.1769334,-0.9628119,0.2041757
-0.48054,-0.8578949,0.1819276
-0.3410983,-0.9195778,0.1950087
-0.176933,-0.9628119,0.2041761
-0.6201137,-0.7408746,0.2579999
-0.6647,-0.6482664,0.3713822
-0.6959506,-0.5276613,0.4870588
-0.6201128,0.06490636,0.7818231
-0.664699,-0.07630473,0.7432044
-0.6959504,-0.2309755,0.679929
-0.4805394,0.1819269,0.8578954
-0.3410979,0.1950076,0.9195783
-0.1769333,0.2041759,0.9628119
0.48054,0.181926,0.8578953
0.3410981,0.1950064,0.9195784
0.1769328,0.2041756,0.9628121
0.6201137,0.06490606,0.7818224
0.6647,-0.07630444,0.7432036
0.6959507,-0.2309749,0.6799289
0.6201137,-0.7408746,0.2579999
0.6647,-0.6482664,0.3713822
0.6959506,-0.5276614,0.4870588
0.6199054,-0.06456882,-0.7820155
0.6645957,0.07602996,-0.743325
0.6960512,0.2309937,-0.6798194
0.6199054,0.7409142,-0.2583864
0.6645954,0.648489,-0.3711805
0.6960511,0.5275539,-0.4870317
0.4803619,0.8579092,-0.1823302
0.3413946,0.9194646,-0.1950245
0.1768581,0.9628518,-0.2040527
-0.4803619,0.8579092,-0.1823302
-0.3413946,0.9194646,-0.1950245
-0.1768581,0.9628519,-0.2040529
-0.6199054,0.7409142,-0.2583864
-0.6645954,0.648489,-0.3711805
-0.6960511,0.527554,-0.4870316
-0.6199054,-0.06456882,-0.7820155
-0.6645954,0.07602984,-0.7433252
-0.6960511,0.2309937,-0.6798198
-0.4803619,-0.1815638,-0.8580717
-0.3413942,-0.1949458,-0.9194814
-0.1768579,-0.2043042,-0.9627986
0.4803619,-0.1815638,-0.8580717
0.3413944,-0.194946,-0.9194813
0.1768579,-0.2043045,-0.9627985
0.6201131,0.2579987,0.7408754
0.6646999,0.3713817,0.6482667
0.6950383,0.4824604,0.5330608
0.6199811,0.7818974,-0.06526715
0.6646252,0.7433,0.07601553
0.6961852,0.679115,0.2326562
0.6199811,-0.2577003,-0.7410898
0.6646252,-0.3711572,-0.6484717
0.6959636,-0.4871235,-0.5275844
0.6201131,-0.7818227,0.06490743
0.6646999,-0.7432037,-0.07630396
0.694679,-0.6841647,-0.2221261
-0.6201137,0.2579999,0.7408746
-0.6647,0.3713822,0.6482664
-0.6950381,0.4824598,0.5330614
