X,Y,Z
-1.497497,-0.02558497,-3.174067
-1.497497,-0.0109402,-3.164546
-1.514964,-0.02558497,-3.174067
-1.514964,-0.0109402,-3.164546
-1.497466,-0.01608912,-3.18873
-1.497466,-0.001393046,-3.179177
-1.514995,-0.01608912,-3.18873
-1.514995,-0.001393046,-3.179177
-1.50623,-0.02177154,-3.163909
-1.50623,-0.005233338,-3.189349
-1.491059,-0.01350244,-3.176629
-1.50623,-0.0007823296,-3.16836
-1.521402,-0.01350244,-3.176629
-1.50623,-0.02622255,-3.184898
-1.50623,-0.02830045,-3.173491
-1.516927,-0.0193324,-3.167661
-1.50623,-0.01036435,-3.161831
-1.495534,-0.0193324,-3.167661
-1.495498,-0.007667962,-3.185604
-1.50623,0.001330029,-3.179755
-1.516963,-0.007667961,-3.185604
-1.50623,-0.01666595,-3.191453
-1.495502,-0.004507992,-3.170782
-1.495498,-0.02251504,-3.182456
-1.516958,-0.004507992,-3.170782
-1.516963,-0.02251504,-3.182456
-1.498942,-0.02646963,-3.173879
-1.501068,-0.02741189,-3.173679
-1.503558,-0.0280677,-3.17354
-1.513519,-0.02646963,-3.173879
-1.511393,-0.02741189,-3.173679
-1.508903,-0.0280677,-3.17354
-1.515604,-0.02472167,-3.172743
-1.516285,-0.02331077,-3.171013
-1.516759,-0.02148098,-3.169258
-1.515604,-0.01250055,-3.164798
-1.516285,-0.01465389,-3.165386
-1.516759,-0.01700043,-3.166346
-1.513519,-0.01075259,-3.163662
-1.511393,-0.01055278,-3.16272
-1.508903,-0.0104137,-3.162064
-1.498942,-0.01075259,-3.163662
-1.501068,-0.01055278,-3.16272
-1.503558,-0.0104137,-3.162064
-1.496857,-0.01250055,-3.164798
-1.496176,-0.01465389,-3.165386
-1.495702,-0.01700043,-3.166346
-1.496857,-0.02472167,-3.172743
-1.496176,-0.02331077,-3.171013
-1.495702,-0.02148098,-3.169258
-1.496826,-0.01451935,-3.188477
-1.496142,-0.01236185,-3.187888
-1.495667,-0.0100077,-3.186924
-1.496826,-0.002261961,-3.180508
-1.496142,-0.003675899,-3.182241
-1.495667,-0.00551218,-3.184001
-1.498921,-0.0005054325,-3.179366
-1.50105,0.0004393179,-3.179566
-1.503549,0.001096502,-3.179705
-1.51354,-0.0005054325,-3.179366
-1.51141,0.0004393179,-3.179566
-1.508911,0.001096502,-3.179705
-1.515635,-0.002261961,-3.180508
-1.516319,-0.003675899,-3.182241
-1.516794,-0.00551218,-3.184001
-1.515635,-0.01451935,-3.188477
-1.516319,-0.01236185,-3.187888
-1.516794,-0.0100077,-3.186924
-1.51354,-0.01627588,-3.189618
-1.51141,-0.01647706,-3.190563
-1.508911,-0.01661638,-3.19122
-1.498921,-0.01627588,-3.189618
-1.50105,-0.01647706,-3.190563
-1.503549,-0.01661638,-3.19122
-1.496857,-0.009616277,-3.16541
-1.496176,-0.007886719,-3.166821
-1.495702,-0.006131798,-3.168651
-1.496826,-0.001645178,-3.177613
-1.496142,-0.002234532,-3.175453
-1.495667,-0.003198797,-3.173098
-1.496826,-0.01741563,-3.187865
-1.496142,-0.01915091,-3.18645
-1.495667,-0.02091167,-3.184613
-1.496857,-0.02533332,-3.175627
-1.496176,-0.02474583,-3.177781
-1.495702,-0.0237858,-3.180127
-1.515604,-0.009616277,-3.16541
-1.516285,-0.007886719,-3.166821
-1.516759,-0.006131798,-3.168651
-1.515635,-0.001645178,-3.177613
-1.516319,-0.002234532,-3.175453
-1.516794,-0.003198797,-3.173098
-1.515604,-0.02533332,-3.175627
-1.516285,-0.02474583,-3.177781
-1.516759,-0.0237858,-3.180127
-1.515635,-0.01741563,-3.187865
-1.516319,-0.01915091,-3.18645
-1.516794,-0.02091167,-3.184613
-1.50623,-0.02744948,-3.170772
-1.50623,-0.02606236,-3.168198
-1.50623,-0.02414116,-3.165875
-1.514731,-0.02032219,-3.166138
-1.512166,-0.02108611,-3.164963
-1.509289,-0.02157692,-3.164208
-1.50623,-0.01319489,-3.161505
-1.50623,-0.01610986,-3.161728
-1.50623,-0.01901269,-3.162541
-1.49773,-0.02032219,-3.166138
-1.500295,-0.02108611,-3.164963
-1.503172,-0.02157692,-3.164208
-1.497699,-0.006674459,-3.187132
-1.500275,-0.005909728,-3.188309
-1.503162,-0.005417619,-3.189066
-1.50623,0.0004780572,-3.182483
-1.50623,-0.0009164289,-3.185063
-1.50623,-0.002844699,-3.187393
-1.514761,-0.006674455,-3.187132
-1.512186,-0.005909726,-3.188309
-1.509299,-0.005417619,-3.189066
-1.50623,-0.01382697,-3.191782
-1.50623,-0.01090302,-3.191555
-1.50623,-0.007990535,-3.190738
-1.493718,-0.01813576,-3.169502
-1.492316,-0.01673741,-3.171653
-1.491416,-0.01516941,-3.174065
-1.493616,-0.006435512,-3.172035
-1.492214,-0.008634668,-3.173465
-1.49135,-0.01102087,-3.175016
-1.493676,-0.008868072,-3.183758
-1.492277,-0.0102699,-3.181602
-1.491373,-0.01184372,-3.179181
-1.493676,-0.02066957,-3.181256
-1.492277,-0.01851035,-3.179853
-1.491373,-0.01608997,-3.178279
-1.50623,-0.007645149,-3.162682
-1.50623,-0.005071672,-3.164069
-1.50623,-0.002748672,-3.16599
-1.514659,-0.002926052,-3.169754
-1.512036,-0.001750624,-3.168989
-1.50919,-0.001026792,-3.168519
-1.50623,0.001657758,-3.176915
-1.50623,0.001428626,-3.173997
-1.50623,0.0006133113,-3.171082
-1.497802,-0.002926052,-3.169754
-1.500425,-0.001750624,-3.168989
-1.503271,-0.001026792,-3.168519
-1.518743,-0.01813576,-3.169502
-1.520145,-0.0167374,-3.171653
-1.521045,-0.0151694,-3.174065
-1.518785,-0.02066957,-3.181256
-1.520184,-0.01851035,-3.179853
-1.521088,-0.01608997,-3.178279
-1.518785,-0.008868069,-3.183758
-1.520184,-0.0102699,-3.181602
-1.521088,-0.0118437,-3.179181
-1.518845,-0.006435512,-3.172035
-1.520247,-0.008634668,-3.173465
-1.521111,-0.01102087,-3.175016
-1.50623,-0.02862637,-3.176322
-1.50623,-0.02840314,-3.179236
-1.50623,-0.02759015,-3.182139
-1.497699,-0.02404288,-3.183449
-1.500275,-0.02521558,-3.184211
-1.503162,-0.02597407,-3.184705
-1.50623,-0.0193939,-3.190601
-1.50623,-0.02196842,-3.189207
-1.50623,-0.02430072,-3.187279
-1.514761,-0.02404288,-3.183449
-1.512186,-0.02521558,-3.184211
-1.509299,-0.02597407,-3.184705
-1.49869,-0.0256721,-3.171744
-1.500924,-0.02658237,-3.17119
-1.503493,-0.02721869,-3.170867
-1.498229,-0.0243225,-3.169721
-1.500649,-0.02521533,-3.168852
-1.503363,-0.0258335,-3.16835
-1.497871,-0.02250504,-3.167803
-1.500405,-0.02335328,-3.166737
