X,Y,Z
0.6752971,-0.6986721,-0.1333086
0.6752971,-0.6986721,-0.1333086
0.3554341,-0.9074644,-0.1100666
0.3554341,-0.9074644,-0.1100666
0.6752986,-0.6986707,-0.1333093
0.3554364,-0.9074635,-0.1100671
0.6752987,-0.6986704,-0.1333083
0.355437,-0.9074636,-0.1100666
0.6752993,-0.6986697,-0.1333091
0.3554366,-0.9074634,-0.1100673
0.6752999,-0.6986691,-0.1333086
0.3554379,-0.9074631,-0.110067
0.675301,-0.698668,-0.1333091
0.3554394,-0.9074626,-0.1100673
0.6753019,-0.698667,-0.1333088
0.3554391,-0.9074624,-0.1100671
0.6753021,-0.6986667,-0.1333095
0.3554398,-0.9074621,-0.1100675
0.6753027,-0.6986662,-0.1333091
0.3554403,-0.9074618,-0.1100675
0.6753035,-0.6986654,-0.133309
0.3554417,-0.9074615,-0.1100672
0.6753041,-0.6986648,-0.1333089
0.355442,-0.9074614,-0.1100674
0.6753048,-0.6986641,-0.1333091
0.3554428,-0.9074609,-0.1100679
0.6740893,-0.6953338,-0.154604
0.3543721,-0.9055042,-0.1272795
0.6710732,-0.6902382,-0.1844071
0.4120193,-0.8769514,-0.1633012
-0.892352,0.3835134,0.1362557
-0.892352,0.3835134,0.1362557
-0.6752974,0.6986719,0.1333092
-0.6752974,0.6986719,0.1333092
-0.8923525,0.3835122,0.1362557
-0.6752985,0.698671,0.1333089
-0.8923527,0.3835113,0.1362554
-0.6752993,0.6986704,0.1333089
-0.8923532,0.3835099,0.1362557
-0.6752999,0.6986697,0.1333091
-0.8923533,0.3835098,0.1362555
-0.6753004,0.6986693,0.1333088
-0.8923538,0.3835082,0.1362554
-0.6753014,0.6986685,0.1333089
-0.892354,0.3835082,0.1362557
-0.6753018,0.698668,0.1333091
-0.8923541,0.3835077,0.1362556
-0.6753023,0.6986674,0.1333094
-0.8923543,0.3835072,0.1362555
-0.6753031,0.698667,0.133309
-0.8923548,0.3835059,0.1362555
-0.6753037,0.6986665,0.1333091
-0.8923551,0.3835059,0.1362556
-0.6753043,0.6986659,0.1333091
-0.8923554,0.383505,0.1362554
-0.6753054,0.6986648,0.1333092
-0.8910881,0.3798555,0.153339
-0.6748548,0.6963618,0.1462867
-0.8866261,0.3739022,0.1865905
-0.671917,0.6916369,0.1756732
-0.6752974,0.6986719,0.1333092
-0.6752974,0.6986719,0.1333092
-0.3554347,0.9074641,0.1100672
-0.3554347,0.9074641,0.1100672
-0.6752985,0.698671,0.1333089
-0.3554364,0.9074634,0.1100669
-0.6752993,0.6986704,0.1333089
-0.3554376,0.907463,0.110067
-0.6752999,0.6986697,0.1333091
-0.3554382,0.9074626,0.1100672
-0.6753004,0.6986693,0.1333088
-0.3554392,0.9074624,0.1100669
-0.6753014,0.6986685,0.1333089
-0.3554401,0.9074617,0.1100672
-0.6753018,0.698668,0.1333091
-0.355441,0.9074615,0.1100674
-0.6753023,0.6986674,0.1333094
-0.3554421,0.907461,0.1100676
-0.6753031,0.698667,0.133309
-0.3554431,0.9074607,0.1100674
-0.6753037,0.6986665,0.1333091
-0.3554443,0.9074602,0.1100675
-0.6753043,0.6986659,0.1333091
-0.3554443,0.9074602,0.1100675
-0.6753054,0.6986648,0.1333092
-0.3554457,0.9074594,0.1100677
-0.6748548,0.6963618,0.1462867
-0.3551534,0.9064379,0.1183272
-0.671917,0.6916369,0.1756732
-0.4128373,0.8784859,0.1527495
0.8923521,-0.3835131,-0.1362555
0.8923521,-0.3835131,-0.1362555
0.6752971,-0.6986721,-0.1333086
0.6752971,-0.6986721,-0.1333086
0.8923527,-0.3835111,-0.136256
0.6752986,-0.6986707,-0.1333093
0.8923532,-0.3835106,-0.1362552
0.6752987,-0.6986704,-0.1333083
0.8923537,-0.3835094,-0.1362555
0.6752993,-0.6986697,-0.1333091
0.8923541,-0.3835086,-0.1362554
0.6752999,-0.6986691,-0.1333086
0.8923545,-0.3835081,-0.1362557
