X,Y,Z
-1.51167,0.01018608,-3.287656
-1.512004,0.01048408,-3.289993
-1.512704,0.01002725,-3.289926
-1.512371,0.009729259,-3.287589
-1.511337,0.009888094,-3.28532
-1.512037,0.009431269,-3.285253
-1.511003,0.0095901,-3.282984
-1.511704,0.009133279,-3.282917
-1.51067,0.009292115,-3.280647
-1.51137,0.008835293,-3.28058
-1.510336,0.008994114,-3.278311
-1.511037,0.008537296,-3.278244
-1.510003,0.008696131,-3.275974
-1.510703,0.008239303,-3.275908
-1.509669,0.008398134,-3.273638
-1.510369,0.007941309,-3.273571
-1.509336,0.008100152,-3.271302
-1.510036,0.00764332,-3.271235
-1.509002,0.007802155,-3.268965
-1.509702,0.00734533,-3.268898
-1.508668,0.007504158,-3.266629
-1.509369,0.007047329,-3.266562
-1.508335,0.007206172,-3.264292
-1.509035,0.006749343,-3.264226
-1.508001,0.006908182,-3.261956
-1.508702,0.006451357,-3.261889
-1.507668,0.006610192,-3.25962
-1.508368,0.006153364,-3.259553
-1.507306,0.006304659,-3.257316
-1.508004,0.005846962,-3.257253
-1.515226,0.0126843,-3.287394
-1.515559,0.0129823,-3.28973
-1.515094,0.0136826,-3.289781
-1.51476,0.0133846,-3.287445
-1.514892,0.01238631,-3.285057
-1.514427,0.01308661,-3.285108
-1.514558,0.0120883,-3.282721
-1.514093,0.01278861,-3.282772
-1.514225,0.01179032,-3.280385
-1.51376,0.0124906,-3.280435
-1.513891,0.01149232,-3.278048
-1.513426,0.01219261,-3.278099
-1.513558,0.01119432,-3.275712
-1.513093,0.01189461,-3.275763
-1.513224,0.01089633,-3.273376
-1.512759,0.01159662,-3.273426
-1.512891,0.01059834,-3.271039
-1.512425,0.01129862,-3.27109
-1.512557,0.01030034,-3.268703
-1.512092,0.01100063,-3.268754
-1.512224,0.01000233,-3.266366
-1.511758,0.01070263,-3.266417
-1.51189,0.009704351,-3.26403
-1.511425,0.01040463,-3.264081
-1.511557,0.009406347,-3.261693
-1.511091,0.01010664,-3.261744
-1.511223,0.009108353,-3.259357
-1.510758,0.009808645,-3.259408
-1.51087,0.00880501,-3.257044
-1.510408,0.0095062,-3.257091
-1.51476,0.0133846,-3.287445
-1.515094,0.0136826,-3.289781
-1.514393,0.01413942,-3.289848
-1.51406,0.01384142,-3.287511
-1.514427,0.01308661,-3.285108
-1.513726,0.01354342,-3.285175
-1.514093,0.01278861,-3.282772
-1.513393,0.01324544,-3.282839
-1.51376,0.0124906,-3.280435
-1.513059,0.01294744,-3.280502
-1.513426,0.01219261,-3.278099
-1.512726,0.01264944,-3.278166
-1.513093,0.01189461,-3.275763
-1.512392,0.01235145,-3.27583
-1.512759,0.01159662,-3.273426
-1.512059,0.01205345,-3.273493
-1.512425,0.01129862,-3.27109
-1.511725,0.01175546,-3.271157
-1.512092,0.01100063,-3.268754
-1.511392,0.01145746,-3.26882
-1.511758,0.01070263,-3.266417
-1.511058,0.01115947,-3.266484
-1.511425,0.01040463,-3.264081
-1.510724,0.01086146,-3.264148
-1.511091,0.01010664,-3.261744
-1.510391,0.01056347,-3.261811
-1.510758,0.009808645,-3.259408
-1.510057,0.01026548,-3.259475
-1.510408,0.0095062,-3.257091
-1.50971,0.00996365,-3.257155
-1.511205,0.01088637,-3.287707
-1.511539,0.01118437,-3.290043
-1.512004,0.01048408,-3.289993
-1.51167,0.01018608,-3.287656
-1.510872,0.01058839,-3.285371
-1.511337,0.009888094,-3.28532
-1.510538,0.0102904,-3.283034
-1.511003,0.0095901,-3.282984
-1.510205,0.009992409,-3.280698
-1.51067,0.009292115,-3.280647
-1.509871,0.009694412,-3.278362
-1.510336,0.008994114,-3.278311
-1.509537,0.009396426,-3.276025
-1.510003,0.008696131,-3.275974
-1.509204,0.009098429,-3.273689
-1.509669,0.008398134,-3.273638
