X,Y,Z
-1.510695,0.007996757,-3.20098
-1.510804,0.01063864,-3.202038
-1.510804,0.007996757,-3.202038
-1.510695,0.01063864,-3.20098
-1.510804,0.01328052,-3.202038
-1.510695,0.01328052,-3.20098
-1.510804,0.01592241,-3.202038
-1.510695,0.01592241,-3.20098
-1.510804,0.01856429,-3.202038
-1.510695,0.01856429,-3.20098
-1.510804,0.02120617,-3.202038
-1.510695,0.02120617,-3.20098
-1.510804,0.02384806,-3.202038
-1.510695,0.02384806,-3.20098
-1.510804,0.02648994,-3.202038
-1.510695,0.02648994,-3.20098
-1.510804,0.02913182,-3.202038
-1.510695,0.02913182,-3.20098
-1.510804,0.0317737,-3.202038
-1.510695,0.0317737,-3.20098
-1.506354,0.007996758,-3.199681
-1.50729,0.007996758,-3.199176
-1.508348,0.007996758,-3.199068
-1.505683,0.007996758,-3.200505
-1.509366,0.007996758,-3.199373
-1.505378,0.007996758,-3.201524
-1.510191,0.007996758,-3.200044
-1.505486,0.007996758,-3.202582
-1.510695,0.007996757,-3.20098
-1.505991,0.007996758,-3.203518
-1.510804,0.007996757,-3.202038
-1.506815,0.007996758,-3.204189
-1.510499,0.007996757,-3.203056
-1.507834,0.007996758,-3.204494
-1.509827,0.007996757,-3.203881
-1.508892,0.007996758,-3.204386
-1.510191,0.007996758,-3.200044
-1.510695,0.01063864,-3.20098
-1.510695,0.007996757,-3.20098
-1.510191,0.01063864,-3.200044
-1.510695,0.01328052,-3.20098
-1.510191,0.01328052,-3.200044
-1.510695,0.01592241,-3.20098
-1.510191,0.01592241,-3.200044
-1.510695,0.01856429,-3.20098
-1.510191,0.01856429,-3.200044
-1.510695,0.02120617,-3.20098
-1.510191,0.02120617,-3.200044
-1.510695,0.02384806,-3.20098
-1.510191,0.02384806,-3.200044
-1.510695,0.02648994,-3.20098
-1.510191,0.02648994,-3.200044
-1.510695,0.02913182,-3.20098
-1.510191,0.02913182,-3.200044
-1.510695,0.0317737,-3.20098
-1.510191,0.0317737,-3.200044
-1.510804,0.007996757,-3.202038
-1.510499,0.01063864,-3.203056
-1.510499,0.007996757,-3.203056
-1.510804,0.01063864,-3.202038
-1.510499,0.01328052,-3.203056
-1.510804,0.01328052,-3.202038
-1.510499,0.01592241,-3.203056
-1.510804,0.01592241,-3.202038
-1.510499,0.01856429,-3.203056
-1.510804,0.01856429,-3.202038
-1.510499,0.02120617,-3.203056
-1.510804,0.02120617,-3.202038
-1.510499,0.02384806,-3.203056
-1.510804,0.02384806,-3.202038
-1.510499,0.02648994,-3.203056
-1.510804,0.02648994,-3.202038
-1.510499,0.02913182,-3.203056
-1.510804,0.02913182,-3.202038
-1.510499,0.0317737,-3.203056
-1.510804,0.0317737,-3.202038
-1.510499,0.007996757,-3.203056
-1.509827,0.01063864,-3.203881
