X,Y,Z
-0.6249781,-0.3333334,0.1921753
-0.97642,-1.192093E-07,-0.09243315
-0.6509466,-0.3333334,-0.06162211
-0.9374672,-1.192093E-07,0.288263
-0.97642,-1.192093E-07,-0.09243304
-0.9374672,-1.192093E-07,0.288263
-0.97642,-1.192093E-07,-0.09243309
-0.9374672,-1.192093E-07,0.288263
-0.97642,-1.192093E-07,-0.09243304
-0.9374672,-1.192093E-07,0.288263
-0.97642,-1.192093E-07,-0.09243309
-0.9374672,-1.192093E-07,0.288263
-0.97642,-1.192093E-07,-0.09243309
-0.9374672,-1.192093E-07,0.288263
-0.97642,-1.192093E-07,-0.09243304
-0.9374672,-1.192093E-07,0.288263
-0.97642,-1.192093E-07,-0.09243304
-0.9374672,-1.192093E-07,0.288263
-0.6509467,0.3333332,-0.06162201
-0.6249781,0.3333332,0.1921754
0.4167157,-0.3333333,0.5038626
0.1921754,-0.3333333,0.6249778
-0.06162232,-0.3333333,0.6509469
0.5778142,-0.3333333,0.3060381
-0.3060375,-0.3333334,0.5778148
0.650947,-0.3333332,0.06162126
-0.5038621,-0.3333334,0.4167155
0.6249781,-0.3333332,-0.1921753
-0.6249781,-0.3333334,0.1921753
0.5038625,-0.3333332,-0.4167153
-0.6509466,-0.3333334,-0.06162211
0.3060377,-0.3333333,-0.5778146
-0.5778149,-0.3333333,-0.3060377
0.06162155,-0.3333333,-0.6509469
-0.4167158,-0.3333333,-0.5038619
-0.1921751,-0.3333333,-0.6249781
-0.5038621,-0.3333334,0.4167155
-0.9374672,-1.192093E-07,0.288263
-0.6249781,-0.3333334,0.1921753
-0.7557932,-1.192093E-07,0.6250733
-0.9374672,-1.192093E-07,0.288263
-0.7557932,-1.192093E-07,0.6250733
-0.9374672,-1.192093E-07,0.288263
-0.7557932,-1.192093E-07,0.6250733
-0.9374672,-1.192093E-07,0.288263
-0.7557932,-1.192093E-07,0.6250733
-0.9374672,-1.192093E-07,0.288263
-0.7557932,-1.192093E-07,0.6250733
-0.9374672,-1.192093E-07,0.288263
-0.7557932,-1.192093E-07,0.6250734
-0.9374672,-1.192093E-07,0.288263
-0.7557932,-1.192093E-07,0.6250733
-0.9374672,-1.192093E-07,0.288263
-0.7557932,-1.192093E-07,0.6250733
-0.6249781,0.3333332,0.1921754
-0.5038622,0.3333332,0.4167155
-0.6509466,-0.3333334,-0.06162211
-0.8667224,-8.940697E-08,-0.4590565
-0.5778149,-0.3333333,-0.3060377
-0.97642,-1.192093E-07,-0.09243315
-0.8667223,-8.940697E-08,-0.4590564
