X,Y,Z
0.4167157,-0.3333333,0.503862
0.1921753,-0.3333333,0.6249781
-0.06162189,-0.3333333,0.6509468
0.5778148,-0.3333333,0.3060377
-0.3060376,-0.3333334,0.5778147
-0.5038621,-0.3333334,0.4167155
0.6509468,-0.3333332,0.06162201
0.6249781,-0.3333332,-0.1921752
-0.624978,-0.3333334,0.1921753
0.5038621,-0.3333332,-0.4167156
-0.6509467,-0.3333334,-0.06162195
-0.5778146,-0.3333333,-0.3060379
0.3060378,-0.3333333,-0.5778147
0.06162193,-0.3333333,-0.6509468
-0.4167155,-0.3333333,-0.5038622
-0.1921753,-0.3333333,-0.6249781
-0.06162198,0.3333333,0.6509468
0.1921752,0.3333333,0.6249781
0.4167156,0.3333333,0.5038622
0.5778148,0.3333334,0.3060377
-0.3060377,0.3333333,0.5778148
-0.5038621,0.3333332,0.4167157
0.6509467,0.3333334,0.06162195
-0.6249781,0.3333332,0.1921753
0.624978,0.3333334,-0.1921752
0.5038621,0.3333334,-0.4167155
-0.6509468,0.3333332,-0.06162198
-0.5778147,0.3333333,-0.3060379
0.3060377,0.3333334,-0.5778146
-0.4167156,0.3333333,-0.5038622
0.06162184,0.3333333,-0.6509467
-0.1921754,0.3333333,-0.6249781
0.8667221,8.940697E-08,0.4590566
0.5778148,0.3333334,0.3060377
0.4167156,0.3333333,0.5038622
0.6250734,4.470348E-08,0.7557932
0.866722,8.940697E-08,0.4590566
0.6250734,4.470348E-08,0.7557932
0.8667221,8.940697E-08,0.4590565
0.6250734,4.470348E-08,0.7557931
0.8667221,8.940697E-08,0.4590566
0.6250734,4.470348E-08,0.7557932
0.8667221,8.940697E-08,0.4590566
0.6250734,4.470348E-08,0.7557932
0.8667221,8.940697E-08,0.4590565
0.6250734,4.470348E-08,0.7557931
0.866722,8.940697E-08,0.4590566
0.6250734,4.470348E-08,0.7557932
0.8667221,8.940697E-08,0.4590566
0.6250735,4.470348E-08,0.7557931
0.5778148,-0.3333333,0.3060377
0.4167157,-0.3333333,0.503862
-0.6250733,-4.470348E-08,-0.7557933
-0.4167156,0.3333333,-0.5038622
-0.1921754,0.3333333,-0.6249781
-0.288263,0,-0.9374671
-0.6250733,-4.470348E-08,-0.7557932
-0.288263,0,-0.9374671
-0.6250734,-4.470348E-08,-0.7557932
-0.288263,0,-0.9374671
-0.6250733,-4.470348E-08,-0.7557933
-0.288263,0,-0.9374672
-0.6250733,-4.470348E-08,-0.7557932
-0.2882629,0,-0.9374672
-0.6250734,-4.470348E-08,-0.7557933
-0.288263,0,-0.9374671
-0.6250733,-4.470348E-08,-0.7557933
-0.288263,0,-0.9374671
-0.6250734,-4.470348E-08,-0.7557933
-0.288263,0,-0.9374671
-0.4167155,-0.3333333,-0.5038622
-0.1921753,-0.3333333,-0.6249781
0.6250734,4.470348E-08,0.7557932
0.4167156,0.3333333,0.5038622
0.1921752,0.3333333,0.6249781
0.2882628,0,0.9374672
0.6250734,4.470348E-08,0.7557932
0.288263,0,0.9374671
0.6250734,4.470348E-08,0.7557931
0.2882629,0,0.9374672
0.6250734,4.470348E-08,0.7557932
0.2882629,0,0.9374671
0.6250734,4.470348E-08,0.7557932
0.2882629,0,0.9374672
0.6250734,4.470348E-08,0.7557931
0.2882628,0,0.9374671
0.6250734,4.470348E-08,0.7557932
0.2882629,0,0.9374672
0.6250735,4.470348E-08,0.7557931
0.2882629,0,0.9374671
0.4167157,-0.3333333,0.503862
0.1921753,-0.3333333,0.6249781
-0.288263,0,-0.9374671
-0.1921754,0.3333333,-0.6249781
0.06162184,0.3333333,-0.6509467
0.09243282,4.470348E-08,-0.9764202
-0.288263,0,-0.9374671
0.09243286,4.470348E-08,-0.9764201
-0.288263,0,-0.9374671
0.09243286,4.470348E-08,-0.9764201
-0.288263,0,-0.9374672
0.09243285,4.470348E-08,-0.9764201
-0.2882629,0,-0.9374672
0.09243292,4.470348E-08,-0.9764201
-0.288263,0,-0.9374671
0.09243285,4.470348E-08,-0.9764201
-0.288263,0,-0.9374671
0.09243292,4.470348E-08,-0.9764201
-0.288263,0,-0.9374671
0.09243285,4.470348E-08,-0.9764201
-0.1921753,-0.3333333,-0.6249781
0.06162193,-0.3333333,-0.6509468
0.2882628,0,0.9374672
0.1921752,0.3333333,0.6249781
-0.06162198,0.3333333,0.6509468
-0.09243292,-4.470348E-08,0.9764201
0.288263,0,0.9374671
-0.09243286,-4.470348E-08,0.9764201
0.2882629,0,0.9374672
-0.09243287,-4.470348E-08,0.9764202
0.2882629,0,0.9374671
-0.0924329,-4.470348E-08,0.9764201
0.2882629,0,0.9374672
-0.09243286,-4.470348E-08,0.9764201
0.2882628,0,0.9374671
-0.09243281,-4.470348E-08,0.9764202
0.2882629,0,0.9374672
-0.09243288,-4.470348E-08,0.9764201
0.2882629,0,0.9374671
-0.09243289,-4.470348E-08,0.9764202
0.1921753,-0.3333333,0.6249781
-0.06162189,-0.3333333,0.6509468
0.09243282,4.470348E-08,-0.9764202
0.06162184,0.3333333,-0.6509467
0.3060377,0.3333334,-0.5778146
0.4590566,8.940697E-08,-0.866722
0.09243286,4.470348E-08,-0.9764201
0.4590566,8.940697E-08,-0.866722
0.09243286,4.470348E-08,-0.9764201
0.4590566,8.940697E-08,-0.866722
0.09243285,4.470348E-08,-0.9764201
0.4590566,8.940697E-08,-0.866722
0.09243292,4.470348E-08,-0.9764201
0.4590566,8.940697E-08,-0.866722
0.09243285,4.470348E-08,-0.9764201
0.4590566,8.940697E-08,-0.866722
0.09243292,4.470348E-08,-0.9764201
0.4590566,8.940697E-08,-0.866722
0.09243285,4.470348E-08,-0.9764201
0.4590566,8.940697E-08,-0.866722
0.06162193,-0.3333333,-0.6509468
0.3060378,-0.3333333,-0.5778147
-0.09243292,-4.470348E-08,0.9764201
-0.06162198,0.3333333,0.6509468
-0.3060377,0.3333333,0.5778148
-0.4590565,-8.940697E-08,0.8667221
-0.09243286,-4.470348E-08,0.9764201
-0.4590565,-8.940697E-08,0.8667221
-0.09243287,-4.470348E-08,0.9764202
-0.4590566,-8.940697E-08,0.8667221
-0.0924329,-4.470348E-08,0.9764201
-0.4590565,-8.940697E-08,0.8667221
-0.09243286,-4.470348E-08,0.9764201
-0.4590566,-8.940697E-08,0.866722
-0.09243281,-4.470348E-08,0.9764202
-0.4590564,-8.940697E-08,0.8667221
-0.09243288,-4.470348E-08,0.9764201
-0.4590565,-8.940697E-08,0.866722
-0.09243289,-4.470348E-08,0.9764202
-0.4590565,-8.940697E-08,0.8667221
-0.06162189,-0.3333333,0.6509468
-0.3060376,-0.3333334,0.5778147
0.4590566,8.940697E-08,-0.866722
0.3060377,0.3333334,-0.5778146
0.5038621,0.3333334,-0.4167155
0.7557931,1.192093E-07,-0.6250733
0.4590566,8.940697E-08,-0.866722
0.7557931,1.192093E-07,-0.6250733
0.4590566,8.940697E-08,-0.866722
0.7557931,1.192093E-07,-0.6250733
0.4590566,8.940697E-08,-0.866722
0.7557931,1.192093E-07,-0.6250733
0.4590566,8.940697E-08,-0.866722
0.7557931,1.192093E-07,-0.6250734
0.4590566,8.940697E-08,-0.866722
0.7557931,1.192093E-07,-0.6250734
0.4590566,8.940697E-08,-0.866722
0.7557931,1.192093E-07,-0.6250734
0.4590566,8.940697E-08,-0.866722
0.7557931,1.192093E-07,-0.6250733
0.3060378,-0.3333333,-0.5778147
0.5038621,-0.3333332,-0.4167156
-0.4590565,-8.940697E-08,0.8667221
-0.3060377,0.3333333,0.5778148
-0.5038621,0.3333332,0.4167157
-0.7557932,-1.192093E-07,0.6250734
-0.4590565,-8.940697E-08,0.8667221
-0.7557932,-1.192093E-07,0.6250734
-0.4590566,-8.940697E-08,0.8667221
-0.7557932,-1.192093E-07,0.6250733
-0.4590565,-8.940697E-08,0.8667221
-0.7557931,-1.192093E-07,0.6250734
-0.4590566,-8.940697E-08,0.866722
-0.7557932,-1.192093E-07,0.6250734
-0.4590564,-8.940697E-08,0.8667221
-0.7557932,-1.192093E-07,0.6250734
-0.4590565,-8.940697E-08,0.866722
