X,Y,Z
-1.476315,-0.003380398,-3.186429
-1.47567,-0.002702929,-3.187378
-1.476315,-0.002702929,-3.186429
-1.47567,-0.003380398,-3.187378
-1.476315,-0.004057868,-3.186429
-1.475025,-0.002702929,-3.188327
-1.47567,-0.004057868,-3.187378
-1.476315,-0.004735336,-3.186429
-1.475025,-0.003380398,-3.188327
-1.474381,-0.002702929,-3.189276
-1.47567,-0.004735336,-3.187378
-1.476315,-0.005412805,-3.186429
-1.474381,-0.003380398,-3.189276
-1.473736,-0.002702929,-3.190225
-1.475025,-0.004057868,-3.188327
-1.47567,-0.005412805,-3.187378
-1.476315,-0.006090275,-3.186429
-1.473736,-0.003380398,-3.190225
-1.473091,-0.002702929,-3.191174
-1.475025,-0.004735336,-3.188327
-1.474381,-0.004057868,-3.189276
-1.47567,-0.006090275,-3.187378
-1.476315,-0.006767743,-3.186429
-1.473091,-0.003380398,-3.191174
-1.472447,-0.002702929,-3.192123
-1.475025,-0.005412805,-3.188327
-1.473736,-0.004057868,-3.190225
-1.474381,-0.004735336,-3.189276
-1.47567,-0.006767743,-3.187378
-1.476315,-0.007445212,-3.186429
-1.472447,-0.003380398,-3.192123
-1.471802,-0.002702929,-3.193072
-1.475025,-0.006090275,-3.188327
-1.474381,-0.005412805,-3.189276
-1.473736,-0.004735336,-3.190225
-1.473091,-0.004057868,-3.191174
-1.47567,-0.007445212,-3.187378
-1.476315,-0.008122683,-3.186429
-1.471802,-0.003380398,-3.193072
-1.471158,-0.002702929,-3.194021
-1.475025,-0.006767743,-3.188327
-1.474381,-0.006090275,-3.189276
-1.473736,-0.005412805,-3.190225
-1.472447,-0.004057868,-3.192123
-1.473091,-0.004735336,-3.191174
-1.471158,-0.003380398,-3.194021
-1.470513,-0.002702929,-3.19497
-1.471802,-0.004057868,-3.193072
-1.472447,-0.004735336,-3.192123
-1.473091,-0.005412805,-3.191174
-1.473736,-0.006090275,-3.190225
-1.470513,-0.003380398,-3.19497
-1.469868,-0.002702929,-3.195919
-1.471158,-0.004057868,-3.194021
-1.471802,-0.004735336,-3.193072
-1.472447,-0.005412805,-3.192123
-1.469868,-0.003380398,-3.195919
-1.469224,-0.002702929,-3.196868
-1.470513,-0.004057868,-3.19497
-1.471158,-0.004735336,-3.194021
-1.469224,-0.003380398,-3.196868
-1.468579,-0.002702929,-3.197817
-1.469868,-0.004057868,-3.195919
-1.468579,-0.003380398,-3.197817
-1.467934,-0.002702931,-3.198766
-1.473091,-0.006090275,-3.191174
-1.471802,-0.005412805,-3.193072
-1.470513,-0.004735336,-3.19497
-1.469224,-0.004057868,-3.196868
-1.467934,-0.0033804,-3.198766
-1.46729,-0.002702931,-3.199715
-1.472447,-0.006090275,-3.192123
-1.471158,-0.005412805,-3.194021
-1.469868,-0.004735336,-3.195919
-1.468579,-0.004057868,-3.197817
-1.46729,-0.0033804,-3.199715
-1.466645,-0.002702931,-3.200664
-1.471802,-0.006090275,-3.193072
-1.470513,-0.005412805,-3.19497
-1.469224,-0.004735336,-3.196868
-1.467934,-0.00405787,-3.198766
-1.466645,-0.0033804,-3.200664
-1.466001,-0.002702931,-3.201613
-1.471158,-0.006090275,-3.194021
-1.469868,-0.005412805,-3.195919
-1.468579,-0.004735336,-3.197817
-1.46729,-0.00405787,-3.199715
-1.466001,-0.0033804,-3.201613
-1.465356,-0.002702931,-3.202563
-1.470513,-0.006090275,-3.19497
-1.469224,-0.005412805,-3.196868
-1.467934,-0.004735338,-3.198766
-1.466645,-0.00405787,-3.200664
-1.465356,-0.0033804,-3.202563
-1.464711,-0.002702931,-3.203511
-1.469868,-0.006090275,-3.195919
-1.468579,-0.005412805,-3.197817
-1.46729,-0.004735338,-3.199715
-1.466001,-0.00405787,-3.201613
-1.464711,-0.0033804,-3.203511
-1.464067,-0.002702931,-3.204461
-1.469224,-0.006090275,-3.196868
-1.467934,-0.005412807,-3.198766
-1.466645,-0.004735338,-3.200664
-1.465356,-0.00405787,-3.202563
-1.464067,-0.0033804,-3.204461
-1.463422,-0.002702931,-3.20541
-1.468579,-0.006090275,-3.197817
-1.46729,-0.005412807,-3.199715
-1.466001,-0.004735338,-3.201613
-1.464711,-0.00405787,-3.203511
-1.463422,-0.0033804,-3.20541
-1.462777,-0.002702931,-3.206359
-1.467934,-0.006090277,-3.198766
-1.466645,-0.005412807,-3.200664
-1.465356,-0.004735338,-3.202563
-1.464067,-0.00405787,-3.204461
-1.462777,-0.0033804,-3.206359
-1.462133,-0.002702931,-3.207308
-1.462133,-0.0033804,-3.207308
-1.463422,-0.00405787,-3.20541
-1.462777,-0.00405787,-3.206359
-1.462133,-0.00405787,-3.207308
-1.464711,-0.004735338,-3.203511
-1.466001,-0.005412807,-3.201613
-1.464067,-0.004735338,-3.204461
-1.462777,-0.004735338,-3.206359
-1.462133,-0.004735338,-3.207308
-1.463422,-0.004735338,-3.20541
-1.465356,-0.005412807,-3.202563
-1.462777,-0.005412807,-3.206359
-1.462133,-0.005412807,-3.207308
-1.464711,-0.005412807,-3.203511
-1.464067,-0.005412807,-3.204461
-1.463422,-0.005412807,-3.20541
-1.462777,-0.006090277,-3.206359
-1.462133,-0.006090277,-3.207308
