X,Y,Z
0.5070976,0.4677925,-0.1549879
0.3431108,0.6410913,-0.1552384
0.03922603,0.992826,-0.08125301
0.06331655,0.9979706,-0.006759487
0.3747111,0.6397606,-0.05586377
0.03922534,0.9928256,-0.0812552
0.08662654,0.9908295,0.06780867
0.06331681,0.9979704,-0.006762315
0.03922534,0.9928256,-0.0812552
0.08662496,0.9908285,0.06780888
0.06331252,0.9979707,-0.00677266
0.03922627,0.9928255,-0.08125588
0.08662496,0.9908285,0.06780888
0.06331784,0.9979705,-0.006762598
0.03922627,0.9928255,-0.08125588
0.08662668,0.9908288,0.06780958
0.06331571,0.9979706,-0.006766047
0.03922452,0.9928259,-0.0812562
0.08662668,0.9908288,0.06780958
0.063315,0.9979706,-0.006771632
0.03922452,0.9928259,-0.0812562
0.08662847,0.9908286,0.0678101
0.0633172,0.9979705,-0.006765049
0.03922565,0.9928256,-0.08125564
0.08662847,0.9908286,0.0678101
0.06331493,0.9979706,-0.006766699
0.03922565,0.9928256,-0.08125564
0.08662657,0.9908293,0.06780812
0.0633155,0.9979706,-0.006760247
0.03922598,0.9928255,-0.08125865
0.08662657,0.9908293,0.06780812
0.06331678,0.9979705,-0.006767165
0.03922598,0.9928255,-0.08125865
0.08662723,0.9908288,0.06780984
0.06331547,0.9979706,-0.006765552
0.03922381,0.9928259,-0.08125895
0.08662723,0.9908288,0.06780984
0.06331606,0.9979705,-0.006767072
0.03922381,0.9928259,-0.08125895
0.08662748,0.990829,0.06780829
0.06331713,0.9979705,-0.006764878
0.03922557,0.9928255,-0.0812562
0.08662748,0.990829,0.06780829
0.06331492,0.9979706,-0.006766703
0.03922557,0.9928255,-0.0812562
0.086626,0.9908291,0.06780948
0.06331565,0.9979706,-0.006762475
0.03922589,0.9928257,-0.08125424
0.086626,0.9908291,0.06780948
0.06331702,0.9979705,-0.006762423
0.03922589,0.9928257,-0.08125424
0.08662666,0.9908286,0.06780858
0.0633138,0.9979706,-0.006768666
0.0392252,0.992826,-0.08125573
0.08662666,0.9908286,0.06780858
0.06331642,0.9979705,-0.006767116
0.0392252,0.992826,-0.08125573
0.08662789,0.9908283,0.06781232
0.06331523,0.9979706,-0.006765552
0.03922537,0.9928257,-0.08125696
0.08662789,0.9908283,0.06781232
0.06331608,0.9979705,-0.006766994
0.03922537,0.9928257,-0.08125696
0.0866276,0.9908286,0.06780814
0.06331606,0.9979705,-0.006768961
0.03922576,0.9928256,-0.08125713
0.0866276,0.9908286,0.06780814
0.0633148,0.9979706,-0.006766688
0.03922576,0.9928256,-0.08125713
0.08662674,0.9908286,0.06781146
0.06331566,0.9979705,-0.006763391
0.03922555,0.992826,-0.08125319
0.08662674,0.9908286,0.06781146
0.06331763,0.9979705,-0.006757725
0.03922555,0.992826,-0.08125319
0.08662706,0.9908282,0.06780939
0.06331344,0.9979706,-0.006771453
0.03922622,0.9928254,-0.08125724
0.08662706,0.9908282,0.06780939
0.0633155,0.9979706,-0.006766848
0.03922622,0.9928254,-0.08125724
0.08662751,0.990829,0.06780721
0.06331696,0.9979705,-0.006766487
0.03922446,0.9928257,-0.08125973
0.08662751,0.990829,0.06780721
0.06331396,0.9979706,-0.006771345
0.03922446,0.9928257,-0.08125973
0.08662786,0.9908289,0.06780997
0.06331668,0.9979705,-0.00676138
0.03922478,0.9928256,-0.08125591
0.08662786,0.9908289,0.06780997
0.06331702,0.9979705,-0.006762423
0.03922478,0.9928256,-0.08125591
0.08662577,0.9908288,0.06780726
0.06331317,0.9979707,-0.006771557
0.03922563,0.9928252,-0.08126023
0.08662577,0.9908288,0.06780726
0.06331608,0.9979705,-0.00676699
0.03922563,0.9928252,-0.08126023
0.08662692,0.9908283,0.06781072
0.06331523,0.9979706,-0.006768864
0.03922464,0.992826,-0.08125765
0.08662692,0.9908283,0.06781072
0.06331608,0.9979705,-0.006766994
0.03922464,0.992826,-0.08125765
0.08662803,0.990829,0.0678076
0.06331721,0.9979705,-0.006765027
0.03922502,0.9928257,-0.0812543
0.08662803,0.990829,0.0678076
0.06331456,0.9979706,-0.006766662
0.03922502,0.9928257,-0.0812543
0.08662722,0.990829,0.06781009
0.0633158,0.9979706,-0.006761454
0.0392246,0.9928256,-0.08125801
0.08662722,0.990829,0.06781009
0.06331611,0.9979706,-0.006762147
0.0392253,0.9928255,-0.08125581
0.08662664,0.990829,0.06780506
0.06331466,0.9979706,-0.006770562
-0.2908109,0.6826763,0.04689657
0.08662732,0.9908283,0.06780989
-0.4437825,0.5301769,0.1482215
-0.2592092,0.6813471,0.146275
0.4830075,0.4626477,-0.22948
0.3108649,0.626125,-0.2532847
-0.009142814,0.9703761,-0.2283227
0.01513468,0.9876816,-0.1557435
0.3431108,0.6410913,-0.1552384
-0.009144435,0.9703758,-0.2283233
0.03922603,0.992826,-0.08125301
0.01513361,0.9876803,-0.1557514
-0.009144435,0.9703758,-0.2283233
0.03922534,0.9928256,-0.0812552
0.0151333,0.9876809,-0.1557479
-0.009141387,0.9703758,-0.2283223
0.03922534,0.9928256,-0.0812552
0.01513443,0.9876809,-0.1557478
-0.009141387,0.9703758,-0.2283223
0.03922627,0.9928255,-0.08125588
0.01513493,0.9876806,-0.1557492
-0.009142553,0.9703755,-0.2283234
0.03922627,0.9928255,-0.08125588
0.01513544,0.9876801,-0.155752
-0.009142553,0.9703755,-0.2283234
0.03922452,0.9928259,-0.0812562
0.01513458,0.9876812,-0.1557458
-0.009144206,0.9703766,-0.2283209
0.03922452,0.9928259,-0.0812562
