X,Y,Z
-1.510597,0.007996761,-3.213479
-1.511533,0.007996761,-3.212975
-1.51259,0.007996761,-3.212866
-1.509925,0.007996762,-3.214304
-1.513609,0.007996761,-3.213171
-1.514434,0.007996761,-3.213842
-1.509621,0.007996762,-3.215322
-1.509729,0.007996762,-3.21638
-1.514938,0.00799676,-3.214778
-1.510234,0.007996762,-3.217316
-1.515047,0.00799676,-3.215836
-1.514742,0.00799676,-3.216855
-1.511058,0.007996762,-3.217987
-1.512077,0.007996762,-3.218292
-1.51407,0.00799676,-3.217679
-1.513135,0.007996761,-3.218184
-1.512591,0.03177371,-3.212866
-1.511533,0.03177371,-3.212975
-1.510597,0.03177371,-3.213479
-1.509925,0.03177371,-3.214304
-1.513609,0.03177371,-3.213171
-1.514434,0.03177371,-3.213842
-1.509621,0.03177371,-3.215322
-1.514938,0.03177371,-3.214778
-1.509729,0.03177371,-3.21638
-1.510234,0.03177371,-3.217316
-1.515047,0.03177371,-3.215836
-1.514742,0.03177371,-3.216855
-1.511058,0.03177371,-3.217987
-1.51407,0.03177371,-3.217679
-1.512077,0.03177371,-3.218292
-1.513135,0.03177371,-3.218184
-1.509925,0.02913183,-3.214304
-1.509925,0.03177371,-3.214304
-1.510597,0.03177371,-3.213479
-1.510597,0.02913183,-3.213479
-1.509925,0.02648994,-3.214304
-1.510597,0.02648994,-3.213479
-1.509925,0.02384806,-3.214304
-1.510597,0.02384806,-3.213479
-1.509925,0.02120618,-3.214304
-1.510597,0.02120618,-3.213479
-1.509925,0.0185643,-3.214304
-1.510597,0.01856429,-3.213479
-1.509925,0.01592241,-3.214304
-1.510597,0.01592241,-3.213479
-1.509925,0.01328053,-3.214304
-1.510597,0.01328053,-3.213479
-1.509925,0.01063864,-3.214304
-1.510597,0.01063864,-3.213479
-1.509925,0.007996762,-3.214304
-1.510597,0.007996761,-3.213479
-1.51407,0.02913182,-3.217679
-1.51407,0.03177371,-3.217679
-1.513135,0.03177371,-3.218184
-1.513135,0.02913183,-3.218184
-1.51407,0.02648994,-3.217679
-1.513135,0.02648994,-3.218184
-1.51407,0.02384806,-3.217679
-1.513135,0.02384806,-3.218184
-1.51407,0.02120618,-3.217679
-1.513135,0.02120618,-3.218184
-1.51407,0.0185643,-3.217679
-1.513135,0.01856429,-3.218184
-1.51407,0.01592241,-3.217679
-1.513135,0.01592241,-3.218184
-1.51407,0.01328053,-3.217679
-1.513135,0.01328053,-3.218184
-1.51407,0.01063864,-3.217679
-1.513135,0.01063864,-3.218184
-1.51407,0.00799676,-3.217679
-1.513135,0.007996761,-3.218184
-1.510597,0.02913183,-3.213479
-1.510597,0.03177371,-3.213479
-1.511533,0.03177371,-3.212975
-1.511533,0.02913183,-3.212975
-1.510597,0.02648994,-3.213479
-1.511533,0.02648994,-3.212975
-1.510597,0.02384806,-3.213479
-1.511533,0.02384806,-3.212975
-1.510597,0.02120618,-3.213479
-1.511533,0.02120618,-3.212975
-1.510597,0.01856429,-3.213479
-1.511533,0.01856429,-3.212975
-1.510597,0.01592241,-3.213479
-1.511533,0.01592241,-3.212975
-1.510597,0.01328053,-3.213479
-1.511533,0.01328053,-3.212975
-1.510597,0.01063864,-3.213479
-1.511533,0.01063864,-3.212975
-1.510597,0.007996761,-3.213479
-1.511533,0.007996761,-3.212975
-1.513135,0.02913183,-3.218184
-1.513135,0.03177371,-3.218184
-1.512077,0.03177371,-3.218292
-1.512077,0.02913183,-3.218292
-1.513135,0.02648994,-3.218184
-1.512077,0.02648994,-3.218292
-1.513135,0.02384806,-3.218184
-1.512077,0.02384806,-3.218292
-1.513135,0.02120618,-3.218184
